SCI Electric PCL | Ratios - Key Metrics                                25-Sep-2024 17:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios - Key Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interim Standardised in Millions of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014 ,,,,2015 ,,,,2016 ,,,,2017 ,,,,2018 ,,,,2019 ,,,,2020 ,,,,2021 ,,,,2022 ,,,,2023 ,,,,2024 ,
Assets/Equity,5.54 ,-,-,-,-,7.08 ,2.45 ,2.31 ,1.56 ,1.36 ,1.31 ,1.42 ,1.56 ,1.64 ,1.73 ,1.72 ,1.74 ,1.79 ,1.84 ,1.83 ,1.78 ,1.87 ,1.90 ,1.84 ,1.83 ,1.93 ,1.95 ,1.98 ,2.05 ,2.10 ,2.12 ,2.19 ,2.17 ,2.19 ,2.26 ,2.32 ,2.30 ,2.52 ,2.52 ,2.65 ,2.50 ,2.63 ,2.83 
Debt/Equity,0.90 ,-,-,-,-,1.31 ,0.47 ,0.38 ,0.15 ,0.09 ,0.10 ,0.09 ,0.07 ,0.03 ,0.06 ,0.06 ,0.11 ,0.13 ,0.17 ,0.21 ,0.21 ,0.23 ,0.22 ,0.21 ,0.21 ,0.23 ,0.21 ,0.22 ,0.25 ,0.26 ,0.26 ,0.26 ,0.26 ,0.27 ,0.29 ,0.32 ,0.31 ,0.35 ,0.33 ,0.34 ,0.54 ,0.61 ,0.64 
% LT Debt to Total Capital,18.7% ,-,-,-,-,10.9%,6.6%,6.1%,2.8%,2.7%,2.4%,2.2%,1.9%,1.8%,5.2%,4.4%,8.0%,11.4%,14.1%,16.0%,15.6%,14.6%,15.5%,16.2%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.0%,0.0%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%
(Total Debt - Cash) / EBITDA,25.37 ,-,-,-,-,-,0.91 ,1.92 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.75 ,63.12 ,3.97 ,7.05 ,5.22 ,0.57 ,-,-,-,-,-,-,-,-,-,4.70 ,-,-,34.82 
Operating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/R Turnover,0.4 ,-,-,-,-,-,0.8 ,0.5 ,0.6 ,0.4 ,0.7 ,1.2 ,0.9 ,0.5 ,0.2 ,0.3 ,0.2 ,0.3 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.3 ,0.3 ,0.2 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.4 ,0.4 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.4 ,0.4 ,0.6 ,1.1 ,1.0 
Avg. A/R Days,203.6 ,-,-,-,-,-,110.6 ,171.9 ,145.7 ,221.8 ,130.6 ,73.2 ,99.1 ,184.2 ,381.4 ,301.3 ,375.0 ,330.4 ,377.0 ,373.7 ,432.7 ,546.4 ,480.7 ,330.9 ,341.0 ,474.4 ,354.9 ,311.8 ,284.0 ,276.8 ,318.1 ,234.9 ,253.8 ,267.9 ,261.6 ,310.6 ,272.1 ,316.1 ,241.8 ,236.7 ,155.2 ,85.1 ,93.4 
Inv Turnover,1.7 ,-,-,-,-,-,1.7 ,1.0 ,1.7 ,1.0 ,0.9 ,1.7 ,2.1 ,1.7 ,0.7 ,0.9 ,0.9 ,1.0 ,0.8 ,0.8 ,0.9 ,0.6 ,0.5 ,0.8 ,0.8 ,0.6 ,0.6 ,0.8 ,0.9 ,0.8 ,0.7 ,0.9 ,0.8 ,0.7 ,0.9 ,1.0 ,1.0 ,0.8 ,0.9 ,0.9 ,0.9 ,0.8 ,0.8 
Avg. Inventory Days,54.7 ,-,-,-,-,-,53.1 ,86.7 ,52.4 ,90.4 ,104.0 ,53.5 ,42.9 ,53.8 ,126.2 ,105.7 ,103.2 ,92.5 ,108.8 ,111.9 ,99.8 ,160.4 ,166.5 ,108.4 ,111.2 ,165.0 ,146.5 ,108.0 ,100.5 ,108.8 ,136.8 ,105.9 ,113.7 ,125.9 ,103.8 ,95.2 ,94.0 ,119.2 ,98.2 ,106.6 ,101.2 ,112.1 ,112.3 
Avg. A/P Days,180.0 ,-,-,-,-,-,102.0 ,149.5 ,99.5 ,163.5 ,99.6 ,58.6 ,86.8 ,157.7 ,372.9 ,293.6 ,296.2 ,275.5 ,333.2 ,348.1 ,336.0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fixed Asset Turnover,1.61 ,-,-,-,-,-,3.17 ,2.04 ,2.67 ,1.44 ,1.34 ,2.92 ,3.52 ,2.40 ,1.09 ,1.26 ,0.90 ,0.77 ,0.55 ,0.47 ,0.38 ,0.31 ,0.36 ,0.53 ,0.52 ,0.36 ,0.49 ,0.58 ,0.59 ,0.56 ,0.46 ,0.64 ,0.60 ,0.54 ,0.56 ,0.47 ,0.53 ,0.48 ,0.63 ,0.61 ,0.93 ,1.66 ,1.77 
WC / Sales Growth,(0.2%) ,-,-,-,-,-,-,62.2%,93.4%,324.1%,14.7%,(288.6%),(51.5%),69.8%,205.8%,(123.8%),48.2%,(37.2%),26.7%,(8.4%),69.8%,85.3%,(84.7%),(137.3%),(44.3%),4.1%,(69.1%),(18.4%),(20.5%),(10.8%),24.9%,(42.4%),1.2%,5.5%,(19.6%),(17.2%),(16.6%),7.4%,(22.3%),(8.1%),(3.0%),(3.4%),(9.7%)
Bad Debt Allowance (% of A/R),3.5% ,-,-,-,-,1.2%,1.1%,1.4%,1.2%,2.6%,3.9%,1.6%,1.0%,0.9%,0.8%,0.1%,0.1%,0.2%,0.2%,0.2%,0.2%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ROIC,- ,-,-,-,-,-,12.7%,5.4%,(0.2%),(0.2%),(0.2%),3.0%,5.8%,0.3%,0.1%,1.6%,(1.1%),(1.1%),1.0%,(0.3%),(1.7%),(1.0%),(2.3%),(1.6%),(1.8%),0.8%,0.1%,0.0%,(12.5%),0.5%,(1.0%),0.6%,0.1%,(2.7%),(4.1%),(4.2%),(3.2%),(2.8%),(3.8%),(1.1%),(47.7%),(4.3%),(2.6%)
