BCPG PCL | Ratios - Key Metrics                                25-Sep-2024 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios - Key Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interim Standardised in Millions of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015 ,,,,2016 ,,,,2017 ,,,,2018 ,,,,2019 ,,,,2020 ,,,,2021 ,,,,2022 ,,,,2023 ,,,,2024 
Pretax ROA,1.5% ,-,-,-,-,-,2.7%,1.7%,1.2%,1.8%,1.9%,0.7%,2.1%,1.2%,1.3%,4.0%,0.8%,1.5%,1.5%,1.1%,1.2%,1.7%,0.7%,1.5%,0.6%,1.0%,1.1%,1.4%,0.3%,3.0%,0.6%,1.3%,0.6%,1.1%,0.4%,1.0%,(0.2%),0.7%
x Leverage (Assets/Equity),3.47 ,-,-,-,-,2.09 ,2.14 ,1.80 ,1.89 ,1.83 ,1.75 ,2.31 ,2.26 ,2.21 ,2.33 ,2.10 ,2.08 ,2.04 ,2.05 ,2.48 ,2.40 ,2.79 ,2.88 ,2.95 ,2.28 ,2.18 ,2.15 ,2.19 ,2.16 ,2.10 ,1.99 ,1.94 ,1.92 ,1.94 ,2.25 ,2.31 ,2.51 ,2.41 
Pretax ROE,4.6% ,-,-,-,-,-,5.7%,3.2%,2.2%,3.3%,3.3%,1.4%,4.8%,2.7%,2.9%,8.8%,1.7%,3.2%,3.0%,2.6%,2.9%,4.3%,1.9%,4.5%,1.6%,2.3%,2.5%,3.1%,0.7%,6.3%,1.3%,2.5%,1.2%,2.1%,0.9%,2.3%,(0.4%),1.8%
x Tax Complement,0.73 ,1.00 ,1.00 ,1.00 ,0.98 ,1.00 ,1.01 ,1.00 ,1.05 ,1.00 ,1.00 ,1.01 ,0.98 ,1.00 ,1.00 ,0.88 ,1.17 ,1.00 ,1.01 ,1.00 ,1.01 ,0.86 ,1.25 ,0.98 ,1.01 ,1.00 ,0.96 ,0.90 ,1.21 ,0.77 ,0.89 ,0.88 ,0.85 ,0.84 ,0.74 ,0.81 ,-,0.79 
ROE,3.0% ,-,-,-,-,-,5.8%,3.2%,2.4%,3.3%,3.3%,1.4%,4.7%,2.6%,2.9%,7.7%,2.0%,3.2%,3.0%,2.6%,2.9%,3.7%,2.4%,4.4%,1.6%,2.3%,2.4%,2.8%,0.9%,4.9%,1.1%,2.2%,1.0%,1.7%,0.7%,1.9%,(0.6%),1.4%
x Earnings Retention,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,(0.71),0.17 ,0.09 ,0.34 ,0.35 ,(0.52),0.52 ,0.16 ,0.24 ,0.72 ,(0.03),0.35 ,0.31 ,0.20 ,0.28 ,1.00 ,0.10 ,1.00 ,(0.45),1.00 ,0.23 ,1.00 ,(1.07),1.00 ,(0.75),1.00 ,(0.57),1.00 ,(0.45),1.00 ,-,1.00 
Reinvestment Rate,2.0% ,-,-,-,-,-,(4.1%),0.6%,0.2%,1.1%,1.2%,(0.7%),2.4%,0.4%,0.7%,5.6%,(0.1%),1.1%,0.9%,0.5%,0.8%,3.7%,0.2%,4.4%,(0.7%),2.3%,0.5%,2.8%,(1.0%),4.9%,(0.9%),2.2%,(0.6%),1.7%,(0.3%),1.9%,(2.1%),1.4%
Liquidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick Ratio,0.61 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Current Ratio,0.81 ,-,-,-,-,2.53 ,2.50 ,5.54 ,3.63 ,4.39 ,6.40 ,2.03 ,1.63 ,1.84 ,1.70 ,1.91 ,1.62 ,1.37 ,1.36 ,0.64 ,0.49 ,0.48 ,0.81 ,1.12 ,3.09 ,4.80 ,3.67 ,3.85 ,2.98 ,5.51 ,5.38 ,6.13 ,6.61 ,6.11 ,5.55 ,2.09 ,1.04 ,1.00 
Times Interest Earned,3.6 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cash Cycle (Days),46.5 ,-,-,-,-,-,110.8 ,106.6 ,109.0 ,95.9 ,80.0 ,83.3 ,87.4 ,78.7 ,80.8 ,87.6 ,83.1 ,88.7 ,97.3 ,110.9 ,90.2 ,102.0 ,87.9 ,75.3 ,100.2 ,121.2 ,135.0 ,170.2 ,211.1 ,199.7 ,164.6 ,149.9 ,175.0 ,200.7 ,184.7 ,146.2 ,177.1 ,183.1 
Leverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assets/Equity,3.47 ,-,-,-,-,2.09 ,2.14 ,1.80 ,1.89 ,1.83 ,1.75 ,2.31 ,2.26 ,2.21 ,2.33 ,2.10 ,2.08 ,2.04 ,2.05 ,2.48 ,2.40 ,2.79 ,2.88 ,2.95 ,2.28 ,2.18 ,2.15 ,2.19 ,2.16 ,2.10 ,1.99 ,1.94 ,1.92 ,1.94 ,2.25 ,2.31 ,2.51 ,2.41 
Debt/Equity,1.39 ,-,-,-,-,0.98 ,1.00 ,0.72 ,0.75 ,0.72 ,0.70 ,1.26 ,1.21 ,1.16 ,1.27 ,1.03 ,1.03 ,0.98 ,1.01 ,1.29 ,1.28 ,1.69 ,1.80 ,1.85 ,1.20 ,1.12 ,1.09 ,1.13 ,1.09 ,1.01 ,0.90 ,0.86 ,0.86 ,0.88 ,1.18 ,1.21 ,1.39 ,1.32 
% LT Debt to Total Capital,38.9% ,-,-,-,-,44.5%,45.5%,35.9%,37.8%,37.3%,37.2%,51.3%,50.1%,49.2%,51.5%,46.4%,45.7%,44.7%,45.3%,45.4%,45.2%,49.8%,51.3%,55.8%,47.6%,48.5%,46.9%,48.1%,45.8%,44.2%,41.8%,41.8%,41.6%,42.5%,50.3%,47.6%,44.4%,43.4%
(Total Debt - Cash) / EBITDA,29.61 ,-,-,-,-,-,11.20 ,5.22 ,2.34 ,3.05 ,3.92 ,15.10 ,28.49 ,25.05 ,22.88 ,22.97 ,22.93 ,21.89 ,21.28 ,27.00 ,24.29 ,31.35 ,30.78 ,23.18 ,23.12 ,19.39 ,19.54 ,17.88 ,21.44 ,12.11 ,3.14 ,3.59 ,5.36 ,9.13 ,17.17 ,18.20 ,30.03 ,35.59 
Operating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/R Turnover,1.1 ,-,-,-,-,-,0.8 ,0.9 ,0.8 ,0.9 ,1.1 ,1.1 ,1.0 ,1.2 ,1.1 ,1.0 ,1.1 ,1.0 ,0.9 ,0.8 ,1.0 ,0.9 ,1.0 ,1.2 ,0.9 ,0.8 ,0.7 ,0.5 ,0.4 ,0.5 ,0.6 ,0.6 ,0.5 ,0.5 ,0.5 ,0.6 ,0.5 ,0.5 
Avg. A/R Days,82.0 ,-,-,-,-,-,110.8 ,106.6 ,109.0 ,95.9 ,80.0 ,83.3 ,87.4 ,78.7 ,80.8 ,87.6 ,83.1 ,88.7 ,97.3 ,110.9 ,90.2 ,102.0 ,87.9 ,75.3 ,100.2 ,121.2 ,135.0 ,170.2 ,211.1 ,199.7 ,164.6 ,149.9 ,175.0 ,200.7 ,184.7 ,146.2 ,177.1 ,183.1 
Inv Turnover,5.1 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Avg. Inventory Days,17.8 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Avg. A/P Days,83.6 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fixed Asset Turnover,0.11 ,-,-,-,-,-,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.07 ,0.06 ,0.07 ,0.08 ,0.08 ,0.07 ,0.07 ,0.08 ,0.07 ,0.07 ,0.08 ,0.09 ,0.07 ,0.06 ,0.05 ,0.07 ,0.06 ,0.05 
WC / Sales Growth,(10.9%) ,-,-,-,-,-,-,457.3%,336.3%,(170.7%),(122.4%),(281.4%),(277.9%),(26.4%),0.3%,28.7%,0.3%,(62.2%),(41.5%),(168.1%),(142.8%),(87.7%),103.0%,195.4%,416.6%,462.9%,(50.1%),(146.4%),86.0%,645.1%,124.7%,(235.5%),234.2%,163.0%,(191.7%),(749.8%),(465.7%),(251.2%)
Bad Debt Allowance (% of A/R),2.7% ,-,-,-,-,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.1%,1.1%,1.1%,0.7%,2.0%,16.7%,15.8%,19.9%,16.8%,19.6%,19.0%,16.5%,17.4%,18.7%
ROIC,- ,-,-,-,-,-,2.9%,1.8%,1.4%,2.0%,2.0%,0.7%,2.2%,1.3%,1.3%,3.7%,1.0%,1.7%,1.6%,1.3%,1.4%,1.7%,1.0%,1.7%,0.7%,1.1%,1.2%,1.3%,0.4%,2.5%,0.6%,1.2%,0.6%,1.0%,0.3%,0.9%,(0.3%),0.7%
