Teera-Mongkol Industry PCL | Balance Sheet                                25-Sep-2024 16:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
"Total Receivables, Net","80,840 ","74,068 ","69,018 ","86,198 ","94,463 ","108,267 ","107,747 ","108,326 ","115,960 ","101,785 ","100,419 ","101,056 ","107,377 ","88,783 ","85,147 ","112,460 ","133,543 ","144,481 ","132,929 ","130,498 ","168,785 ","130,397 ","127,356 ","123,804 ","144,041 ","126,230 ","115,570 ","108,452 ","107,373 ","101,772 ","108,581 ","109,214 ","126,919 ","126,075 ","105,736 ","103,476 ","115,265 ","97,754 ","119,278 ","122,735 ","127,538 ","120,165 ","139,949 ","153,382 ","140,793 ","161,415 ","154,582 ","162,605 ","164,625 ","159,175 ","167,628 ","152,413 ","142,988 ","159,553 ","151,771 "
Notes Receivable - Short Term,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"7,064 ","7,064 ",--,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,0 
Receivables - Other,--,--,--,--,393 ,186 ,189 ,186 ,179 ,233 ,187 ,204 ,"3,817 ","3,794 ",248 ,427 ,405 ,"5,883 ","2,995 ","5,197 ","7,316 ","2,316 ","8,544 ","8,910 ","2,955 ","6,138 ","2,616 ","2,616 ","4,594 ","5,113 ","7,378 ","6,082 ","6,839 ","6,929 ","5,521 ","5,349 ","7,130 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Inventory,"85,442 ","103,415 ","117,190 ","111,123 ","112,272 ","118,427 ","136,996 ","153,911 ","153,993 ","169,181 ","173,925 ","171,395 ","146,000 ","148,023 ","175,494 ","174,138 ","179,725 ","164,578 ","169,187 ","167,602 ","144,505 ","145,520 ","136,333 ","138,149 ","125,723 ","147,573 ","140,642 ","123,959 ","114,287 ","127,847 ","133,924 ","114,184 ","111,125 ","99,746 ","109,209 ","108,915 ","89,325 ","88,156 ","102,359 ","97,857 ","87,660 ","81,992 ","97,744 ","101,007 ","99,031 ","110,555 ","115,933 ","120,112 ","111,464 ","110,007 ","111,707 ","98,084 ","85,211 ","92,974 ","105,274 "
Inventories - Finished Goods,"41,628 ","45,473 ","60,005 ","53,411 ","56,997 ","56,761 ","64,205 ","76,914 ","79,945 ","83,018 ","92,261 ","89,455 ","71,305 ","74,493 ","96,580 ","106,089 ","126,613 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Inventories - Work In Progress,"27,032 ","32,936 ","30,157 ","30,163 ","25,759 ","26,756 ","40,702 ","49,867 ","45,884 ","56,568 ","56,212 ","52,309 ","44,923 ","41,696 ","44,059 ","37,291 ","28,417 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Inventories - Raw Materials,"16,588 ","16,982 ","24,336 ","23,550 ","25,187 ","29,657 ","26,479 ","25,537 ","25,877 ","26,507 ","24,268 ","26,880 ","26,639 ","27,173 ","27,995 ","26,507 ","22,319 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Inventories - Other,195 ,"8,024 ","2,692 ","4,000 ","4,329 ","5,252 ","5,610 ","1,593 ","2,286 ","3,089 ","1,184 ","2,752 ","3,132 ","4,661 ","6,860 ","4,252 ","2,376 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Prepaid Expenses,816 ,"1,264 ","1,666 ","1,122 ","2,940 ","3,108 ","1,162 ","2,592 ","2,417 ","1,851 ","1,358 ","2,081 ","3,311 ","2,333 ","1,935 ","2,059 ","1,693 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Other Current Assets, Total","1,039 ",792 ,"2,224 ",852 ,192 ,186 ,591 ,610 ,374 ,369 ,482 ,615 ,215 ,240 ,"1,170 ",282 ,238 ,205 ,258 ,266 ,265 ,210 ,262 ,432 ,249 ,554 ,409 ,745 ,248 ,673 ,514 ,400 ,"1,261 ","2,434 ","3,362 ","3,513 ","4,621 ","4,753 ","2,826 ","2,897 ","3,217 ","3,191 ","3,177 ","4,762 ","3,943 ","4,245 ","3,912 ","3,667 ","3,636 ","3,785 ","4,138 ","4,003 ","3,953 ","3,697 ","3,680 "
Other Current Assets,"1,039 ",792 ,"2,224 ",852 ,192 ,186 ,591 ,610 ,374 ,369 ,482 ,615 ,215 ,240 ,"1,170 ",282 ,238 ,205 ,258 ,266 ,265 ,210 ,262 ,432 ,249 ,554 ,409 ,745 ,248 ,673 ,514 ,400 ,"1,261 ","2,434 ","3,362 ","3,513 ","4,621 ","4,753 ","2,826 ","2,897 ","3,217 ","3,191 ","3,177 ","4,762 ","3,943 ","4,245 ","3,912 ","3,667 ","3,636 ","3,785 ","4,138 ","4,003 ","3,953 ","3,697 ","3,680 "
Total Current Assets,"178,085 ","188,955 ","195,593 ","205,545 ","211,552 ","231,787 ","247,459 ","266,781 ","274,873 ","275,428 ","277,508 ","282,259 ","267,861 ","248,892 ","269,344 ","294,980 ","318,242 ","320,951 ","317,212 ","338,059 ","317,047 ","283,745 ","378,478 ","369,848 ","272,132 ","280,369 ","284,797 ","235,620 ","236,311 ","239,883 ","246,303 ","231,477 ","244,074 ","232,758 ","228,264 ","225,189 ","217,256 ","203,395 ","232,733 ","237,173 ","228,714 ","219,602 ","282,889 ","268,049 ","255,966 ","282,186 ","286,049 ","306,616 ","291,050 ","303,453 ","307,413 ","278,759 ","291,597 ","272,935 ","270,206 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Property/Plant/Equipment, Total - Net","59,838 ","67,439 ","74,860 ","76,553 ","75,956 ","78,504 ","87,594 ","93,101 ","98,267 ","103,001 ","109,587 ","109,366 ","110,061 ","107,606 ","104,684 ","101,908 ","99,738 ","97,366 ","94,406 ","92,166 ","89,601 ","86,811 ","85,022 ","83,102 ","80,629 ","94,194 ","91,651 ","89,238 ","89,279 ","87,169 ","85,230 ","122,162 ","140,148 ","137,894 ","135,299 ","132,022 ","139,263 ","141,191 ","137,213 ","161,080 ","167,147 ","172,219 ","187,086 ","278,138 ","303,757 ","340,859 ","370,445 ","393,233 ","408,400 ","415,615 ","411,252 ","408,155 ","400,510 ","393,657 ","386,627 "
"Goodwill, Net",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"37,270 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 ","8,148 "
"Intangibles, Net",110 ,137 ,130 ,122 ,114 ,229 ,500 ,471 ,443 ,415 ,513 ,478 ,442 ,408 ,461 ,797 ,720 ,646 ,570 ,539 ,465 ,393 ,322 ,250 ,266 ,189 ,125 ,153 ,74 ,57 ,52 ,41 ,"18,419 ","18,510 ","17,978 ","17,675 ","42,029 ","41,739 ","41,443 ","41,147 ","40,851 ","40,597 ","40,301 ","40,002 ","39,703 ","39,411 ","39,117 ","38,829 ","38,380 ","37,795 ","37,267 ","36,667 ","36,060 ","35,530 ","34,983 "
Intangibles - Gross,--,--,--,--,114 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Long Term Investments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,0 
LT Investment - Affiliate Companies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,0 
"Other Long Term Assets, Total","7,727 ","7,585 ","7,540 ","7,236 ","7,486 ","10,689 ","6,816 ","6,675 ","8,467 ","7,212 ","7,153 ","7,178 ","7,113 ","7,190 ","7,234 ","7,426 ","7,741 ","7,828 ","7,825 ","7,632 ","7,316 ","7,379 ","8,238 ","8,743 ","8,123 ","9,176 ","9,149 ","7,895 ","7,521 ","8,318 ","8,764 ","10,694 ","10,997 ","33,300 ","34,283 ","38,601 ","17,287 ","15,752 ","17,081 ","16,454 ","17,027 ","18,275 ","18,363 ","18,116 ","19,132 ","17,933 ","16,436 ","16,084 ","15,824 ","14,898 ","12,344 ","12,480 ","24,160 ","23,849 ","26,918 "
Deferred Charges,"6,815 ","6,670 ","6,525 ","6,380 ","6,235 ","6,090 ","5,945 ","5,800 ","5,655 ","5,510 ","5,365 ","5,220 ","5,075 ","4,930 ","4,785 ","4,640 ","4,495 ","4,350 ","4,205 ","4,060 ","3,915 ","3,770 ","3,625 ","3,480 ","3,335 ","3,190 ","3,045 ","2,900 ","2,755 ","2,610 ","2,465 ","2,320 ","2,175 ","2,030 ","1,885 ","1,740 ","1,595 ",--,0 ,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Defered Income Tax - Long Term Asset,--,--,--,--,392 ,--,--,--,560 ,607 ,652 ,752 ,818 ,968 ,"1,037 ","1,202 ","1,489 ","1,440 ","1,652 ","1,572 ","1,221 ","1,715 ","1,551 ","1,935 ","1,862 ","2,633 ","3,113 ","3,213 ","3,209 ","4,058 ","4,097 ","6,170 ","6,433 ","6,249 ","7,209 ","7,783 ","8,414 ","8,172 ","9,665 ","9,650 ","10,012 ","9,559 ","9,541 ","9,520 ","10,041 ","10,200 ","8,559 ","7,830 ","9,492 ","7,759 ","6,645 ","6,583 ","7,047 ","6,836 ","6,971 "
Restricted Cash - Long Term,248 ,248 ,344 ,344 ,346 ,346 ,348 ,349 ,554 ,554 ,616 ,691 ,698 ,776 ,896 ,"1,068 ","1,242 ","1,522 ","1,452 ","1,484 ",618 ,618 ,619 ,620 ,624 ,724 ,726 ,726 ,730 ,730 ,731 ,732 ,936 ,936 ,942 ,"4,253 ","4,315 ","4,385 ","4,406 ","4,324 ","4,530 ","4,524 ","4,558 ","4,633 ","4,649 ","4,227 ","4,540 ","4,619 ","2,792 ","3,533 ","1,966 ","1,984 ","2,010 ","2,010 ","2,035 "
Other Long Term Assets,664 ,667 ,671 ,512 ,513 ,"4,253 ",523 ,526 ,"1,698 ",541 ,521 ,516 ,522 ,516 ,516 ,516 ,516 ,516 ,516 ,516 ,"1,562 ","1,276 ","2,442 ","2,708 ","2,301 ","2,629 ","2,265 ","1,056 ",827 ,920 ,"1,470 ","1,471 ","1,453 ","24,085 ","24,247 ","24,826 ","2,963 ","3,195 ","3,010 ","2,480 ","2,485 ","4,192 ","4,265 ","3,962 ","4,442 ","3,506 ","3,337 ","3,635 ","3,541 ","3,606 ","3,733 ","3,913 ","15,103 ","15,003 ","17,911 "
Total Assets,"245,760 ","264,117 ","278,122 ","289,456 ","295,109 ","321,209 ","342,369 ","367,029 ","382,051 ","386,056 ","394,761 ","399,281 ","385,477 ","364,096 ","381,723 ","405,111 ","426,441 ","426,791 ","420,013 ","438,396 ","414,429 ","378,328 ","472,059 ","461,942 ","361,150 ","383,927 ","385,721 ","332,906 ","333,185 ","335,427 ","340,349 ","401,644 ","421,787 ","430,610 ","423,972 ","421,635 ","423,984 ","410,225 ","436,618 ","464,002 ","461,886 ","458,841 ","536,787 ","612,452 ","626,706 ","688,538 ","720,195 ","762,909 ","761,802 ","779,910 ","776,423 ","744,209 ","760,476 ","734,119 ","726,881 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liabilities (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounts Payable,"33,654 ","36,473 ","39,312 ","44,623 ","34,315 ","51,548 ","47,310 ","47,608 ","46,065 ","35,937 ","32,892 ","35,545 ","36,285 ","30,392 ","37,140 ","36,353 ","45,976 ","54,891 ","49,994 ","40,115 ","52,906 ","47,135 ","36,993 ","38,207 ","45,862 ","50,121 ","31,047 ","25,547 ","36,050 ","39,692 ","25,962 ","17,021 ","33,749 ","30,345 ","35,238 ","27,574 ","28,214 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Payable/Accrued,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"58,942 ","81,013 ","77,380 ","63,870 ","70,941 ","99,797 ","124,411 ","96,917 ","103,236 ","98,842 ","83,752 ","94,569 ","101,381 ","96,009 ","83,762 ","93,463 ","114,779 ","105,011 "
Accrued Expenses,"7,741 ","8,816 ","6,730 ","6,662 ",--,"11,806 ","12,032 ","15,495 ","13,688 ","17,352 ","13,410 ","15,266 ","14,653 ","20,274 ","16,197 ","21,953 ","21,113 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Notes Payable/Short Term Debt,"32,000 ","37,429 ","66,660 ","67,741 ","77,364 ","68,756 ","77,779 ","88,601 ","94,834 ","96,218 ","121,791 ","121,342 ","103,495 ","90,824 ","117,965 ","131,613 ","128,637 ","113,863 ","120,622 ","115,103 ","70,680 ","32,382 ","149,393 ","150,505 ","39,429 ","48,718 ","91,092 ","46,079 ","47,976 ","52,122 ","87,525 ","153,303 ","157,403 ","160,702 ","157,825 ","119,793 ","125,141 ","112,093 ","114,877 ","132,687 ","136,212 ","130,784 ","88,343 ","121,417 ","69,397 ","119,921 ","148,313 ","199,527 ","179,126 ","374,047 ","188,024 ","179,015 ","193,681 ","150,669 ","182,648 "
Current Port. of LT Debt/Capital Leases,"1,598 ","1,576 ","1,382 ","1,392 ","1,284 ","1,393 ","1,491 ","2,203 ","2,914 ","4,011 ","4,391 ","4,285 ","4,076 ","3,924 ","3,815 ","3,707 ","3,731 ","3,770 ","3,767 ","3,766 ","3,706 ","3,509 ","3,380 ","3,219 ","3,124 ","3,164 ","6,566 ","6,609 ","6,652 ","6,695 ","6,739 ","6,784 ","6,829 ","6,586 ","5,085 ","16,168 ","14,444 ","14,371 ","14,207 ","14,243 ","14,818 ","14,868 ","14,920 ","14,972 ","19,324 ","15,742 ","109,655 ","106,544 ","200,626 ","4,585 ","104,849 ","23,360 ","23,880 ","24,662 ","115,094 "
"Other Current liabilities, Total","5,138 ","6,766 ","4,027 ","4,961 ","12,382 ","3,527 ","5,861 ","3,087 ","6,226 ","4,875 ","4,726 ","5,156 ","7,555 ","4,156 ","3,909 ","5,173 ","5,350 ","30,732 ","29,781 ","33,362 ","32,836 ","38,820 ","38,554 ","33,215 ","26,575 ","34,838 ","16,476 ","27,640 ","24,021 ","26,695 ","21,752 ","31,078 ","22,180 ","32,212 ","30,855 ","34,000 ","33,430 ","5,695 ","5,854 ","4,136 ","6,046 ","4,001 ","4,097 ","4,304 ","4,988 ","5,678 ","5,183 ","7,232 ","11,857 ","11,059 ","10,591 ","6,167 ","9,041 ","9,818 ","7,112 "
Customer Advances,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,898 ","1,699 ","2,750 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Income Taxes Payable,"3,691 ","4,608 ","1,252 ",452 ,392 ,"1,077 ",879 ,90 ,43 ,534 ,552 ,32 ,27 ,27 ,0 ,0 ,102 ,847 ,0 ,--,440 ,637 ,0 ,0 ,0 ,200 ,0 ,0 ,22 ,45 ,46 ,23 ,1 ,109 ,8 ,17 ,24 ,53 ,33 ,--,6 ,21 ,41 ,34 ,84 ,140 ,415 ,"2,500 ","3,022 ","5,881 ","6,070 ","1,595 ","3,604 ","5,564 ","3,272 "
Other Payables,--,--,--,--,"11,991 ","2,354 ","4,952 ","2,889 ","6,182 ","3,485 ","4,173 ","5,124 ","7,529 ","4,130 ","2,011 ","3,474 ","2,498 ","29,885 ","29,781 ","33,362 ","32,396 ","38,183 ","38,554 ","33,215 ","26,575 ","34,638 ","16,476 ","27,640 ","23,999 ","26,649 ","21,706 ","31,055 ","21,004 ","29,267 ","26,713 ","29,684 ","27,982 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Current Liabilities,"1,447 ","2,157 ","2,776 ","4,509 ",--,96 ,30 ,108 ,--,857 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,175 ","2,835 ","4,134 ","4,298 ","5,424 ","5,643 ","5,821 ","4,136 ","6,040 ","3,979 ","4,056 ","4,270 ","4,905 ","5,537 ","4,768 ","4,733 ","8,835 ","5,178 ","4,521 ","4,572 ","5,437 ","4,254 ","3,840 "
Total Current Liabilities,"80,131 ","91,060 ","118,111 ","125,379 ","125,346 ","137,031 ","144,473 ","156,995 ","163,728 ","158,393 ","177,209 ","181,595 ","166,065 ","149,571 ","179,025 ","198,800 ","204,808 ","203,256 ","204,164 ","192,345 ","160,128 ","121,845 ","228,319 ","225,146 ","114,990 ","136,841 ","145,181 ","105,875 ","114,699 ","125,203 ","141,978 ","208,187 ","220,161 ","229,845 ","229,003 ","197,535 ","201,229 ","191,102 ","215,951 ","228,445 ","220,946 ","220,593 ","207,156 ","265,103 ","190,627 ","244,577 ","361,993 ","397,055 ","486,178 ","491,072 ","399,473 ","292,303 ","320,064 ","299,928 ","409,865 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Long Term Debt,"2,283 ","2,309 ","2,032 ","2,045 ","1,722 ","1,913 ","6,896 ","13,293 ","17,014 ","18,733 ","19,937 ","18,911 ","17,988 ","17,044 ","16,106 ","15,176 ","14,241 ","13,273 ","12,335 ","11,397 ","10,512 ","9,751 ","8,950 ","8,165 ","7,369 ","6,561 ","11,824 ","10,156 ","8,477 ","6,786 ","5,085 ","3,373 ","1,648 ",200 ,0 ,"33,522 ","30,323 ","29,455 ","25,893 ","22,325 ","21,325 ","17,587 ","108,614 ","105,231 ","194,571 ","195,305 ","103,512 ","103,582 ","9,892 ","9,556 ","98,084 ","174,618 ","168,626 ","162,418 ","66,348 "
Long Term Debt,--,--,--,--,0 ,--,"5,060 ","11,830 ","15,401 ","15,921 ","17,533 ","16,895 ","16,222 ","15,533 ","14,855 ","14,167 ","13,466 ","12,739 ","11,998 ","11,261 ","10,512 ","9,751 ","8,950 ","8,165 ","7,369 ","6,561 ","11,824 ","10,156 ","8,477 ","6,786 ","5,085 ","3,373 ","1,648 ",200 ,0 ,"33,522 ","30,323 ","27,124 ","23,925 ","20,726 ","17,527 ","14,328 ","105,904 ","103,077 ","192,570 ","193,460 ","97,834 ","98,312 ",0 ,--,"88,667 ","166,490 ","161,805 ","156,921 ","62,193 "
Capital Lease Obligations,"2,283 ","2,309 ","2,032 ","2,045 ","1,722 ","1,913 ","1,836 ","1,463 ","1,613 ","2,812 ","2,404 ","2,016 ","1,766 ","1,511 ","1,252 ","1,010 ",774 ,535 ,337 ,136 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,--,"2,332 ","1,968 ","1,599 ","3,798 ","3,258 ","2,710 ","2,154 ","2,001 ","1,845 ","5,678 ","5,270 ","9,892 ","9,556 ","9,416 ","8,127 ","6,821 ","5,497 ","4,155 "
