CPT Drives And Power PCL | Income Statement                                12-Sep-2024 14:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
"Selling/General/Admin. Expenses, Total","33,140 ","43,115 ","40,048 ","42,449 ","33,844 ","30,918 ","37,191 ","43,280 ","37,866 ","39,055 ","39,255 ","63,518 ","34,623 ","34,537 ","34,808 ","32,236 ","31,747 ","23,586 ","26,819 ","26,866 ","21,762 ","20,496 ","22,368 ","22,169 ","25,921 ","30,147 ","31,896 ","38,368 ","24,710 ","30,071 ","27,308 ","20,598 ","24,851 ","25,664 "
Selling/General/Administrative Expense,"33,140 ","43,115 ","40,048 ","42,449 ","33,844 ","30,918 ","37,191 ","43,280 ","37,866 ","39,055 ","39,255 ","63,518 ","34,623 ","34,537 ","34,808 ","32,236 ","31,747 ","23,586 ","26,819 ","26,866 ","21,762 ","20,496 ","22,368 ","22,169 ","25,921 ","30,147 ","31,896 ","38,368 ","24,710 ","30,071 ","27,308 ","20,598 ","24,851 ","25,664 "
Interest/Investment Income - Operating,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(2,703)","1,474 ",--,--,(168),(358),(540),116 ,(100),(419),(844),"6,161 ",(657),"(5,148)","(1,063)","(1,381)","(2,202)",(696)
Investment Income - Operating,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(2,703)","1,474 ",--,--,(168),(358),(540),116 ,(100),(419),(844),"6,161 ",(657),"(5,148)","(1,063)","(1,381)","(2,202)",(696)
"Interest Exp.(Inc.),Net-Operating, Total",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(2,703)","1,474 ",--,--,(168),(358),(540),116 ,(100),(419),(844),"6,161 ",(657),"(5,148)","(1,063)","(1,381)","(2,202)",(696)
Unusual Expense (Income),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,480 ,--,"(18,474)",904 ,(70),--,0 
Loss(Gain) on Sale of Assets - Operating,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,480 ,--,"(18,474)",904 ,(70),--,0 
"Other Operating Expenses, Total",(790),(294),(361),"(10,162)","(1,652)",(854),(276),--,--,--,--,--,--,--,--,--,"(1,416)","(3,657)",--,--,"(1,541)","(4,196)",(603),"(2,213)",(934),"(2,698)","(1,127)","(1,082)","(3,196)","(1,246)",(584),"(6,619)","(2,062)","(1,764)"
"Other, Net",(790),(294),(361),"(10,162)","(1,652)",(854),(276),--,--,--,--,--,--,--,--,--,"(1,416)","(3,657)",--,--,"(1,541)","(4,196)",(603),"(2,213)",(934),"(2,698)","(1,127)","(1,082)","(3,196)","(1,246)",(584),"(6,619)","(2,062)","(1,764)"
Total Operating Expense,"107,903 ","255,704 ","352,583 ","356,253 ","222,320 ","143,941 ","284,460 ","406,465 ","183,185 ","196,094 ","221,404 ","342,348 ","110,792 ","140,050 ","173,032 ","170,203 ","137,365 ","224,423 ","296,610 ","277,366 ","187,672 ","197,573 ","208,852 ","292,159 ","331,214 ","328,709 ","462,292 ","270,173 ","290,914 ","300,411 ","259,887 ","216,556 ","208,338 ","210,709 "
Operating Income,"(5,536)","28,835 ","47,136 ","84,549 ","32,292 ","9,191 ","71,247 ","66,192 ",(395),"14,338 ",(507),"(4,798)","4,183 ","(17,069)","3,577 ","(13,256)","(14,287)","3,310 ","11,697 ","6,589 ","(16,844)","(13,046)","(43,592)","(34,034)","7,687 ","(1,276)","(26,041)","(30,634)","7,536 ","44,792 ","15,502 ","29,615 ","19,393 ","17,807 "
"Interest Expense, Net Non-Operating",(430),(144),(317),(462),(675),(357),(306),(656),(415),(195),(405),(576),(387),(135),(112),(241),(480),(344),(248),(254),(202),(158),(153),(147),(141),(136),(131),(126),(84),(81),(64),(94),(69),(55)
Interest Expense - Non-Operating,(430),(144),(317),(462),(675),(357),(306),(656),(415),(195),(405),(576),(387),(135),(112),(241),(480),(344),(248),(254),(202),(158),(153),(147),(141),(136),(131),(126),(84),(81),(64),(94),(69),(55)
Interest/Invest Income - Non-Operating,"(1,564)",(841),"(1,704)","1,343 ","(1,383)","(1,420)","(1,145)",(510),"(1,267)","2,521 ",(684),526 ,(142),(753),(81),(451),--,--,333 ,(208),--,--,--,--,--,--,--,--,--,--,--,--,--,--
Investment Income - Non-Operating,"(1,564)",(841),"(1,704)","1,343 ","(1,383)","(1,420)","(1,145)",(510),"(1,267)","2,521 ",(684),526 ,(142),(753),(81),(451),--,--,333 ,(208),--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Interest Inc.(Exp.),Net-Non-Op., Total","(1,994)",(985),"(2,021)",881 ,"(2,058)","(1,777)","(1,451)","(1,166)","(1,682)","2,327 ","(1,089)",(50),(529),(888),(193),(692),(480),(344),84 ,(462),(202),(158),(153),(147),(141),(136),(131),(126),(84),(81),(64),(94),(69),(55)
"Other, Net",--,--,--,"1,411 ",--,--,--,403 ,"3,488 ","1,501 ","3,152 ","3,279 ","1,614 ","1,519 ","1,644 ","8,107 ",--,--,843 ,511 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Non-Operating Income (Expense),--,--,--,"1,411 ",--,--,--,403 ,"3,488 ","1,501 ","3,152 ","3,279 ","1,614 ","1,519 ","1,644 ","8,107 ",--,--,843 ,511 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Income Before Taxes,"(7,530)","27,850 ","45,115 ","86,841 ","30,234 ","7,414 ","69,796 ","65,429 ","1,411 ","18,166 ","1,555 ","(1,569)","5,268 ","(16,438)","5,029 ","(5,842)","(14,767)","2,966 ","12,623 ","6,638 ","(17,046)","(13,205)","(43,745)","(34,181)","7,546 ","(1,412)","(26,172)","(30,760)","7,452 ","44,712 ","15,438 ","29,521 ","19,324 ","17,752 "
Provision for Income Taxes,(45),"3,916 ","9,501 ","17,755 ","6,058 ","1,651 ","14,091 ","10,364 ",372 ,"3,896 ",531 ,456 ,"1,348 ","(1,630)",106 ,"(1,958)",(809),608 ,603 ,"1,534 ",(402),"(6,086)","(8,703)","(6,879)","1,522 ",(427),"(4,670)","(1,937)","1,490 ","9,046 ","3,204 ","6,230 ","3,920 ","3,553 "
Net Income After Taxes,"(7,486)","23,934 ","35,614 ","69,086 ","24,176 ","5,763 ","55,705 ","55,065 ","1,039 ","14,270 ","1,024 ","(2,025)","3,920 ","(14,808)","4,923 ","(3,884)","(13,958)","2,358 ","12,021 ","5,104 ","(16,645)","(7,118)","(35,042)","(27,302)","6,024 ",(985),"(21,502)","(28,823)","5,963 ","35,666 ","12,234 ","23,290 ","15,405 ","14,199 "
Minority Interest,--,--,--,--,--,--,--,--,--,--,123 ,43 ,14 ,16 ,2 ,9 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Net Income Before Extra. Items,"(7,486)","23,934 ","35,614 ","69,086 ","24,176 ","5,763 ","55,705 ","55,065 ","1,039 ","14,270 ","1,147 ","(1,982)","3,934 ","(14,792)","4,925 ","(3,875)","(13,957)","2,358 ","12,021 ","5,104 ","(16,644)","(7,118)","(35,042)","(27,301)","6,025 ",(984),"(21,502)","(28,823)","5,963 ","35,666 ","12,234 ","23,290 ","15,405 ","14,199 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,"(7,486)","23,934 ","35,614 ","69,086 ","24,176 ","5,763 ","55,705 ","55,065 ","1,039 ","14,270 ","1,147 ","(1,982)","3,934 ","(14,792)","4,925 ","(3,875)","(13,957)","2,358 ","12,021 ","5,104 ","(16,644)","(7,118)","(35,042)","(27,301)","6,025 ",(984),"(21,502)","(28,823)","5,963 ","35,666 ","12,234 ","23,290 ","15,405 ","14,199 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Available to Com Excl ExtraOrd,"(7,486)","23,934 ","35,614 ","69,086 ","24,176 ","5,763 ","55,705 ","55,065 ","1,039 ","14,270 ","1,147 ","(1,982)","3,934 ","(14,792)","4,925 ","(3,875)","(13,957)","2,358 ","12,021 ","5,104 ","(16,644)","(7,118)","(35,042)","(27,301)","6,025 ",(984),"(21,502)","(28,823)","5,963 ","35,666 ","12,234 ","23,290 ","15,405 ","14,199 "
Income Available to Com Incl ExtraOrd,"(7,486)","23,934 ","35,614 ","69,086 ","24,176 ","5,763 ","55,705 ","55,065 ","1,039 ","14,270 ","1,147 ","(1,982)","3,934 ","(14,792)","4,925 ","(3,875)","(13,957)","2,358 ","12,021 ","5,104 ","(16,644)","(7,118)","(35,042)","(27,301)","6,025 ",(984),"(21,502)","(28,823)","5,963 ","35,666 ","12,234 ","23,290 ","15,405 ","14,199 "
Basic Weighted Average Shares,"630,000 ","630,000 ","630,000 ","630,000 ","630,000 ","630,000 ","630,000 ","671,425 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 "
Basic EPS Excluding Extraordinary Items,(0.01),0.04 ,0.06 ,0.11 ,0.04 ,0.01 ,0.09 ,0.08 ,0.00 ,0.02 ,0.00 ,0.00 ,0.00 ,(0.02),0.01 ,0.00 ,(0.02),0.00 ,0.01 ,0.01 ,(0.02),(0.01),(0.04),(0.03),0.01 ,0.00 ,(0.02),(0.03),0.01 ,0.04 ,0.01 ,0.03 ,0.02 ,0.02 
Basic EPS Including Extraordinary Items,(0.01),0.04 ,0.06 ,0.11 ,0.04 ,0.01 ,0.09 ,0.08 ,0.00 ,0.02 ,0.00 ,0.00 ,0.00 ,(0.02),0.01 ,0.00 ,(0.02),0.00 ,0.01 ,0.01 ,(0.02),(0.01),(0.04),(0.03),0.01 ,0.00 ,(0.02),(0.03),0.01 ,0.04 ,0.01 ,0.03 ,0.02 ,0.02 
Diluted Net Income,"(7,486)","23,934 ","35,614 ","69,086 ","24,176 ","5,763 ","55,705 ","55,065 ","1,039 ","14,270 ","1,147 ","(1,982)","3,934 ","(14,792)","4,925 ","(3,875)","(13,957)","2,358 ","12,021 ","5,104 ","(16,644)","(7,118)","(35,042)","(27,301)","6,025 ",(984),"(21,502)","(28,823)","5,963 ","35,666 ","12,234 ","23,290 ","15,405 ","14,199 "
Diluted Weighted Average Shares,"630,000 ","630,000 ","630,000 ","630,000 ","630,000 ","630,000 ","630,000 ","671,425 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","924,363 ","923,940 ","900,000 ","900,000 ","900,000 ","900,000 ","941,006 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 ","900,000 "
Diluted EPS Excluding ExtraOrd Items,(0.01),0.04 ,0.06 ,0.11 ,0.04 ,0.01 ,0.09 ,0.08 ,0.00 ,0.02 ,0.00 ,0.00 ,0.00 ,(0.02),0.01 ,0.00 ,(0.02),0.00 ,0.01 ,0.01 ,(0.02),(0.01),(0.04),(0.03),0.01 ,0.00 ,(0.02),(0.03),0.01 ,0.04 ,0.01 ,0.03 ,0.02 ,0.02 
Diluted EPS Including ExtraOrd Items,(0.01),0.04 ,0.06 ,0.11 ,0.04 ,0.01 ,0.09 ,0.08 ,0.00 ,0.02 ,0.00 ,0.00 ,0.00 ,(0.02),0.01 ,0.00 ,(0.02),0.00 ,0.01 ,0.01 ,(0.02),(0.01),(0.04),(0.03),0.01 ,0.00 ,(0.02),(0.03),0.01 ,0.04 ,0.01 ,0.03 ,0.02 ,0.02 
Supplemental (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPS - Common Stock Primary Issue,0.00 ,0.00 ,0.00 ,--,0.00 ,0.00 ,0.00 ,0.14 ,0.00 ,0.00 ,0.00 ,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.02 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.03 ,0.00 ,0.00 
Gross Dividends - Common Stock,--,0 ,0 ,0 ,--,0 ,0 ,"126,000 ",0 ,0 ,0 ,"10,800 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Special Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,480 ,--,"(18,474)",904 ,(70),--,0 
Normalized Income Before Taxes,"(7,530)","27,850 ","45,115 ","86,841 ","30,234 ","7,414 ","69,796 ","65,429 ","1,411 ","18,166 ","1,555 ","(1,569)","5,268 ","(16,438)","5,029 ","(5,842)","(14,767)","2,966 ","12,623 ","6,638 ","(17,046)","(13,205)","(43,745)","(34,181)","7,546 ","(1,412)","(26,172)","(30,279)","7,452 ","26,238 ","16,342 ","29,451 ","19,324 ","17,752 "
Effect of Special Items on Income Taxes,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,168 ,--,"(3,738)",188 ,(15),--,0 
Inc Tax Ex Impact of Sp Items,(45),"3,916 ","9,501 ","17,755 ","6,058 ","1,651 ","14,091 ","10,364 ",372 ,"3,896 ",531 ,456 ,"1,348 ","(1,630)",106 ,"(1,958)",(809),608 ,603 ,"1,534 ",(402),"(6,086)","(8,703)","(6,879)","1,522 ",(427),"(4,670)","(1,769)","1,490 ","5,309 ","3,392 ","6,216 ","3,920 ","3,553 "
Normalized Income After Taxes,"(7,486)","23,934 ","35,614 ","69,086 ","24,176 ","5,763 ","55,705 ","55,065 ","1,039 ","14,270 ","1,024 ","(2,025)","3,920 ","(14,808)","4,923 ","(3,884)","(13,958)","2,358 ","12,021 ","5,104 ","(16,645)","(7,118)","(35,042)","(27,302)","6,024 ",(985),"(21,502)","(28,511)","5,963 ","20,930 ","12,950 ","23,235 ","15,405 ","14,199 "
Normalized Inc. Avail to Com.,"(7,486)","23,934 ","35,614 ","69,086 ","24,176 ","5,763 ","55,705 ","55,065 ","1,039 ","14,270 ","1,147 ","(1,982)","3,934 ","(14,792)","4,925 ","(3,875)","(13,957)","2,358 ","12,021 ","5,104 ","(16,644)","(7,118)","(35,042)","(27,301)","6,025 ",(984),"(21,502)","(28,511)","5,963 ","20,930 ","12,950 ","23,235 ","15,405 ","14,199 "
Basic Normalized EPS,(0.01),0.04 ,0.06 ,0.11 ,0.04 ,0.01 ,0.09 ,0.08 ,0.00 ,0.02 ,0.00 ,0.00 ,0.00 ,(0.02),0.01 ,0.00 ,(0.02),0.00 ,0.01 ,0.01 ,(0.02),(0.01),(0.04),(0.03),0.01 ,0.00 ,(0.02),(0.03),0.01 ,0.02 ,0.01 ,0.03 ,0.02 ,0.02 
Diluted Normalized EPS,(0.01),0.04 ,0.06 ,0.11 ,0.04 ,0.01 ,0.09 ,0.08 ,0.00 ,0.02 ,0.00 ,0.00 ,0.00 ,(0.02),0.01 ,0.00 ,(0.02),0.00 ,0.01 ,0.01 ,(0.02),(0.01),(0.04),(0.03),0.01 ,0.00 ,(0.02),(0.03),0.01 ,0.02 ,0.01 ,0.03 ,0.02 ,0.02 
"Amort of Intangibles, Supplemental",--,--,--,--,--,--,88 ,94 ,94 ,95 ,70 ,70 ,--,448 ,460 ,457 ,--,--,513 ,514 ,517 ,536 ,560 ,563 ,556 ,564 ,550 ,--,673 ,687 ,688 ,699 ,554 ,395 
"Depreciation, Supplemental",--,--,"4,630 ","4,379 ",--,--,"3,902 ","4,293 ","4,537 ","3,777 ","3,122 ","2,654 ","3,533 ","2,927 ","4,585 ","3,822 ","5,908 ","6,060 ","5,562 ","5,341 ","5,666 ","5,702 ","5,955 ","5,526 ","6,070 ","6,202 ","6,339 ","6,501 ","5,688 ","5,261 ","4,656 ","5,020 ","4,820 ","4,455 "
"Interest Expense, Supplemental",430 ,144 ,317 ,462 ,675 ,357 ,306 ,656 ,415 ,195 ,405 ,576 ,387 ,135 ,112 ,241 ,480 ,344 ,248 ,254 ,202 ,158 ,153 ,147 ,141 ,136 ,131 ,126 ,84 ,81 ,64 ,94 ,69 ,55 
"Minority Interest, Supplemental",--,--,--,--,--,--,--,--,--,--,123 ,43 ,14 ,16 ,2 ,9 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Normalized EBIT,"(5,536)","28,835 ","47,136 ","84,549 ","32,292 ","9,191 ","71,247 ","66,192 ",(395),"14,338 ",(507),"(4,798)","4,183 ","(17,069)","3,577 ","(13,256)","(16,990)","4,784 ","11,697 ","6,589 ","(17,012)","(13,404)","(44,132)","(33,918)","7,588 ","(1,695)","(26,885)","(23,992)","6,879 ","21,171 ","15,343 ","28,164 ","17,191 ","17,111 "
Normalized EBITDA,--,--,"51,765 ","88,927 ",--,--,"75,237 ","70,579 ","4,236 ","18,211 ","2,684 ","(2,074)","7,716 ","(13,694)","8,622 ","(8,977)","(11,082)","10,844 ","17,772 ","12,444 ","(10,829)","(7,167)","(37,617)","(27,829)","14,214 ","5,071 ","(19,996)","(17,491)","13,240 ","27,119 ","20,687 ","33,882 ","22,565 ","21,961 "
Tax & Pension Items (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Tax - Total,--,--,"9,841 ","16,304 ",--,--,"14,687 ","12,006 ",293 ,"4,173 ","1,104 ","(1,658)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Current Tax - Total,--,--,"9,841 ","16,304 ",--,--,"14,687 ","12,006 ",293 ,"4,173 ","1,104 ","(1,658)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Deferred Tax - Total,--,--,(340),"1,451 ",--,--,(596),"(1,641)",78 ,(277),(572),"2,113 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Deferred Tax - Total,--,--,(340),"1,451 ",--,--,(596),"(1,641)",78 ,(277),(572),"2,113 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Income Tax - Total,--,--,"9,501 ","17,755 ",--,--,"14,091 ","10,364 ",372 ,"3,896 ",531 ,456 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Domestic Pension Plan Expense,--,--,--,--,--,--,"1,311 ","1,311 ","1,415 ","1,406 ","1,406 ","7,819 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Interest Cost - Domestic,--,--,--,--,--,--,136 ,136 ,162 ,159 ,159 ,159 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Service Cost - Domestic,--,--,--,--,--,--,"1,175 ","1,175 ","1,253 ","1,247 ","1,247 ","7,660 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Pension Expense,--,--,--,--,--,--,"1,311 ","1,311 ","1,415 ","1,406 ","1,406 ","7,819 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Plan Interest Cost,--,--,--,--,--,--,136 ,136 ,162 ,159 ,159 ,159 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Plan Service Cost,--,--,--,--,--,--,"1,175 ","1,175 ","1,253 ","1,247 ","1,247 ","7,660 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dividends and Capital Changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cpt Drives And Power Ord Shs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Dividend,--,--,--,--,--,--,--,THB 0.14 F,--,--,--,THB 0.01 F,--,--,--,THB 0.00 F,--,--,--,THB 0.02 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.03 F,--,--
,,,,,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,
