BCPG PCL | Income Statement                                25-Sep-2024 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
"Selling/General/Admin. Expenses, Total","5,150 ","9,434 ","5,563 ","25,292 ","114,991 ","206,080 ","129,705 ","149,394 ","118,398 ","184,047 ","179,968 ","176,469 ","146,064 ","134,409 ","132,650 ","178,320 ","144,302 ","132,387 ","145,809 ","152,536 ","147,539 ","114,200 ","114,609 ","155,796 ","137,477 ","148,857 ","131,574 ","237,181 ","176,463 ","231,311 ","226,793 ","205,249 ","153,987 ","168,157 ","138,878 ","127,307 ","122,410 ","243,765 "
Selling/General/Administrative Expense,"5,150 ","9,434 ","5,563 ","25,292 ","114,991 ","206,080 ","129,705 ","149,394 ","118,398 ","184,047 ","179,968 ","176,469 ","146,064 ","134,409 ","132,650 ","178,320 ","144,302 ","132,387 ","145,809 ","152,536 ","147,539 ","114,200 ","114,609 ","155,796 ","137,477 ","148,857 ","131,574 ","237,181 ","176,463 ","231,311 ","226,793 ","205,249 ","153,987 ","168,157 ","138,878 ","127,307 ","122,410 ","243,765 "
Interest/Investment Income - Operating,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(328,192)","95,349 ","(61,331)","60,414 ","(44,043)","(85,016)","(187,724)","233,136 ","140,095 ","85,198 ","(193,649)","(3,444)","(156,892)","(189,479)","(107,746)","148,682 ","(137,222)","83,425 "
Interest Income - Operating,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(3,078)","(3,010)","(3,364)","(9,082)","(12,383)","(13,358)","(10,509)","(12,724)","(13,461)","(28,255)","(30,525)","(65,399)","(41,579)","(98,474)","(49,699)","(47,675)","(37,025)","(34,297)"
Investment Income - Operating,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(325,114)","98,359 ","(57,967)","69,496 ","(31,660)","(71,658)","(177,215)","245,860 ","153,556 ","113,453 ","(163,124)","61,955 ","(115,313)","(91,005)","(58,047)","196,357 ","(100,197)","117,722 "
"Interest Exp.(Inc.),Net-Operating, Total",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(328,192)","95,349 ","(61,331)","60,414 ","(44,043)","(85,016)","(187,724)","233,136 ","140,095 ","85,198 ","(193,649)","(3,444)","(156,892)","(189,479)","(107,746)","148,682 ","(137,222)","83,425 "
Unusual Expense (Income),--,--,--,--,"(226,592)",--,--,"(226,592)",--,--,--,--,--,--,--,--,--,--,--,--,(519),--,--,0 ,0 ,--,--,"49,297 ","(1,782,187)",--,--,189 ,"(252,365)",171 ,505 ,"101,318 ","5,018 ","(1,535,414)"
Impairment-Assets Held for Use,--,--,--,--,"(226,592)",--,--,"(226,592)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,--,--,"49,297 ","248,685 ",--,--,0 ,"(248,685)",--,--,"96,606 ",0 ,"588,992 "
Loss(Gain) on Sale of Assets - Operating,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,(519),--,--,--,--,--,--,--,--,--,--,498 ,"(3,680)",171 ,505 ,"4,712 ","5,018 ","34,443 "
Other Unusual Expense (Income),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,"(2,030,872)",--,--,(310),--,--,--,0 ,--,"(2,158,849)"
"Other Operating Expenses, Total",(8),(2),(6),(323),"(1,995)","(15,434)","(11,087)","(14,583)","(2,149)",--,--,--,--,--,--,--,--,--,--,--,"(6,906)","(1,425)",(783),"(1,184)","(10,764)","(1,359)","44,029 ","(2,084)","(3,555)","(2,762)","(4,493)","(4,560)","(1,692)","(4,132)","(10,694)","(47,601)","(20,959)","(383,570)"
Other Operating Expense,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,"48,252 ",--,--,--,--,--,--,--,--,--,--,--
"Other, Net",(8),(2),(6),(323),"(1,995)","(15,434)","(11,087)","(14,583)","(2,149)",--,--,--,--,--,--,--,--,--,--,--,"(6,906)","(1,425)",(783),"(1,184)","(10,764)","(1,359)","(4,223)","(2,084)","(3,555)","(2,762)","(4,493)","(4,560)","(1,692)","(4,132)","(10,694)","(47,601)","(20,959)","(383,570)"
Total Operating Expense,"158,231 ","163,676 ","161,009 ","186,246 ","74,098 ","383,062 ","334,462 ","151,456 ","337,566 ","433,743 ","424,997 ","431,048 ","385,618 ","381,869 ","386,955 ","406,076 ","351,246 ","355,986 ","372,045 ","457,187 ","120,798 ","566,220 ","425,960 ","610,742 ","476,348 ","458,542 ","381,859 ","941,688 ","(1,048,536)","817,208 ","549,964 ","730,355 ","262,542 ","542,004 ","723,874 ","1,098,034 ","662,254 ","(879,914)"
Operating Income,"593,905 ","611,287 ","569,767 ","580,104 ","708,656 ","376,414 ","450,593 ","605,171 ","460,416 ","455,847 ","428,941 ","349,923 ","415,881 ","491,964 ","442,720 ","409,239 ","456,546 ","491,617 ","417,998 ","523,987 ","765,619 ","403,377 ","811,943 ","525,992 ","570,302 ","629,670 ","920,404 ","289,986 ","2,207,014 ","619,249 ","993,570 ","536,364 ","794,688 ","550,709 ","839,703 ","219,873 ","531,819 ","1,963,554 "
Interest/Invest Income - Non-Operating,"(46,370)","(47,487)","(48,414)","(54,005)","(97,013)","73,615 ","(92,022)","(293,477)","(69,380)","(138,800)","(251,519)","340,343 ","(34,725)","(175,615)","47,265 ","(145,831)","31,126 ","(35,639)","(20,028)","(87,214)","(96,045)","(117,895)","(109,210)","(226,523)","(45,026)","(35,735)","(155,820)","(58,621)","(64,249)","(240,009)","(268,415)","(179,425)","(189,426)","(278,793)","(186,749)","(361,264)","26,229 ","(592,720)"
Interest Income - Non-Operating,--,--,--,--,--,--,--,--,"19,977 ","16,037 ","3,236 ","1,691 ","1,078 ","1,541 ","1,030 ","1,120 ",635 ,971 ,"1,413 ","2,986 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Investment Income - Non-Operating,"(46,370)","(47,487)","(48,414)","(54,005)","(97,013)","73,615 ","(92,022)","(293,477)","(89,358)","(154,836)","(254,755)","338,652 ","(35,803)","(177,156)","46,235 ","(146,950)","30,491 ","(36,610)","(21,441)","(90,200)","(96,045)","(117,895)","(109,210)","(226,523)","(45,026)","(35,735)","(155,820)","(58,621)","(64,249)","(240,009)","(268,415)","(179,425)","(189,426)","(278,793)","(186,749)","(361,264)","26,229 ","(592,720)"
"Interest Inc.(Exp.),Net-Non-Op., Total","(46,370)","(47,487)","(48,414)","(54,005)","(97,013)","73,615 ","(92,022)","(293,477)","(69,380)","(138,800)","(251,519)","340,343 ","(34,725)","(175,615)","47,265 ","(145,831)","31,126 ","(35,639)","(20,028)","(87,214)","(96,045)","(117,895)","(109,210)","(226,523)","(45,026)","(35,735)","(155,820)","(58,621)","(64,249)","(240,009)","(268,415)","(179,425)","(189,426)","(278,793)","(186,749)","(361,264)","26,229 ","(592,720)"
Gain (Loss) on Sale of Assets,--,--,--,--,--,0 ,0 ,--,"61,581 ",(586),0 ,"(18,266)",--,--,"794,659 ","(1,700)",--,--,0 ,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Other, Net",--,--,--,--,--,--,--,--,--,--,"16,825 ",331 ,"1,165 ","100,973 ","6,570 ","3,055 ","1,974 ","5,315 ","1,358 ","5,402 ","(2,815)","(1,112)","(18,782)","9,652 ",(453),"(5,172)",(829),"(34,158)","(380,024)","(6,798)",433 ,"(8,918)","3,205 ",0 ,"43,418 ","6,998 ",0 ,"(15,025)"
Other Non-Operating Income (Expense),--,--,--,--,--,--,--,--,--,--,"16,825 ",331 ,"1,165 ","100,973 ","6,570 ","3,055 ","1,974 ","5,315 ","1,358 ","5,402 ","(2,815)","(1,112)","(18,782)","9,652 ",(453),"(5,172)",(829),"(34,158)","(380,024)","(6,798)",433 ,"(8,918)","3,205 ",0 ,"43,418 ","6,998 ",0 ,"(15,025)"
Net Income Before Taxes,"547,535 ","563,800 ","521,352 ","526,099 ","611,644 ","450,029 ","358,570 ","311,694 ","452,617 ","460,634 ","194,247 ","672,331 ","382,321 ","417,322 ","1,291,214 ","264,765 ","489,646 ","461,293 ","399,328 ","442,175 ","666,759 ","284,370 ","683,951 ","309,120 ","524,823 ","588,763 ","763,755 ","197,207 ","1,762,741 ","372,442 ","725,588 ","348,021 ","608,467 ","271,916 ","696,372 ","(134,394)","558,048 ","1,355,809 "
Provision for Income Taxes,897 ,396 ,261 ,"9,862 ",(881),"(4,889)","(1,668)","(15,097)","(1,373)","(1,834)","(1,760)","10,576 ",347 ,"(1,664)","151,941 ","(45,053)","(1,917)","(2,543)","(1,862)","(1,994)","93,028 ","(70,375)","10,739 ",(839),"1,627 ","23,881 ","79,166 ","(40,619)","399,218 ","41,653 ","84,367 ","51,648 ","95,700 ","69,860 ","131,164 ","39,413 ","116,923 ","111,869 "
Net Income After Taxes,"546,638 ","563,404 ","521,092 ","516,237 ","612,525 ","454,918 ","360,239 ","326,790 ","453,990 ","462,468 ","196,007 ","661,754 ","381,974 ","418,986 ","1,139,273 ","309,817 ","491,563 ","463,836 ","401,190 ","444,170 ","573,731 ","354,745 ","673,212 ","309,960 ","523,196 ","564,882 ","684,589 ","237,826 ","1,363,523 ","330,789 ","641,221 ","296,373 ","512,767 ","202,056 ","565,208 ","(173,807)","441,125 ","1,243,940 "
Minority Interest,--,--,0 ,0 ,0 ,--,0 ,0 ,--,--,0 ,0 ,--,--,0 ,0 ,0 ,0 ,0 ,665 ,(43),33 ,(124),738 ,159 ,190 ,113 ,(134),(487),(552),(361),(442),(922),(940),(435),108 ,(612),(507)
Net Income Before Extra. Items,"546,638 ","563,404 ","521,092 ","516,237 ","612,525 ","454,918 ","360,239 ","326,790 ","453,990 ","462,468 ","196,007 ","661,754 ","381,974 ","418,986 ","1,139,273 ","309,817 ","491,563 ","463,836 ","401,190 ","444,835 ","573,688 ","354,778 ","673,088 ","310,698 ","523,355 ","565,072 ","684,702 ","237,692 ","1,363,036 ","330,237 ","640,860 ","295,931 ","511,845 ","201,116 ","564,773 ","(173,698)","440,513 ","1,243,433 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,"546,638 ","563,404 ","521,092 ","516,237 ","612,525 ","454,918 ","360,239 ","326,790 ","453,990 ","462,468 ","196,007 ","661,754 ","381,974 ","418,986 ","1,139,273 ","309,817 ","491,563 ","463,836 ","401,190 ","444,835 ","573,688 ","354,778 ","673,088 ","310,698 ","523,355 ","565,072 ","684,702 ","237,692 ","1,363,036 ","330,237 ","640,860 ","295,931 ","511,845 ","201,116 ","564,773 ","(173,698)","440,513 ","1,243,433 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Available to Com Excl ExtraOrd,"546,638 ","563,404 ","521,092 ","516,237 ","612,525 ","454,918 ","360,239 ","326,790 ","453,990 ","462,468 ","196,007 ","661,754 ","381,974 ","418,986 ","1,139,273 ","309,817 ","491,563 ","463,836 ","401,190 ","444,835 ","573,688 ","354,778 ","673,088 ","310,698 ","523,355 ","565,072 ","684,702 ","237,692 ","1,363,036 ","330,237 ","640,860 ","295,931 ","511,845 ","201,116 ","564,773 ","(173,698)","440,513 ","1,243,433 "
Income Available to Com Incl ExtraOrd,"546,638 ","563,404 ","521,092 ","516,237 ","612,525 ","454,918 ","360,239 ","326,790 ","453,990 ","462,468 ","196,007 ","661,754 ","381,974 ","418,986 ","1,139,273 ","309,817 ","491,563 ","463,836 ","401,190 ","444,835 ","573,688 ","354,778 ","673,088 ","310,698 ","523,355 ","565,072 ","684,702 ","237,692 ","1,363,036 ","330,237 ","640,860 ","295,931 ","511,845 ","201,116 ","564,773 ","(173,698)","440,513 ","1,243,433 "
Basic Weighted Average Shares,"750,182 ","750,182 ","750,182 ","750,182 ","779,593 ","1,419,264 ","1,451,770 ","2,021,754 ","2,017,382 ","2,041,912 ","2,019,019 ","2,019,606 ","2,020,459 ","2,022,579 ","2,024,067 ","2,024,259 ","2,024,361 ","2,025,062 ","2,026,169 ","2,026,372 ","2,026,408 ","2,026,449 ","2,026,472 ","2,266,968 ","2,641,539 ","2,641,870 ","2,696,304 ","2,846,154 ","2,894,064 ","2,894,096 ","2,895,579 ","2,905,353 ","2,907,729 ","2,908,081 ","2,923,930 ","2,932,911 ","2,995,759 ","2,995,759 "
Basic EPS Excluding Extraordinary Items,0.73 ,0.75 ,0.69 ,0.69 ,0.79 ,0.32 ,0.25 ,0.16 ,0.23 ,0.23 ,0.10 ,0.33 ,0.19 ,0.21 ,0.56 ,0.15 ,0.24 ,0.23 ,0.20 ,0.22 ,0.28 ,0.18 ,0.33 ,0.14 ,0.20 ,0.21 ,0.25 ,0.08 ,0.47 ,0.11 ,0.22 ,0.10 ,0.18 ,0.07 ,0.19 ,(0.06),0.15 ,0.42 
Basic EPS Including Extraordinary Items,0.73 ,0.75 ,0.69 ,0.69 ,0.79 ,0.32 ,0.25 ,0.16 ,0.23 ,0.23 ,0.10 ,0.33 ,0.19 ,0.21 ,0.56 ,0.15 ,0.24 ,0.23 ,0.20 ,0.22 ,0.28 ,0.18 ,0.33 ,0.14 ,0.20 ,0.21 ,0.25 ,0.08 ,0.47 ,0.11 ,0.22 ,0.10 ,0.18 ,0.07 ,0.19 ,(0.06),0.15 ,0.42 
Dilution Adjustment,--,--,--,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--
Diluted Net Income,"546,638 ","563,404 ","521,092 ","516,237 ","612,525 ","454,918 ","360,239 ","326,790 ","453,990 ","462,468 ","196,007 ","661,754 ","381,974 ","418,986 ","1,139,273 ","309,817 ","491,563 ","463,836 ","401,190 ","444,835 ","573,688 ","354,778 ","673,088 ","310,698 ","523,355 ","565,072 ","684,702 ","237,692 ","1,363,036 ","330,237 ","640,860 ","295,931 ","511,845 ","201,116 ","564,773 ","(173,698)","440,513 ","1,243,433 "
Diluted Weighted Average Shares,"750,182 ","750,182 ","750,182 ","750,182 ","779,593 ","1,441,180 ","1,451,770 ","2,021,754 ","2,017,382 ","2,045,931 ","2,022,009 ","2,023,647 ","2,020,459 ","2,023,752 ","2,024,377 ","2,038,223 ","2,025,854 ","2,025,447 ","2,026,169 ","2,026,372 ","2,026,561 ","2,026,597 ","2,026,612 ","2,911,012 ","2,801,910 ","2,802,241 ","2,823,974 ","2,846,154 ","2,930,075 ","2,928,678 ","2,926,421 ","2,945,799 ","2,924,110 ","2,923,193 ","2,923,930 ","2,932,911 ","2,995,759 ","2,995,759 "
Diluted EPS Excluding ExtraOrd Items,0.73 ,0.75 ,0.69 ,0.69 ,0.79 ,0.32 ,0.25 ,0.16 ,0.23 ,0.23 ,0.10 ,0.33 ,0.19 ,0.21 ,0.56 ,0.15 ,0.24 ,0.23 ,0.20 ,0.22 ,0.28 ,0.18 ,0.33 ,0.11 ,0.19 ,0.20 ,0.24 ,0.08 ,0.47 ,0.11 ,0.22 ,0.10 ,0.18 ,0.07 ,0.19 ,(0.06),0.15 ,0.42 
Diluted EPS Including ExtraOrd Items,0.73 ,0.75 ,0.69 ,0.69 ,0.79 ,0.32 ,0.25 ,0.16 ,0.23 ,0.23 ,0.10 ,0.33 ,0.19 ,0.21 ,0.56 ,0.15 ,0.24 ,0.23 ,0.20 ,0.22 ,0.28 ,0.18 ,0.33 ,0.11 ,0.19 ,0.20 ,0.24 ,0.08 ,0.47 ,0.11 ,0.22 ,0.10 ,0.18 ,0.07 ,0.19 ,(0.06),0.15 ,0.42 
Supplemental (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPS - Common Stock Primary Issue,0.00 ,0.00 ,0.00 ,--,0.00 ,0.38 ,0.15 ,0.15 ,0.15 ,0.15 ,0.15 ,0.16 ,0.16 ,0.16 ,0.16 ,0.16 ,0.16 ,0.16 ,0.16 ,0.16 ,0.00 ,0.16 ,0.00 ,0.17 ,0.00 ,0.16 ,0.00 ,0.17 ,0.00 ,0.20 ,0.00 ,0.16 ,0.00 ,0.10 ,0.00 ,0.15 ,0.00 ,0.10 
Gross Dividends - Common Stock,0 ,0 ,0 ,0 ,0 ,"776,100 ","298,500 ","298,500 ","298,700 ","298,820 ","298,840 ","319,100 ","319,440 ","319,480 ","319,490 ","319,590 ","319,520 ","319,810 ","319,820 ","319,780 ",0 ,"319,830 ",0 ,"448,990 ",0 ,"433,960 ",0 ,"491,991 ",0 ,"579,176 ",0 ,"465,235 ",0 ,"290,890 ",0 ,--,0 ,--
Total Special Items,--,--,--,--,"(226,592)",0 ,0 ,"(226,592)","(61,581)",586 ,0 ,"18,266 ",--,--,"(794,659)","1,700 ",--,--,0 ,0 ,(519),--,--,0 ,0 ,--,--,"49,297 ","(1,782,187)",--,--,189 ,"(252,365)",171 ,505 ,"101,318 ","5,018 ","(1,535,414)"
Normalized Income Before Taxes,"547,535 ","563,800 ","521,352 ","526,099 ","385,051 ","450,029 ","358,570 ","85,101 ","391,035 ","461,221 ","194,247 ","690,596 ","382,321 ","417,322 ","496,555 ","266,464 ","489,646 ","461,293 ","399,328 ","442,175 ","666,240 ","284,370 ","683,951 ","309,120 ","524,823 ","588,763 ","763,755 ","246,504 ","(19,446)","372,442 ","725,588 ","348,210 ","356,102 ","272,087 ","696,877 ","(33,076)","563,066 ","(179,605)"
Effect of Special Items on Income Taxes,--,--,--,--,"(79,307)",0 ,0 ,"(79,307)","(21,553)",205 ,0 ,287 ,--,--,"(93,510)",595 ,--,--,0 ,0 ,(72),--,--,0 ,0 ,--,--,"17,254 ","(623,765)",--,--,28 ,"(39,692)",44 ,95 ,"35,461 ","1,051 ","(537,395)"
Inc Tax Ex Impact of Sp Items,897 ,396 ,261 ,"9,862 ","(80,188)","(4,889)","(1,668)","(94,404)","(22,926)","(1,629)","(1,760)","10,864 ",347 ,"(1,664)","58,431 ","(44,458)","(1,917)","(2,543)","(1,862)","(1,994)","92,956 ","(70,375)","10,739 ",(839),"1,627 ","23,881 ","79,166 ","(23,365)","(224,547)","41,653 ","84,367 ","51,676 ","56,008 ","69,904 ","131,259 ","74,874 ","117,974 ","(425,526)"
Normalized Income After Taxes,"546,638 ","563,404 ","521,092 ","516,237 ","465,239 ","454,918 ","360,239 ","179,505 ","413,962 ","462,849 ","196,007 ","679,733 ","381,974 ","418,986 ","438,124 ","310,922 ","491,563 ","463,836 ","401,190 ","444,170 ","573,284 ","354,745 ","673,212 ","309,960 ","523,196 ","564,882 ","684,589 ","269,869 ","205,101 ","330,789 ","641,221 ","296,534 ","300,094 ","202,183 ","565,618 ","(107,950)","445,092 ","245,921 "
Normalized Inc. Avail to Com.,"546,638 ","563,404 ","521,092 ","516,237 ","465,239 ","454,918 ","360,239 ","179,505 ","413,962 ","462,849 ","196,007 ","679,733 ","381,974 ","418,986 ","438,124 ","310,922 ","491,563 ","463,836 ","401,190 ","444,835 ","573,241 ","354,778 ","673,088 ","310,698 ","523,355 ","565,072 ","684,702 ","269,735 ","204,614 ","330,237 ","640,860 ","296,092 ","299,172 ","201,243 ","565,183 ","(107,842)","444,480 ","245,414 "
Basic Normalized EPS,0.73 ,0.75 ,0.69 ,0.69 ,0.60 ,0.32 ,0.25 ,0.09 ,0.21 ,0.23 ,0.10 ,0.34 ,0.19 ,0.21 ,0.22 ,0.15 ,0.24 ,0.23 ,0.20 ,0.22 ,0.28 ,0.18 ,0.33 ,0.14 ,0.20 ,0.21 ,0.25 ,0.09 ,0.07 ,0.11 ,0.22 ,0.10 ,0.10 ,0.07 ,0.19 ,(0.04),0.15 ,0.08 
Diluted Normalized EPS,0.73 ,0.75 ,0.69 ,0.69 ,0.60 ,0.32 ,0.25 ,0.09 ,0.21 ,0.23 ,0.10 ,0.34 ,0.19 ,0.21 ,0.22 ,0.15 ,0.24 ,0.23 ,0.20 ,0.22 ,0.28 ,0.18 ,0.33 ,0.11 ,0.19 ,0.20 ,0.24 ,0.09 ,0.07 ,0.11 ,0.22 ,0.10 ,0.10 ,0.07 ,0.19 ,(0.04),0.15 ,0.08 
"Amort of Intangibles, Supplemental",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"114,740 ","129,746 ","136,299 ","135,293 ","125,705 ","141,373 ","175,242 ","175,846 ","174,177 ","177,513 "
"Depreciation, Supplemental","117,710 ","119,220 ","120,502 ","120,559 ","144,363 ","145,804 ","158,788 ","169,493 ","163,934 ","179,233 ","179,785 ","179,245 ","176,547 ","178,005 ","183,152 ","155,447 ","152,886 ","159,875 ","165,501 ","211,986 ","236,306 ","260,262 ","283,176 ","298,346 ","291,911 ","291,754 ","286,449 ","310,126 ","210,013 ","260,151 ","261,392 ","256,696 ","257,494 ","280,173 ","326,443 ","325,514 ","320,966 ","320,863 "
"Interest Capitalized, Supplemental",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(1,010)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Equity in Affiliates, Supplemental",--,--,--,--,--,0 ,--,--,--,--,"41,659 ","422,689 ","99,797 ","19,050 ","113,615 ","2,052 ","121,720 ","62,328 ","123,089 ","47,522 ","91,473 ","102,446 ","100,677 ","(24,536)","140,453 ","157,038 ","150,296 ","152,194 ","141,710 ","(8,702)","(17,146)","13,803 ","39,963 ","(30,818)","183,168 ","59,456 ","445,556 ","(182,212)"
"Minority Interest, Supplemental",--,--,0 ,0 ,0 ,--,0 ,0 ,--,--,0 ,0 ,--,--,0 ,0 ,0 ,0 ,0 ,665 ,(43),33 ,(124),738 ,159 ,190 ,113 ,(134),(487),(552),(361),(442),(922),(940),(435),108 ,(612),(507)
