Ekarat Engineering PCL | Ratios - Key Metrics                                25-Sep-2024 16:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios - Key Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interim Standardised in Millions of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004 ,,2005 ,,,,2006 ,,,,2007 ,,,,2008 ,,,,2009 ,,,,2010 ,,,,2011 ,,,,2012 ,,,,2013 ,,,,2014 ,,,,2015 ,,,,2016 ,,,,2017 ,,,,2018 ,,,,2019 ,,,,2020 ,,,,2021 ,,,,2022 ,,,,2023 ,,,,2024 ,
Asset Turnover,0.16 ,-,-,-,-,-,-,0.24 ,0.28 ,0.27 ,0.24 ,0.11 ,0.13 ,0.23 ,0.20 ,0.16 ,0.19 ,0.23 ,0.24 ,0.15 ,0.11 ,0.14 ,0.18 ,0.15 ,0.13 ,0.14 ,0.27 ,0.16 ,0.19 ,0.23 ,0.28 ,0.22 ,0.20 ,0.26 ,0.33 ,0.26 ,0.19 ,0.22 ,0.23 ,0.16 ,0.22 ,0.24 ,0.32 ,0.15 ,0.23 ,0.29 ,0.28 ,0.17 ,0.18 ,0.16 ,0.31 ,0.16 ,0.17 ,0.26 ,0.41 ,0.17 ,0.20 ,0.19 ,0.22 ,0.16 ,0.26 ,0.24 ,0.33 ,0.21 ,0.18 ,0.22 ,0.25 ,0.22 ,0.18 ,0.18 ,0.21 ,0.17 ,0.25 ,0.21 ,0.34 ,0.29 ,0.17 ,0.23 ,0.33 ,0.20 ,0.22 
x Pretax Margin,10.4% ,8.6%,(9.7%),1.2%,16.0%,14.2%,10.5%,1.1%,10.5%,13.7%,12.8%,(2.4%),1.8%,13.6%,1.9%,(1.0%),(3.3%),3.6%,0.1%,(2.2%),(22.0%),(18.9%),(21.2%),(13.0%),(23.1%),(10.1%),(30.3%),(14.5%),(5.3%),(2.4%),5.5%,1.1%,2.9%,8.9%,18.2%,8.0%,1.5%,1.8%,98.4%,(0.3%),3.5%,7.8%,11.0%,(2.2%),3.3%,3.8%,14.3%,0.3%,(5.5%),(2.9%),(8.4%),(7.7%),(5.7%),13.2%,50.6%,(2.3%),(1.7%),1.7%,(88.1%),(10.3%),12.0%,4.9%,7.3%,(1.1%),3.0%,8.1%,21.0%,8.4%,4.6%,7.0%,9.9%,7.1%,8.1%,8.3%,12.0%,11.7%,4.2%,13.8%,15.9%,10.9%,9.8%
Pretax ROA,1.4% ,-,-,-,-,-,-,0.3%,3.0%,3.7%,3.1%,(0.3%),0.2%,3.1%,0.4%,(0.2%),(0.6%),0.8%,0.0%,(0.3%),(2.5%),(2.7%),(3.7%),(2.0%),(3.1%),(1.5%),(8.1%),(2.3%),(1.0%),(0.5%),1.6%,0.2%,0.6%,2.3%,6.0%,2.1%,0.3%,0.4%,23.1%,0.0%,0.8%,1.8%,3.6%,(0.3%),0.8%,1.1%,4.0%,0.0%,(1.0%),(0.5%),(2.6%),(1.2%),(1.0%),3.4%,20.8%,(0.4%),(0.3%),0.3%,(19.2%),(1.6%),3.1%,1.2%,2.4%,(0.2%),0.6%,1.8%,5.3%,1.9%,0.8%,1.3%,2.1%,1.2%,2.0%,1.8%,4.1%,3.5%,0.7%,3.1%,5.2%,2.2%,2.2%
x Leverage (Assets/Equity),2.61 ,-,4.72 ,-,2.39 ,-,2.23 ,2.37 ,2.29 ,1.50 ,1.59 ,1.92 ,2.29 ,2.30 ,2.11 ,2.48 ,2.56 ,2.77 ,2.57 ,2.47 ,2.76 ,2.88 ,3.03 ,3.47 ,3.68 ,4.07 ,5.40 ,6.31 ,7.38 ,8.38 ,7.95 ,8.66 ,8.46 ,8.21 ,5.44 ,5.32 ,5.24 ,5.46 ,1.64 ,1.66 ,1.73 ,1.76 ,1.71 ,1.64 ,1.76 ,1.81 ,1.59 ,1.54 ,1.58 ,1.58 ,1.78 ,1.80 ,1.91 ,1.79 ,1.68 ,1.67 ,1.68 ,1.66 ,1.83 ,1.80 ,1.86 ,1.81 ,1.76 ,1.81 ,1.83 ,1.67 ,1.44 ,1.43 ,1.44 ,1.59 ,1.62 ,1.54 ,1.65 ,1.73 ,1.61 ,1.59 ,1.61 ,1.59 ,1.50 ,1.53 ,1.61 
Pretax ROE,4.2% ,-,-,-,-,-,-,0.6%,6.9%,6.5%,4.8%,(0.5%),0.5%,7.1%,0.8%,(0.4%),(1.6%),2.2%,0.1%,(0.8%),(6.5%),(7.5%),(11.0%),(6.5%),(11.1%),(5.6%),(37.0%),(13.2%),(6.8%),(4.3%),12.8%,2.1%,4.8%,19.2%,39.5%,11.0%,1.5%,2.1%,58.9%,(0.1%),1.3%,3.2%,6.2%,(0.5%),1.3%,1.9%,6.9%,0.1%,(1.5%),(0.7%),(4.3%),(2.1%),(1.8%),6.3%,36.0%,(0.6%),(0.6%),0.5%,(33.4%),(2.9%),5.7%,2.2%,4.3%,(0.4%),1.0%,3.1%,8.3%,2.7%,1.2%,1.9%,3.3%,1.9%,3.2%,3.0%,6.9%,5.5%,1.1%,5.0%,8.1%,3.3%,3.4%
x Tax Complement,0.75 ,1.17 ,-,0.92 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.83 ,0.66 ,-,(0.12),0.66 ,0.05 ,-,-,0.16 ,(12.20),-,-,-,-,-,-,-,-,-,-,-,0.38 ,(1.88),(0.03),0.59 ,0.66 ,0.63 ,(0.38),(0.80),0.97 ,-,0.66 ,0.86 ,0.77 ,-,0.74 ,0.77 ,0.79 ,1.05 ,-,-,-,-,-,1.02 ,0.98 ,-,-,1.14 ,-,-,1.06 ,0.93 ,0.93 ,-,0.77 ,0.91 ,0.80 ,0.81 ,0.84 ,0.85 ,0.81 ,0.83 ,0.84 ,0.79 ,0.78 ,0.81 ,0.65 ,0.81 ,0.77 ,0.76 ,0.77 
ROE,2.7% ,-,-,-,-,-,-,0.6%,6.9%,5.5%,3.2%,(0.6%),(0.1%),4.7%,0.0%,(1.0%),(2.4%),0.4%,(1.1%),(1.8%),(6.9%),(8.3%),(10.9%),(6.7%),(11.1%),(6.0%),(42.2%),(15.2%),(11.2%),(10.5%),4.9%,(3.9%),(0.1%),11.4%,26.0%,6.9%,(0.6%),(1.7%),57.4%,(0.1%),0.9%,2.7%,4.7%,(0.5%),1.0%,1.5%,5.4%,0.1%,(1.4%),(0.4%),(3.7%),(2.1%),(1.8%),6.4%,35.3%,(0.5%),(0.7%),0.6%,(26.7%),(3.2%),6.0%,2.0%,4.0%,(0.6%),0.8%,2.8%,6.6%,2.2%,1.0%,1.6%,2.7%,1.6%,2.7%,2.4%,5.4%,4.5%,0.7%,4.1%,6.2%,2.5%,2.6%
x Earnings Retention,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,(1.07),-,-,1.00 ,(151.54),-,-,1.00 ,-,-,-,-,-,-,-,-,-,-,-,-,1.00 ,-,-,1.00 ,0.95 ,1.00 ,-,-,0.86 ,-,1.00 ,1.00 ,(0.53),-,1.00 ,1.00 ,0.04 ,1.00 ,-,-,-,-,-,1.00 ,0.90 ,-,-,1.00 ,-,-,1.00 ,1.00 ,1.00 ,-,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,(0.29),1.00 ,0.37 ,1.00 ,0.08 ,1.00 ,1.00 ,0.61 ,(0.05),1.00 ,1.00 
Reinvestment Rate,1.7% ,-,-,-,-,-,-,0.6%,6.9%,5.5%,(3.4%),(0.6%),(0.1%),4.7%,(6.5%),(1.0%),(2.4%),0.4%,(8.4%),(1.8%),(6.9%),(8.3%),(10.9%),(6.7%),(11.1%),(6.0%),(42.2%),(15.2%),(11.2%),(10.5%),4.9%,(3.9%),(0.1%),11.4%,24.8%,6.9%,(0.6%),(1.7%),49.4%,(0.1%),0.9%,2.7%,(2.5%),(0.5%),1.0%,1.5%,0.2%,0.1%,(1.4%),(0.4%),(6.5%),(2.1%),(1.8%),6.4%,31.9%,(0.5%),(0.7%),0.6%,(26.7%),(3.2%),6.0%,2.0%,4.0%,(0.6%),0.8%,2.8%,6.6%,2.2%,1.0%,1.6%,(0.8%),1.6%,1.0%,2.4%,0.4%,4.5%,0.7%,2.5%,(0.3%),2.5%,2.6%
Liquidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick Ratio,0.98 ,-,0.55 ,-,0.79 ,-,0.58 ,0.53 ,0.62 ,1.27 ,0.93 ,0.72 ,0.45 ,0.69 ,0.58 ,0.47 ,0.51 ,0.56 ,0.55 ,0.38 ,0.30 ,0.19 ,0.18 ,0.22 ,0.18 ,0.18 ,0.23 ,0.21 ,0.24 ,0.28 ,0.30 ,0.68 ,0.68 ,0.75 ,0.96 ,0.61 ,0.58 ,0.58 ,1.21 ,1.00 ,0.90 ,0.89 ,1.14 ,0.95 ,0.74 ,0.74 ,0.90 ,0.73 ,0.55 ,0.45 ,0.70 ,0.43 ,0.42 ,0.52 ,0.50 ,0.47 ,0.44 ,0.49 ,0.59 ,0.47 ,0.72 ,0.68 ,0.86 ,0.82 ,0.74 ,0.84 ,1.32 ,1.42 ,1.48 ,0.87 ,0.73 ,0.64 ,0.68 ,0.64 ,0.76 ,0.94 ,0.75 ,0.80 ,1.04 ,0.87 ,0.76 
Current Ratio,1.45 ,-,0.89 ,-,1.42 ,-,1.14 ,1.05 ,1.12 ,2.22 ,1.66 ,1.49 ,1.21 ,1.19 ,1.09 ,1.01 ,1.25 ,1.19 ,1.20 ,1.15 ,0.96 ,0.57 ,0.48 ,0.52 ,0.48 ,0.50 ,0.48 ,0.49 ,0.51 ,0.51 ,0.52 ,1.48 ,1.53 ,1.47 ,2.05 ,1.18 ,1.16 ,1.11 ,1.94 ,1.80 ,1.67 ,1.62 ,1.70 ,1.75 ,1.48 ,1.45 ,1.68 ,1.73 ,1.52 ,1.45 ,1.25 ,1.18 ,1.11 ,1.22 ,1.34 ,1.36 ,1.31 ,1.34 ,1.35 ,1.35 ,1.44 ,1.50 ,1.63 ,1.61 ,1.62 ,1.85 ,2.82 ,2.86 ,2.83 ,2.24 ,2.16 ,2.40 ,2.07 ,1.96 ,2.18 ,2.24 ,2.13 ,2.21 ,2.38 ,2.30 ,2.08 
Times Interest Earned,22.3 ,9.6 ,(7.6),1.6 ,14.3 ,10.2 ,8.5 ,1.7 ,7.6 ,11.9 ,15.5 ,0.0 ,1.8 ,7.2 ,2.4 ,0.7 ,0.3 ,1.9 ,1.1 ,0.8 ,(0.5),(0.6),(1.2),(0.1),(0.8),0.2 ,1.8 ,(0.3),0.4 ,0.7 ,1.9 ,1.2 ,1.7 ,4.1 ,7.5 ,3.7 ,1.4 ,3.2 ,0.7 ,0.9 ,2.4 ,4.9 ,12.1 ,0.3 ,3.8 ,3.6 ,11.8 ,1.1 ,(1.7),(0.3),(3.3),(2.6),(2.8),7.3 ,60.6 ,(0.2),(0.2),2.3 ,3.0 ,(3.8),10.7 ,5.2 ,11.3 ,0.3 ,2.8 ,7.7 ,24.9 ,13.1 ,6.4 ,8.9 ,12.3 ,5.9 ,10.2 ,7.8 ,14.0 ,13.4 ,4.0 ,10.6 ,17.9 ,9.4 ,8.8 
Cash Cycle (Days),123.7 ,-,-,-,-,-,-,174.4 ,140.6 ,164.4 ,166.6 ,331.8 ,269.4 ,153.6 ,150.3 ,169.3 ,131.8 ,121.5 ,126.9 ,212.2 ,270.0 ,206.5 ,141.6 ,150.8 ,167.7 ,164.4 ,90.2 ,132.9 ,112.0 ,90.4 ,71.0 ,96.3 ,112.5 ,89.5 ,88.7 ,118.3 ,146.7 ,127.1 ,107.2 ,135.9 ,111.9 ,111.1 ,79.7 ,155.1 ,111.1 ,101.6 ,118.3 ,204.1 ,178.0 ,199.4 ,85.9 ,156.7 ,146.7 ,105.4 ,81.7 ,160.3 ,135.4 ,125.4 ,117.0 ,176.3 ,137.9 ,151.2 ,113.9 ,172.6 ,190.1 ,169.4 ,163.7 ,162.7 ,176.5 ,197.4 ,211.8 ,310.9 ,216.0 ,254.7 ,156.8 ,189.1 ,357.5 ,248.0 ,159.9 ,253.0 ,238.0 
Leverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assets/Equity,2.61 ,-,4.72 ,-,2.39 ,-,2.23 ,2.37 ,2.29 ,1.50 ,1.59 ,1.92 ,2.29 ,2.30 ,2.11 ,2.48 ,2.56 ,2.77 ,2.57 ,2.47 ,2.76 ,2.88 ,3.03 ,3.47 ,3.68 ,4.07 ,5.40 ,6.31 ,7.38 ,8.38 ,7.95 ,8.66 ,8.46 ,8.21 ,5.44 ,5.32 ,5.24 ,5.46 ,1.64 ,1.66 ,1.73 ,1.76 ,1.71 ,1.64 ,1.76 ,1.81 ,1.59 ,1.54 ,1.58 ,1.58 ,1.78 ,1.80 ,1.91 ,1.79 ,1.68 ,1.67 ,1.68 ,1.66 ,1.83 ,1.80 ,1.86 ,1.81 ,1.76 ,1.81 ,1.83 ,1.67 ,1.44 ,1.43 ,1.44 ,1.59 ,1.62 ,1.54 ,1.65 ,1.73 ,1.61 ,1.59 ,1.61 ,1.59 ,1.50 ,1.53 ,1.61 
Debt/Equity,0.12 ,-,2.45 ,-,0.88 ,-,0.92 ,0.89 ,0.89 ,0.27 ,0.24 ,0.57 ,0.91 ,0.96 ,0.81 ,1.03 ,1.13 ,1.33 ,1.18 ,1.16 ,1.44 ,1.44 ,1.70 ,1.73 ,2.15 ,2.40 ,3.42 ,3.99 ,4.68 ,5.18 ,4.84 ,5.17 ,5.02 ,4.85 ,3.32 ,3.15 ,3.13 ,3.24 ,0.32 ,0.33 ,0.35 ,0.35 ,0.30 ,0.27 ,0.32 ,0.34 ,0.28 ,0.23 ,0.22 ,0.24 ,0.38 ,0.38 ,0.45 ,0.35 ,0.30 ,0.33 ,0.29 ,0.28 ,0.40 ,0.37 ,0.47 ,0.40 ,0.35 ,0.38 ,0.35 ,0.28 ,0.13 ,0.10 ,0.09 ,0.19 ,0.23 ,0.20 ,0.21 ,0.30 ,0.20 ,0.27 ,0.27 ,0.24 ,0.19 ,0.20 ,0.22 
% LT Debt to Total Capital,6.8% ,-,40.5%,-,9.4%,-,5.2%,5.7%,7.9%,7.9%,10.1%,15.7%,27.6%,24.6%,23.8%,18.2%,33.0%,28.8%,30.1%,28.6%,27.0%,1.1%,0.9%,0.8%,0.7%,0.5%,0.5%,0.3%,0.4%,0.2%,0.1%,77.8%,79.4%,72.7%,73.9%,51.1%,51.4%,51.0%,18.0%,16.5%,16.1%,14.2%,12.7%,11.2%,9.8%,8.2%,6.9%,5.3%,3.8%,2.0%,7.0%,6.2%,5.6%,5.5%,7.6%,7.1%,7.2%,7.4%,8.3%,9.2%,7.5%,7.1%,6.7%,6.0%,5.6%,5.2%,5.0%,4.5%,3.6%,2.9%,2.4%,2.1%,1.7%,2.1%,1.8%,1.3%,1.1%,1.5%,1.2%,1.0%,0.9%
(Total Debt - Cash) / EBITDA,(0.93) ,-,-,-,-,-,-,23.92 ,8.11 ,4.62 ,2.54 ,26.22 ,28.46 ,9.38 ,26.87 ,27.74 ,28.77 ,15.51 ,33.03 ,19.34 ,159.00 ,202.34 ,-,44.74 ,-,38.82 ,13.22 ,82.37 ,30.20 ,25.08 ,13.91 ,19.71 ,24.35 ,13.71 ,6.54 ,13.93 ,24.90 ,15.14 ,14.65 ,7.98 ,5.50 ,4.13 ,1.60 ,4.36 ,4.42 ,5.59 ,2.35 ,7.34 ,17.31 ,10.19 ,-,-,-,3.99 ,0.67 ,13.39 ,11.98 ,7.03 ,6.67 ,-,4.31 ,7.17 ,3.66 ,16.59 ,8.31 ,4.14 ,1.24 ,0.97 ,-,-,1.30 ,3.78 ,3.05 ,3.84 ,2.06 ,2.41 ,5.66 ,2.58 ,0.87 ,0.73 ,2.14 
Operating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/R Turnover,0.8 ,-,-,-,-,-,-,1.1 ,1.2 ,1.1 ,1.1 ,0.7 ,1.1 ,1.5 ,1.1 ,1.0 ,1.4 ,1.6 ,1.5 ,1.2 ,1.2 ,1.5 ,1.7 ,1.4 ,1.1 ,1.4 ,2.2 ,1.2 ,1.3 ,1.3 ,1.4 ,1.1 ,1.1 ,1.4 ,1.8 ,1.6 ,1.1 ,1.2 ,1.3 ,1.1 ,1.4 ,1.3 ,1.7 ,0.9 ,1.5 ,1.5 ,1.4 ,0.9 ,1.2 ,1.3 ,1.9 ,0.9 ,1.2 ,1.8 ,3.2 ,1.4 ,1.8 ,1.7 ,1.6 ,1.1 ,1.5 ,1.2 ,1.6 ,0.9 ,0.9 ,1.2 ,1.4 ,1.3 ,1.2 ,1.4 ,1.6 ,1.3 ,1.7 ,1.3 ,2.0 ,1.4 ,0.8 ,1.3 ,1.9 ,1.3 ,1.3 
Avg. A/R Days,108.5 ,-,-,-,-,-,-,83.6 ,72.9 ,83.9 ,83.4 ,139.4 ,85.8 ,62.4 ,79.7 ,87.0 ,64.4 ,55.6 ,60.4 ,76.5 ,79.3 ,61.5 ,52.5 ,65.8 ,81.9 ,65.4 ,40.9 ,79.1 ,69.8 ,69.6 ,65.9 ,82.5 ,82.8 ,66.9 ,49.9 ,57.6 ,82.6 ,77.4 ,71.9 ,85.4 ,67.2 ,68.6 ,55.1 ,100.8 ,58.7 ,62.5 ,66.4 ,98.0 ,74.6 ,71.8 ,48.9 ,101.8 ,74.4 ,50.3 ,28.6 ,66.8 ,51.8 ,52.7 ,58.7 ,84.9 ,59.0 ,73.5 ,58.6 ,99.8 ,97.6 ,73.9 ,64.5 ,70.7 ,78.1 ,67.1 ,57.5 ,68.6 ,52.2 ,70.7 ,45.7 ,65.7 ,115.0 ,71.9 ,47.5 ,72.0 ,71.0 
