Absolute Clean Energy PCL | Ratios - Key Metrics                                25-Sep-2024 16:39,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios - Key Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,
Interim Standardised in Millions of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018 ,,,,2019 ,,,,2020 ,,,,2021 ,,,,2022 ,,,,2023 ,,,,2024 
Cash Cycle (Days),46.5 ,-,-,-,48.1 ,47.8 ,46.2 ,62.5 ,72.3 ,68.2 ,61.8 ,76.0 ,89.8 ,100.7 ,107.0 ,107.8 ,102.1 ,100.6 ,107.8 ,103.4 ,114.6 ,131.9 ,142.1 ,139.1 ,140.6 ,160.9 
Leverage,,,,,,,,,,,,,,,,,,,,,,,,,,
Assets/Equity,3.47 ,-,-,2.55 ,2.49 ,2.43 ,2.35 ,2.26 ,1.31 ,1.27 ,1.31 ,1.39 ,1.37 ,1.41 ,1.43 ,1.40 ,1.41 ,1.38 ,1.42 ,1.39 ,1.42 ,1.41 ,1.40 ,1.38 ,1.43 ,1.43 
Debt/Equity,1.39 ,-,-,1.45 ,1.40 ,1.33 ,1.25 ,1.19 ,0.28 ,0.23 ,0.27 ,0.34 ,0.33 ,0.37 ,0.38 ,0.36 ,0.36 ,0.33 ,0.36 ,0.33 ,0.36 ,0.35 ,0.35 ,0.32 ,0.37 ,0.35 
% LT Debt to Total Capital,38.9% ,-,-,39.5%,49.6%,48.6%,36.5%,34.6%,13.9%,13.8%,16.2%,20.5%,19.5%,22.6%,22.2%,21.6%,21.3%,20.3%,21.9%,20.9%,20.1%,19.0%,19.9%,18.6%,21.4%,20.2%
(Total Debt - Cash) / EBITDA,29.61 ,-,-,-,21.29 ,19.20 ,15.52 ,15.41 ,10.33 ,5.61 ,5.20 ,5.73 ,6.84 ,6.95 ,7.19 ,7.47 ,6.71 ,6.90 ,7.14 ,7.49 ,7.80 ,8.55 ,9.15 ,8.60 ,8.81 ,9.98 
Operating,,,,,,,,,,,,,,,,,,,,,,,,,,
A/R Turnover,1.1 ,-,-,-,1.4 ,1.3 ,1.4 ,1.3 ,1.3 ,1.5 ,1.8 ,1.6 ,1.5 ,1.5 ,1.4 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.2 ,1.2 ,1.2 ,1.1 ,1.1 ,0.9 
Avg. A/R Days,82.0 ,-,-,-,66.9 ,68.3 ,63.6 ,68.2 ,67.7 ,61.7 ,50.8 ,56.0 ,62.2 ,62.1 ,64.7 ,70.2 ,68.8 ,70.3 ,70.9 ,69.0 ,76.5 ,78.3 ,78.9 ,79.5 ,80.5 ,95.8 
Inv Turnover,5.1 ,-,-,-,7.4 ,7.6 ,5.6 ,4.1 ,4.1 ,4.2 ,4.1 ,2.9 ,2.3 ,1.8 ,1.7 ,1.8 ,2.0 ,2.0 ,1.7 ,1.7 ,1.6 ,1.3 ,1.1 ,1.1 ,1.1 ,1.0 
Avg. Inventory Days,17.8 ,-,-,-,12.4 ,12.0 ,16.3 ,22.0 ,21.9 ,21.9 ,22.2 ,31.1 ,39.4 ,50.3 ,54.4 ,50.2 ,46.6 ,46.1 ,54.7 ,52.5 ,57.6 ,72.4 ,80.3 ,80.3 ,81.6 ,89.7 
Avg. A/P Days,83.6 ,-,-,-,31.1 ,32.5 ,33.8 ,27.7 ,17.4 ,15.4 ,11.2 ,11.2 ,11.8 ,11.7 ,12.1 ,12.6 ,13.3 ,15.8 ,17.8 ,18.0 ,19.4 ,18.8 ,17.1 ,20.7 ,21.5 ,24.6 
Fixed Asset Turnover,0.11 ,-,-,-,0.15 ,0.15 ,0.16 ,0.16 ,0.15 ,0.16 ,0.20 ,0.17 ,0.15 ,0.14 ,0.14 ,0.15 ,0.15 ,0.15 ,0.15 ,0.17 ,0.16 ,0.15 ,0.13 ,0.13 ,0.13 ,0.11 
WC / Sales Growth,(10.9%) ,-,-,-,-,57.7%,(49.6%),(53.9%),76.6%,84.3%,9.6%,16.3%,10.1%,15.0%,11.8%,(9.3%),5.5%,8.2%,9.6%,6.5%,(13.0%),(20.3%),1.8%,0.9%,26.9%,27.2%
Bad Debt Allowance (% of A/R),2.7% ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ROIC,- ,-,-,-,1.0%,1.1%,1.8%,2.1%,2.1%,4.5%,1.8%,2.8%,1.7%,2.3%,2.2%,2.5%,2.1%,1.8%,2.1%,2.1%,1.1%,1.5%,1.7%,1.7%,0.8%,1.3%
