Super Energy Corporation PCL | Income Statement                                25-Sep-2024 16:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
"Selling/General/Admin. Expenses, Total","18,367 ","18,123 ","24,550 ","23,864 ","18,919 ","14,606 ","19,718 ","34,591 ","28,675 ","32,108 ","22,164 ","31,408 ","22,691 ","24,810 ","18,000 ","24,605 ","26,558 ","25,609 ","30,042 ","32,780 ","74,723 ","21,004 ","32,047 ","83,576 ","22,627 ","23,264 ","24,763 ","19,939 ","18,802 ","20,236 ","22,211 ","21,923 ",263 ,262 ,265 ,428 ,"5,168 ","5,954 ","13,551 ","5,155 ","16,578 ","26,704 ","48,172 ","53,132 ","57,876 ","200,335 ","155,127 ","184,595 ","139,472 ","109,334 ","143,837 ","163,640 ","89,811 ","79,151 ","98,259 ","153,589 ","97,940 ","79,373 ","119,143 ","213,018 ","98,011 ","137,997 ","125,759 ","207,633 ","150,025 ","127,116 ","143,899 ","247,139 ","112,465 ","119,359 ","405,512 ","233,747 ","178,260 ","184,784 ","215,274 ","249,290 ","218,532 ","330,599 ","33,147 ","369,661 ","268,698 ","180,480 "
Selling/General/Administrative Expense,"18,367 ","18,123 ","24,550 ","23,864 ","18,919 ","14,606 ","19,718 ","34,591 ","28,675 ","32,108 ","22,164 ","31,408 ","22,691 ","24,810 ","18,000 ","24,605 ","26,558 ","25,609 ","30,042 ","28,818 ","74,723 ","21,004 ","32,047 ","79,484 ","22,627 ","23,264 ","24,763 ","19,939 ","18,802 ","20,236 ","22,211 ","21,923 ",263 ,262 ,265 ,428 ,"5,168 ","5,954 ","13,551 ","5,155 ","16,578 ","26,704 ","48,172 ","53,132 ","57,876 ","200,335 ","155,127 ","184,595 ","139,472 ","109,334 ","143,837 ","163,640 ","89,811 ","79,151 ","98,259 ","153,589 ","97,940 ","79,373 ","119,143 ","213,018 ","98,011 ","137,997 ","125,759 ","207,633 ","150,025 ","127,116 ","143,899 ","247,139 ","112,465 ","119,359 ","405,512 ","233,747 ","178,260 ","184,784 ","215,274 ","249,290 ","218,532 ","330,599 ","33,147 ","369,661 ","268,698 ","180,480 "
Labor & Related Expense,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"3,962 ",--,--,--,"4,092 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Interest/Investment Income - Operating,0 ,--,--,0 ,0 ,0 ,--,0 ,0 ,0 ,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(163,556)",--,"(18,954)","75,187 ","(83,127)","(19,409)","(18,179)","(25,324)","(20,105)","(5,487)","2,611 ","10,776 ",745 ,"10,318 ","33,276 ","44,528 ","(336,466)","152,965 ","(211,864)","169,579 ","(361,561)","(173,438)","(562,661)","167,153 ","58,032 ","92,378 ","121,536 ","284,789 ","(89,039)","(42,762)","711,604 ","304,602 ","258,535 ","493,181 "
Investment Income - Operating,0 ,--,--,0 ,0 ,0 ,--,0 ,0 ,0 ,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(163,556)",--,"(18,954)","75,187 ","(83,127)","(19,409)","(18,179)","(25,324)","(20,105)","(5,487)","2,611 ","10,776 ",745 ,"10,318 ","33,276 ","44,528 ","(336,466)","152,965 ","(211,864)","169,579 ","(361,561)","(173,438)","(562,661)","167,153 ","58,032 ","92,378 ","121,536 ","284,789 ","(89,039)","(42,762)","711,604 ","304,602 ","258,535 ","493,181 "
"Interest Exp.(Inc.),Net-Operating, Total",0 ,--,--,0 ,0 ,0 ,--,0 ,0 ,0 ,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(163,556)",--,"(18,954)","75,187 ","(83,127)","(19,409)","(18,179)","(25,324)","(20,105)","(5,487)","2,611 ","10,776 ",745 ,"10,318 ","33,276 ","44,528 ","(336,466)","152,965 ","(211,864)","169,579 ","(361,561)","(173,438)","(562,661)","167,153 ","58,032 ","92,378 ","121,536 ","284,789 ","(89,039)","(42,762)","711,604 ","304,602 ","258,535 ","493,181 "
Unusual Expense (Income),--,--,--,--,--,--,--,--,--,--,--,--,--,"24,268 ","15,863 ",0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(18,653)",--,--,782 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,(787),787 ,--,--,0 ,--,--,--,"(1,289,923)",--,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Impairment-Assets Held for Use,--,--,--,--,--,--,--,--,--,--,--,--,--,"24,268 ","15,863 ",0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(18,653)",--,--,782 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,(787),787 ,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Unusual Expense (Income),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(1,289,923)",--,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Other Operating Expenses, Total",(405),(83),(123),"(1,702)",(726),"(2,242)","(1,559)","(1,637)","(1,368)","(2,209)",(484),"(8,221)",(260),(379),(251),(440),(226),(433),(179),(67),(92),(284),(489),"(2,026)","(1,440)",(125),"(1,661)","(35,550)","(7,885)","1,754 ",--,"2,083 ",--,--,(37),78 ,(1),"(1,639)",(1),"1,571 ","(1,029)","(3,734)",(909),"(12,647)","(4,521)",(635),(721),"(5,078)","(8,525)","(1,256)","(1,745)","(3,277)",(895),"(4,497)","(53,734)","(14,657)","(6,730)","(18,230)","(1,479)","(22,155)","(4,640)","(17,010)","(25,356)","(5,747)","(13,363)","(14,315)","(30,528)","97,190 ","(99,867)","(27,458)","(11,404)","(316,137)","(16,016)","(36,965)","(28,371)","(17,662)","(18,004)","(37,056)","(93,144)","(25,684)","(19,104)","(44,705)"
"Other, Net",(405),(83),(123),"(1,702)",(726),"(2,242)","(1,559)","(1,637)","(1,368)","(2,209)",(484),"(8,221)",(260),(379),(251),(440),(226),(433),(179),(67),(92),(284),(489),"(2,026)","(1,440)",(125),"(1,661)","(35,550)","(7,885)","1,754 ",--,"2,083 ",--,--,(37),78 ,(1),"(1,639)",(1),"1,571 ","(1,029)","(3,734)",(909),"(12,647)","(4,521)",(635),(721),"(5,078)","(8,525)","(1,256)","(1,745)","(3,277)",(895),"(4,497)","(53,734)","(14,657)","(6,730)","(18,230)","(1,479)","(22,155)","(4,640)","(17,010)","(25,356)","(5,747)","(13,363)","(14,315)","(30,528)","97,190 ","(99,867)","(27,458)","(11,404)","(316,137)","(16,016)","(36,965)","(28,371)","(17,662)","(18,004)","(37,056)","(93,144)","(25,684)","(19,104)","(44,705)"
Total Operating Expense,"65,405 ","63,815 ","66,510 ","66,995 ","58,359 ","56,595 ","98,390 ","102,577 ","89,390 ","82,654 ","66,856 ","60,765 ","59,560 ","87,287 ","84,170 ","71,471 ","75,792 ","68,313 ","73,968 ","72,523 ","105,789 ","77,105 ","60,091 ","140,099 ","67,944 ","68,899 ","76,189 ","37,157 ","68,340 ","81,316 ","84,776 ","87,741 ","33,102 ","(1,568)",228 ,507 ,"1,987 ","18,384 ","29,673 ","23,499 ","37,638 ","50,043 ","80,119 ","86,897 ","101,556 ","258,711 ","208,479 ","405,768 ","115,340 ","483,871 ","610,756 ","780,503 ","591,071 ","649,997 ","624,372 ","720,455 ","660,548 ","691,338 ","809,569 ","914,874 ","787,670 ","847,081 ","(367,708)","995,501 ","554,500 ","1,031,338 ","750,582 ","1,349,006 ","721,947 ","989,885 ","893,305 ","1,227,262 ","1,348,647 ","1,387,047 ","1,545,508 ","1,690,085 ","1,316,008 ","1,474,018 ","1,906,556 ","1,917,284 ","1,758,228 ","1,883,766 "
Operating Income,"29,044 ","37,857 ","22,827 ","8,155 ","38,903 ","33,136 ","9,260 ","(30,553)","(22,554)","(24,572)","(18,634)","(20,357)","(18,891)","(47,524)","(27,072)","(15,666)","(19,324)","(18,847)","(19,307)","(26,292)","(65,961)","(45,234)","(19,022)","(91,399)","(11,903)","(17,104)","(15,035)","12,883 ","31,468 ","(14,122)","(17,328)","8,008 ","29,787 ",(86),"16,563 ",(506),"20,493 ","3,812 ","(7,595)",789 ,(960),"(6,836)","(27,297)","(14,552)","(20,400)","(168,935)","(119,243)","(267,779)","197,282 ","329,820 ","604,751 ","489,281 ","886,282 ","780,422 ","731,072 ","526,512 ","818,479 ","748,382 ","515,794 ","570,418 ","829,660 ","733,580 ","1,859,474 ","560,317 ","1,129,234 ","561,388 ","900,615 ","237,944 ","1,508,690 ","1,200,483 ","1,142,557 ","845,934 ","1,107,899 ","926,401 ","645,957 ","709,570 ","1,353,738 ","939,279 ","404,975 ","502,848 ","954,567 ","581,886 "
Interest/Invest Income - Non-Operating,(26),(28),(638),"(3,758)","(3,572)","(3,385)","(3,477)","(4,316)","(8,488)","(9,456)","(9,435)","(9,258)","(8,779)","(8,127)","(7,399)","(6,814)","(6,446)","(5,964)","(5,959)","(6,366)","(5,695)","(27,665)","(14,090)","(19,464)",(600),"(4,504)","(1,848)","(1,045)","(11,942)","(26,380)","(1,414)","(10,745)",0 ,--,--,--,(74),(95),(64),(27),"(3,255)","(5,622)","(11,641)","(15,559)","(11,934)","(19,237)","(17,619)","(191,399)","(169,347)","(307,122)","(291,460)","(347,291)","(319,230)","(343,564)","(361,292)","(365,848)","(323,941)","(341,035)","(349,553)","(358,093)","(365,955)","(370,271)","(349,566)","(240,194)","(336,179)","(339,129)","(347,753)","(293,613)","(383,794)","(402,055)","(518,638)","(526,670)","(540,567)","(621,681)","(640,511)","(799,246)","(821,212)","(856,068)","(970,428)","(927,206)","(986,062)","(905,432)"
Investment Income - Non-Operating,(26),(28),(638),"(3,758)","(3,572)","(3,385)","(3,477)","(4,316)","(8,488)","(9,456)","(9,435)","(9,258)","(8,779)","(8,127)","(7,399)","(6,814)","(6,446)","(5,964)","(5,959)","(6,366)","(5,695)","(27,665)","(14,090)","(19,464)",(600),"(4,504)","(1,848)","(1,045)","(11,942)","(26,380)","(1,414)","(10,745)",0 ,--,--,--,(74),(95),(64),(27),"(3,255)","(5,622)","(11,641)","(15,559)","(11,934)","(19,237)","(17,619)","(191,399)","(169,347)","(307,122)","(291,460)","(347,291)","(319,230)","(343,564)","(361,292)","(365,848)","(323,941)","(341,035)","(349,553)","(358,093)","(365,955)","(370,271)","(349,566)","(240,194)","(336,179)","(339,129)","(347,753)","(293,613)","(383,794)","(402,055)","(518,638)","(526,670)","(540,567)","(621,681)","(640,511)","(799,246)","(821,212)","(856,068)","(970,428)","(927,206)","(986,062)","(905,432)"
"Interest Inc.(Exp.),Net-Non-Op., Total",(26),(28),(638),"(3,758)","(3,572)","(3,385)","(3,477)","(4,316)","(8,488)","(9,456)","(9,435)","(9,258)","(8,779)","(8,127)","(7,399)","(6,814)","(6,446)","(5,964)","(5,959)","(6,366)","(5,695)","(27,665)","(14,090)","(19,464)",(600),"(4,504)","(1,848)","(1,045)","(11,942)","(26,380)","(1,414)","(10,745)",0 ,--,--,--,(74),(95),(64),(27),"(3,255)","(5,622)","(11,641)","(15,559)","(11,934)","(19,237)","(17,619)","(191,399)","(169,347)","(307,122)","(291,460)","(347,291)","(319,230)","(343,564)","(361,292)","(365,848)","(323,941)","(341,035)","(349,553)","(358,093)","(365,955)","(370,271)","(349,566)","(240,194)","(336,179)","(339,129)","(347,753)","(293,613)","(383,794)","(402,055)","(518,638)","(526,670)","(540,567)","(621,681)","(640,511)","(799,246)","(821,212)","(856,068)","(970,428)","(927,206)","(986,062)","(905,432)"
Net Income Before Taxes,"29,018 ","37,829 ","22,189 ","4,397 ","35,331 ","29,751 ","5,783 ","(34,869)","(31,042)","(34,028)","(28,069)","(29,615)","(27,670)","(55,651)","(34,471)","(22,480)","(25,770)","(24,811)","(25,266)","(32,658)","(71,656)","(72,899)","(33,112)","(110,863)","(12,503)","(21,608)","(16,883)","11,838 ","19,526 ","(40,502)","(18,742)","(2,737)","29,787 ",(86),"16,563 ",(506),"20,419 ","3,717 ","(7,659)",763 ,"(4,215)","(12,458)","(38,938)","(30,111)","(32,334)","(188,172)","(136,862)","(459,178)","27,935 ","22,698 ","313,291 ","141,990 ","567,052 ","436,858 ","369,780 ","160,664 ","494,538 ","407,347 ","166,241 ","212,325 ","463,705 ","363,309 ","1,509,908 ","320,123 ","793,055 ","222,259 ","552,862 ","(55,669)","1,124,896 ","798,428 ","623,919 ","319,264 ","567,332 ","304,720 ","5,446 ","(89,676)","532,526 ","83,211 ","(565,453)","(424,358)","(31,495)","(323,546)"
Provision for Income Taxes,0 ,0 ,0 ,0 ,0 ,0 ,0 ,836 ,169 ,230 ,"1,189 ",(26),134 ,73 ,204 ,350 ,137 ,144 ,104 ,515 ,0 ,0 ,0 ,176 ,0 ,0 ,0 ,302 ,0 ,0 ,0 ,255 ,"6,912 ",0 ,"3,862 ",(1),305 ,726 ,190 ,"(1,469)",(30),"3,099 ",530 ,(542),"1,421 ",(978),202 ,509 ,199 ,"1,201 ","1,145 ","(18,844)","3,646 ","1,529 ","3,564 ","13,985 ",(267),"4,135 ","4,013 ","(1,627)","3,134 ","10,778 ","308,006 ","(39,279)","3,695 ","17,231 ","21,245 ","(57,451)","30,468 ","(20,317)","37,486 ","85,350 ","14,530 ","53,140 ","76,791 ","(89,178)","17,123 ","16,498 ","(39,169)","(250,695)","(186,675)","22,293 "
Net Income After Taxes,"29,018 ","37,829 ","22,189 ","4,397 ","35,331 ","29,751 ","5,783 ","(35,705)","(31,211)","(34,258)","(29,258)","(29,589)","(27,804)","(55,724)","(34,675)","(22,830)","(25,907)","(24,955)","(25,370)","(33,173)","(71,656)","(72,899)","(33,112)","(111,039)","(12,503)","(21,608)","(16,883)","11,536 ","19,526 ","(40,502)","(18,742)","(2,992)","22,875 ",(86),"12,701 ",(506),"20,114 ","2,991 ","(7,849)","2,232 ","(4,185)","(15,557)","(39,468)","(29,569)","(33,755)","(187,194)","(137,064)","(459,687)","27,736 ","21,497 ","312,146 ","160,834 ","563,406 ","435,329 ","366,216 ","146,679 ","494,805 ","403,212 ","162,228 ","213,952 ","460,571 ","352,531 ","1,201,902 ","359,402 ","789,360 ","205,028 ","531,617 ","1,782 ","1,094,428 ","818,745 ","586,433 ","233,914 ","552,802 ","251,580 ","(71,345)",(498),"515,403 ","66,713 ","(526,284)","(173,663)","155,180 ","(345,839)"
