CK Power PCL | Income Statement                                12-Sep-2024 14:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
"Selling/General/Admin. Expenses, Total",442 ,"45,567 ","65,113 ","84,853 ","91,705 ","89,449 ","96,851 ","131,826 ","93,116 ","97,097 ","105,323 ","36,961 ","86,057 ","90,817 ","77,161 ","90,528 ","95,153 ","93,536 ","94,869 ","486,289 ","103,954 ","75,788 ","108,881 ","125,586 ","109,114 ","124,859 ","118,861 ","157,040 ","107,862 ","112,406 ","110,352 ","111,716 ","105,588 ","101,072 ","100,404 ","120,611 ","114,570 ","127,405 ","109,885 ","142,569 ","114,742 ","128,683 ","122,076 ","160,284 ","126,392 ","132,831 ","123,697 ","180,636 ","104,065 ","123,622 "
Selling/General/Administrative Expense,442 ,"45,567 ","65,113 ","84,853 ","91,705 ","89,449 ","96,851 ","131,826 ","93,116 ","97,097 ","105,323 ","36,961 ","86,057 ","90,817 ","77,161 ","90,528 ","95,153 ","93,536 ","94,869 ","486,289 ","103,954 ","75,788 ","108,881 ","125,586 ","109,114 ","124,859 ","118,861 ","157,040 ","107,862 ","112,406 ","110,352 ","111,716 ","105,588 ","101,072 ","100,404 ","120,611 ","114,570 ","127,405 ","109,885 ","142,569 ","114,742 ","128,683 ","122,076 ","160,284 ","126,392 ","132,831 ","123,697 ","180,636 ","104,065 ","123,622 "
Depreciation/Amortization,--,"77,500 ","121,233 ","123,725 ","123,725 ","123,723 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","125,339 ","122,847 ","122,847 ","122,847 ","122,848 ","122,847 ","122,847 ","122,847 "
Amortization of Intangibles,--,"77,500 ","121,233 ","123,725 ","123,725 ","123,723 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","130,321 ","125,339 ","122,847 ","122,847 ","122,847 ","122,848 ","122,847 ","122,847 ","122,847 "
Interest/Investment Income - Operating,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(23,920)","(104,648)","(139,718)","(147,544)","(133,360)","(110,602)","(127,095)","(113,989)","(124,801)","(121,628)","(130,587)","(190,135)","(126,427)","(141,133)","(143,563)","(102,855)","(126,061)","(152,972)","(151,518)","(122,324)","(149,089)","(144,423)"
Investment Income - Operating,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(23,920)","(104,648)","(139,718)","(147,544)","(133,360)","(110,602)","(127,095)","(113,989)","(124,801)","(121,628)","(130,587)","(190,135)","(126,427)","(141,133)","(143,563)","(102,855)","(126,061)","(152,972)","(151,518)","(122,324)","(149,089)","(144,423)"
"Interest Exp.(Inc.),Net-Operating, Total",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(23,920)","(104,648)","(139,718)","(147,544)","(133,360)","(110,602)","(127,095)","(113,989)","(124,801)","(121,628)","(130,587)","(190,135)","(126,427)","(141,133)","(143,563)","(102,855)","(126,061)","(152,972)","(151,518)","(122,324)","(149,089)","(144,423)"
"Other Operating Expenses, Total",--,--,(5),(204),(785),--,(102),"(1,325)","(1,842)","(1,796)",(32),(364),"(2,432)","(6,593)",(124),"(12,022)","(2,923)","(5,766)","(3,215)","(6,747)","(1,649)","(14,944)","(16,255)",--,--,--,--,--,"(14,732)","(10,082)","(22,640)","(2,335)","(4,820)","(1,062)","(1,361)",(974),"(1,528)","(1,039)","(1,030)","(1,002)","(1,224)","(2,370)","(11,115)","(8,788)","(4,915)","(62,975)","(29,346)","(11,772)","(8,819)","(7,523)"
Other Operating Expense,--,--,(5),(204),(785),--,(102),"(1,325)","(1,842)","(1,796)",(32),(364),"(2,432)","(6,593)",(124),"(12,022)","(2,923)","(5,766)","(3,215)","(6,747)","(1,649)","(14,944)","(16,255)",--,--,--,--,--,"(14,732)","(10,082)","(22,640)","(2,335)","(4,820)","(1,062)","(1,361)",(974),"(1,528)","(1,039)","(1,030)","(1,002)","(1,224)","(2,370)","(11,115)","(8,788)","(4,915)","(62,975)","(29,346)","(11,772)","(8,819)","(7,523)"
Total Operating Expense,442 ,"369,168 ","603,057 ","664,300 ","630,516 ","613,797 ","1,204,617 ","1,253,227 ","1,208,810 ","1,226,074 ","1,251,378 ","1,265,652 ","1,227,270 ","1,181,020 ","1,198,349 ","1,334,855 ","1,150,486 ","1,141,157 ","1,132,425 ","1,498,490 ","1,060,693 ","1,070,220 ","1,532,339 ","1,527,923 ","1,513,751 ","1,628,188 ","1,698,677 ","1,773,174 ","1,732,003 ","1,691,073 ","1,553,387 ","1,577,133 ","1,467,806 ","1,549,095 ","1,491,784 ","1,415,610 ","1,448,368 ","1,548,153 ","1,666,685 ","1,779,478 ","2,074,667 ","2,058,815 ","2,607,441 ","2,324,258 ","2,193,682 ","1,979,105 ","1,811,650 ","2,077,991 ","1,876,975 ","1,735,602 "
Operating Income,(442),"121,955 ","405,197 ","378,622 ","384,085 ","414,863 ","787,220 ","323,996 ","547,856 ","314,032 ","472,412 ","712,784 ","425,073 ","479,723 ","300,645 ","610,163 ","398,833 ","401,693 ","675,698 ","(80,040)","293,820 ","288,565 ","746,921 ","358,241 ","307,707 ","335,753 ","1,274,439 ","538,107 ","667,332 ","485,826 ","289,834 ","380,299 ","168,975 ","161,845 ","521,319 ","(81,379)","537,128 ","631,417 ","728,761 ","457,753 ","341,459 ","471,871 ","756,595 ","269,290 ","360,952 ","385,438 ","666,233 ","810,693 ","470,657 ","736,823 "
"Interest Expense, Net Non-Operating","(52,485)","(234,626)","(326,833)","(321,430)","(326,603)","(322,835)","(354,333)","(336,525)","(319,772)","(301,262)","(303,257)","(294,665)","(288,893)","(277,657)","(277,313)","(266,322)","(265,504)","(256,669)","(292,406)","(326,034)","(312,104)","(310,912)","(345,392)","(299,450)","(278,842)","(273,531)","(276,098)","(271,955)","(366,653)","(269,675)","(265,062)","(259,904)","(253,601)","(243,430)","(243,991)","(255,339)","(262,005)","(267,297)","(266,284)","(274,778)","(266,986)","(265,389)","(265,322)","(276,812)","(263,228)","(264,442)","(268,108)","(269,182)","(262,705)","(297,624)"
Interest Expense - Non-Operating,"(52,485)","(234,626)","(326,833)","(321,430)","(326,603)","(322,835)","(354,333)","(336,525)","(319,772)","(301,262)","(303,257)","(294,665)","(288,893)","(277,657)","(277,313)","(266,322)","(265,504)","(256,669)","(292,406)","(326,034)","(312,104)","(310,912)","(345,392)","(299,450)","(278,842)","(273,531)","(276,098)","(271,955)","(366,653)","(269,675)","(265,062)","(259,904)","(253,601)","(243,430)","(243,991)","(255,339)","(262,005)","(267,297)","(266,284)","(274,778)","(266,986)","(265,389)","(265,322)","(276,812)","(263,228)","(264,442)","(268,108)","(269,182)","(262,705)","(297,624)"
Interest/Invest Income - Non-Operating,"85,855 ","(131,665)","157,587 ","32,281 ","195,046 ","(239,469)","17,298 ","61,753 ","(4,231)","14,489 ","14,216 ","29,790 ",490 ,"51,759 ","27,725 ","1,018 ","(51,216)","(1,624)","(44,314)","49,323 ","(64,879)",(476),"(29,194)","(5,977)","(41,549)","69,330 ","(20,694)","20,465 ",85 ,(508),"(7,386)","440,913 ","(329,497)","(87,620)","679,063 ","145,448 ","(32,237)","531,719 ","1,017,105 ","11,154 ","(2,975)","772,014 ","1,252,456 ","107,126 ","(161,728)","(99,155)","816,177 ","303,538 ","(569,404)","(109,205)"
Interest Income - Non-Operating,--,"1,178 ","1,835 ","2,067 ","2,434 ","1,879 ","4,779 ","7,120 ","6,632 ","5,901 ","5,913 ","5,884 ","5,778 ","9,133 ","8,693 ","6,945 ","6,724 ","5,954 ","4,699 ","4,413 ","2,719 ","2,782 ","2,523 ","5,607 ","2,789 ","6,373 ","3,259 ","6,800 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Investment Income - Non-Operating,"85,855 ","(132,843)","155,752 ","30,214 ","192,612 ","(241,348)","12,519 ","54,633 ","(10,863)","8,588 ","8,303 ","23,906 ","(5,288)","42,626 ","19,032 ","(5,927)","(57,940)","(7,578)","(49,013)","44,909 ","(67,598)","(3,258)","(31,717)","(11,584)","(44,338)","62,957 ","(23,953)","13,666 ",85 ,(508),"(7,386)","440,913 ","(329,497)","(87,620)","679,063 ","145,448 ","(32,237)","531,719 ","1,017,105 ","11,154 ","(2,975)","772,014 ","1,252,456 ","107,126 ","(161,728)","(99,155)","816,177 ","303,538 ","(569,404)","(109,205)"
"Interest Inc.(Exp.),Net-Non-Op., Total","33,370 ","(366,291)","(169,246)","(289,150)","(131,557)","(562,304)","(337,035)","(274,772)","(324,003)","(286,773)","(289,041)","(264,875)","(288,403)","(225,898)","(249,588)","(265,304)","(316,720)","(258,293)","(336,720)","(276,712)","(376,983)","(311,388)","(374,586)","(305,427)","(320,391)","(204,201)","(296,792)","(251,490)","(366,568)","(270,183)","(272,448)","181,009 ","(583,098)","(331,050)","435,072 ","(109,890)","(294,242)","264,422 ","750,821 ","(263,625)","(269,961)","506,625 ","987,134 ","(169,686)","(424,956)","(363,597)","548,069 ","34,355 ","(832,109)","(406,829)"
"Other, Net",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"4,678 ","4,414 ","9,552 ",599 ,"11,219 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Non-Operating Income (Expense),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"4,678 ","4,414 ","9,552 ",599 ,"11,219 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Income Before Taxes,"32,928 ","(244,336)","235,951 ","89,473 ","252,528 ","(147,441)","450,185 ","49,224 ","223,853 ","27,259 ","183,371 ","447,910 ","136,670 ","253,825 ","51,057 ","344,859 ","82,113 ","143,400 ","338,978 ","(356,751)","(83,163)","(22,823)","372,335 ","57,493 ","(8,270)","141,104 ","978,246 ","297,836 ","300,764 ","215,643 ","17,386 ","561,308 ","(414,123)","(169,205)","956,391 ","(191,269)","242,886 ","895,839 ","1,479,582 ","194,128 ","71,498 ","978,496 ","1,743,729 ","99,604 ","(64,004)","21,841 ","1,214,302 ","845,048 ","(361,452)","329,994 "
Provision for Income Taxes,0 ,483 ,"1,180 ",292 ,840 ,721 ,756 ,(430),0 ,0 ,0 ,244 ,0 ,0 ,158 ,135 ,103 ,"6,533 ","2,185 ","4,821 ",681 ,679 ,"12,497 ","2,473 ",25 ,"4,641 ","30,140 ","10,054 ","8,881 ","6,276 ","(3,918)","1,039 ","(6,008)","(5,975)","5,454 ","(9,383)","7,941 ","15,960 ","26,109 ","11,172 ","9,044 ","17,621 ","23,499 ","(2,750)","15,340 ","11,145 ","31,225 ","31,193 ","14,660 ","27,581 "
Net Income After Taxes,"32,928 ","(244,819)","234,771 ","89,181 ","251,688 ","(148,162)","449,429 ","49,654 ","223,853 ","27,259 ","183,371 ","447,666 ","136,670 ","253,825 ","50,899 ","344,724 ","82,010 ","136,867 ","336,793 ","(361,572)","(83,844)","(23,502)","359,838 ","55,020 ","(8,295)","136,463 ","948,106 ","287,782 ","291,883 ","209,367 ","21,304 ","560,269 ","(408,115)","(163,230)","950,937 ","(181,886)","234,945 ","879,879 ","1,453,473 ","182,957 ","62,454 ","960,875 ","1,720,230 ","102,354 ","(79,344)","10,696 ","1,183,077 ","813,855 ","(376,112)","302,413 "
Minority Interest,0 ,"138,489 ","(139,042)","(56,491)","(158,801)","71,333 ","(267,325)","(28,932)","(101,534)","8,122 ","(84,547)","(232,374)","(52,634)","(122,809)","(14,731)","(184,069)","(34,558)","(74,867)","(214,574)","184,956 ","40,220 ","34,179 ","(195,023)","(28,115)","20,813 ","(70,270)","(549,304)","(166,226)","(152,462)","(125,637)","12,039 ","(47,861)","68,583 ","68,370 ","(119,629)","189,684 ","(120,346)","(172,921)","(218,557)","(60,417)","(23,728)","(96,845)","(258,594)","(30,564)","(24,948)","(8,895)","(161,137)","(271,191)","(84,862)","(228,493)"
Net Income Before Extra. Items,"32,928 ","(106,330)","95,729 ","32,689 ","92,887 ","(76,829)","182,104 ","20,722 ","122,319 ","35,381 ","98,824 ","215,292 ","84,036 ","131,016 ","36,168 ","160,655 ","47,452 ","62,000 ","122,219 ","(176,616)","(43,624)","10,677 ","164,815 ","26,905 ","12,518 ","66,193 ","398,802 ","121,555 ","139,421 ","83,730 ","33,343 ","512,408 ","(339,532)","(94,860)","831,308 ","7,798 ","114,599 ","706,958 ","1,234,916 ","122,540 ","38,726 ","864,030 ","1,461,636 ","71,790 ","(104,292)","1,801 ","1,021,940 ","542,664 ","(460,974)","73,920 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,"32,928 ","(106,330)","95,729 ","32,689 ","92,887 ","(76,829)","182,104 ","20,722 ","122,319 ","35,381 ","98,824 ","215,292 ","84,036 ","131,016 ","36,168 ","160,655 ","47,452 ","62,000 ","122,219 ","(176,616)","(43,624)","10,677 ","164,815 ","26,905 ","12,518 ","66,193 ","398,802 ","121,555 ","139,421 ","83,730 ","33,343 ","512,408 ","(339,532)","(94,860)","831,308 ","7,798 ","114,599 ","706,958 ","1,234,916 ","122,540 ","38,726 ","864,030 ","1,461,636 ","71,790 ","(104,292)","1,801 ","1,021,940 ","542,664 ","(460,974)","73,920 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Available to Com Excl ExtraOrd,"32,928 ","(106,330)","95,729 ","32,689 ","92,887 ","(76,829)","182,104 ","20,722 ","122,319 ","35,381 ","98,824 ","215,292 ","84,036 ","131,016 ","36,168 ","160,655 ","47,452 ","62,000 ","122,219 ","(176,616)","(43,624)","10,677 ","164,815 ","26,905 ","12,518 ","66,193 ","398,802 ","121,555 ","139,421 ","83,730 ","33,343 ","512,408 ","(339,532)","(94,860)","831,308 ","7,798 ","114,599 ","706,958 ","1,234,916 ","122,540 ","38,726 ","864,030 ","1,461,636 ","71,790 ","(104,292)","1,801 ","1,021,940 ","542,664 ","(460,974)","73,920 "
Income Available to Com Incl ExtraOrd,"32,928 ","(106,330)","95,729 ","32,689 ","92,887 ","(76,829)","182,104 ","20,722 ","122,319 ","35,381 ","98,824 ","215,292 ","84,036 ","131,016 ","36,168 ","160,655 ","47,452 ","62,000 ","122,219 ","(176,616)","(43,624)","10,677 ","164,815 ","26,905 ","12,518 ","66,193 ","398,802 ","121,555 ","139,421 ","83,730 ","33,343 ","512,408 ","(339,532)","(94,860)","831,308 ","7,798 ","114,599 ","706,958 ","1,234,916 ","122,540 ","38,726 ","864,030 ","1,461,636 ","71,790 ","(104,292)","1,801 ","1,021,940 ","542,664 ","(460,974)","73,920 "
Basic Weighted Average Shares,"4,814,774 ","4,814,788 ","4,814,788 ","4,814,788 ","4,814,788 ","4,814,788 ","5,613,460 ","5,762,342 ","5,756,811 ","5,756,811 ","5,756,811 ","5,756,811 ","5,756,811 ","6,178,132 ","7,370,000 ","7,378,332 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,450,989 ","7,370,000 ","7,370,000 ","7,370,000 ","7,370,000 ","7,966,028 ","8,133,919 ","8,129,382 ","8,129,382 ","8,129,383 ","8,129,385 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 ","8,129,383 "
Basic EPS Excluding Extraordinary Items,0.01 ,(0.02),0.02 ,0.01 ,0.02 ,(0.02),0.03 ,0.00 ,0.02 ,0.01 ,0.02 ,0.04 ,0.01 ,0.02 ,0.00 ,0.02 ,0.01 ,0.01 ,0.02 ,(0.02),(0.01),0.00 ,0.02 ,0.00 ,0.00 ,0.01 ,0.05 ,0.02 ,0.02 ,0.01 ,0.00 ,0.06 ,(0.04),(0.01),0.10 ,0.00 ,0.01 ,0.09 ,0.15 ,0.02 ,0.00 ,0.11 ,0.18 ,0.01 ,(0.01),0.00 ,0.13 ,0.07 ,(0.06),0.01 
Basic EPS Including Extraordinary Items,0.01 ,(0.02),0.02 ,0.01 ,0.02 ,(0.02),0.03 ,0.00 ,0.02 ,0.01 ,0.02 ,0.04 ,0.01 ,0.02 ,0.00 ,0.02 ,0.01 ,0.01 ,0.02 ,(0.02),(0.01),0.00 ,0.02 ,0.00 ,0.00 ,0.01 ,0.05 ,0.02 ,0.02 ,0.01 ,0.00 ,0.06 ,(0.04),(0.01),0.10 ,0.00 ,0.01 ,0.09 ,0.15 ,0.02 ,0.00 ,0.11 ,0.18 ,0.01 ,(0.01),0.00 ,0.13 ,0.07 ,(0.06),0.01 
Dilution Adjustment,0 ,0 ,--,--,0 ,--,--,--,--,--,--,--,--,--,--,0 ,0 ,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Diluted Net Income,"32,928 ","(106,330)","95,729 ","32,689 ","92,887 ","(76,829)","182,104 ","20,722 ","122,319 ","35,381 ","98,824 ","215,292 ","84,036 ","131,016 ","36,168 ","160,655 ","47,452 ","62,000 ","122,219 ","(176,616)","(43,624)","10,677 ","164,815 ","26,905 ","12,518 ","66,193 ","398,802 ","121,555 ","139,421 ","83,730 ","33,343 ","512,408 ","(339,532)","(94,860)","831,308 ","7,798 ","114,599 ","706,958 ","1,234,916 ","122,540 ","38,726 ","864,030 ","1,461,636 ","71,790 ","(104,292)","1,801 ","1,021,940 ","542,664 ","(460,974)","73,920 "
