Thachang Green Energy PCL | Income Statement                                25-Sep-2024 16:14,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,
,2020,,2021,,,,2022,,,,2023,,,,2024,
Net Income Before Taxes,"45,844 ","37,681 ","44,633 ","48,536 ","62,147 ","47,137 ","51,811 ","56,962 ","47,882 ","60,515 ","63,033 ","59,420 ","73,506 ","47,347 ","67,801 ","67,197 "
Provision for Income Taxes,(81),144 ,(93),(67),888 ,(376),165 ,"1,249 ","(1,294)",623 ,(9),904 ,"1,861 ",583 ,"3,473 ","3,406 "
Net Income After Taxes,"45,925 ","37,537 ","44,726 ","48,603 ","61,258 ","47,513 ","51,646 ","55,713 ","49,176 ","59,892 ","63,042 ","58,515 ","71,645 ","46,764 ","64,328 ","63,792 "
Minority Interest,0 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,(2),0 ,0 ,0 ,0 ,0 ,0 ,0 
Net Income Before Extra. Items,"45,925 ","37,538 ","44,726 ","48,603 ","61,258 ","47,513 ","51,646 ","55,715 ","49,174 ","59,892 ","63,042 ","58,515 ","71,645 ","46,764 ","64,328 ","63,791 "
,,,,,,,,,,,,,,,,
Net Income,"45,925 ","37,538 ","44,726 ","48,603 ","61,258 ","47,513 ","51,646 ","55,715 ","49,174 ","59,892 ","63,042 ","58,515 ","71,645 ","46,764 ","64,328 ","63,791 "
,,,,,,,,,,,,,,,,
Income Available to Com Excl ExtraOrd,"45,925 ","37,538 ","44,726 ","48,603 ","61,258 ","47,513 ","51,646 ","55,715 ","49,174 ","59,892 ","63,042 ","58,515 ","71,645 ","46,764 ","64,328 ","63,791 "
Income Available to Com Incl ExtraOrd,"45,925 ","37,538 ","44,726 ","48,603 ","61,258 ","47,513 ","51,646 ","55,715 ","49,174 ","59,892 ","63,042 ","58,515 ","71,645 ","46,764 ","64,328 ","63,791 "
Basic Weighted Average Shares,"2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","1,906,522 ","2,204,082 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 "
Basic EPS Excluding Extraordinary Items,0.02 ,0.02 ,0.02 ,0.02 ,0.03 ,0.02 ,0.02 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 
Basic EPS Including Extraordinary Items,0.02 ,0.02 ,0.02 ,0.02 ,0.03 ,0.02 ,0.02 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 
Diluted Net Income,"45,925 ","37,538 ","44,726 ","48,603 ","61,258 ","47,513 ","51,646 ","55,715 ","49,174 ","59,892 ","63,042 ","58,515 ","71,645 ","46,764 ","64,328 ","63,791 "
Diluted Weighted Average Shares,"2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","1,906,522 ","2,204,082 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,241,656 ","2,200,000 "
Diluted EPS Excluding ExtraOrd Items,0.02 ,0.02 ,0.02 ,0.02 ,0.03 ,0.02 ,0.02 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 
Diluted EPS Including ExtraOrd Items,0.02 ,0.02 ,0.02 ,0.02 ,0.03 ,0.02 ,0.02 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 
Supplemental (THB Thousands),,,,,,,,,,,,,,,,
DPS - Common Stock Primary Issue,0.00 ,--,0.00 ,0.00 ,0.00 ,--,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
"Impairment-Assets Held for Use, Suppl.",--,--,--,--,--,--,--,--,--,--,--,--,"7,443 ",(709),--,--
"Non-Recurring Items, Supplemental, Total",--,--,--,--,--,--,--,--,--,--,--,--,"7,443 ",(709),--,--
Total Special Items,--,--,--,--,--,--,--,--,--,--,--,--,"7,443 ",(709),--,--
Normalized Income Before Taxes,"45,844 ","37,681 ","44,633 ","48,536 ","62,147 ","47,137 ","51,811 ","56,962 ","47,882 ","60,515 ","63,033 ","59,420 ","80,949 ","46,639 ","67,801 ","67,197 "
Effect of Special Items on Income Taxes,--,--,--,--,--,--,--,--,--,--,--,--,188 ,(9),--,--
Inc Tax Ex Impact of Sp Items,(81),144 ,(93),(67),888 ,(376),165 ,"1,249 ","(1,294)",623 ,(9),904 ,"2,049 ",574 ,"3,473 ","3,406 "
Normalized Income After Taxes,"45,925 ","37,537 ","44,726 ","48,603 ","61,258 ","47,513 ","51,646 ","55,713 ","49,176 ","59,892 ","63,042 ","58,515 ","78,900 ","46,064 ","64,328 ","63,792 "
Normalized Inc. Avail to Com.,"45,925 ","37,538 ","44,726 ","48,603 ","61,258 ","47,513 ","51,646 ","55,715 ","49,174 ","59,892 ","63,042 ","58,515 ","78,899 ","46,064 ","64,328 ","63,791 "
Basic Normalized EPS,0.02 ,0.02 ,0.02 ,0.02 ,0.03 ,0.02 ,0.02 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.04 ,0.02 ,0.03 ,0.03 
Diluted Normalized EPS,0.02 ,0.02 ,0.02 ,0.02 ,0.03 ,0.02 ,0.02 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.04 ,0.02 ,0.03 ,0.03 
"Amort of Intangibles, Supplemental",--,--,--,--,--,--,511 ,522 ,540 ,539 ,--,--,--,--,--,--
"Depreciation, Supplemental",--,"25,530 ","25,096 ","29,177 ","35,126 ","35,305 ","33,686 ","34,516 ","34,977 ","36,426 ","35,762 ","36,588 ","37,422 ","37,891 ","37,442 ","37,354 "
"Depreciation of Right-of-Use Assets,Sup.",--,--,--,--,--,--,983 ,"1,324 ","1,438 ","1,433 ","1,402 ","1,417 ","1,433 ","1,432 ","1,418 ","1,416 "
"Interest Expense, Supplemental","10,896 ","10,983 ","9,882 ","11,187 ","13,528 ","13,014 ","12,478 ","13,173 ","14,177 ","10,756 ","11,494 ","11,953 ","12,008 ","12,042 ","11,180 ","10,453 "
"Minority Interest, Supplemental",0 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,(2),0 ,0 ,0 ,0 ,0 ,0 ,0 
Normalized EBIT,"56,941 ","48,025 ","55,263 ","59,755 ","76,519 ","60,305 ","64,216 ","71,091 ","63,187 ","69,826 ","74,528 ","72,016 ","93,379 ","57,669 ","79,953 ","77,814 "
Normalized EBITDA,--,"73,555 ","80,359 ","88,932 ","111,645 ","95,611 ","98,413 ","106,129 ","98,704 ","106,791 ","110,291 ","108,604 ","130,801 ","95,560 ","117,396 ","115,168 "
Tax & Pension Items (THB Thousands),,,,,,,,,,,,,,,,
Current Tax - Total,--,--,--,--,--,--,--,--,--,--,--,0 ,"1,772 ",481 ,"3,329 ","3,314 "
Current Tax - Total,--,--,--,--,--,--,--,--,--,--,--,0 ,"1,772 ",481 ,"3,329 ","3,314 "
Deferred Tax - Total,--,--,--,--,--,--,--,--,--,--,(9),904 ,89 ,102 ,144 ,92 
Deferred Tax - Domestic,--,--,--,--,--,--,--,--,--,--,(9),904 ,89 ,102 ,144 ,92 
Income Tax - Total,--,--,--,--,--,--,--,--,--,--,(9),904 ,"1,861 ",583 ,"3,473 ","3,406 "
Other Tax,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,0 ,0 ,0 
Dividends and Capital Changes,,,,,,,,,,,,,,,,
Thachang Green Energy Ord Shs,,,,,,,,,,,,,,,,
Cash Dividend,--,--,--,--,--,--,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--
,,,,,,,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,
Scrip Issue,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--
,,,,,,,,,,,,,,,(15-Mar) ,
