Sermsang Power Corporation PCL | Income Statement                                25-Sep-2024 16:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
"Selling/General/Admin. Expenses, Total","18,549 ","22,517 ","24,281 ","48,836 ","37,174 ","40,326 ","71,352 ","71,049 ","37,278 ","29,325 ","46,626 ","53,603 ","41,087 ","76,582 ","59,181 ","62,323 ","39,815 ","41,816 ","55,760 ","58,936 ","36,530 ","40,788 ","74,111 ","92,037 ","96,762 ","73,673 ","65,105 ","92,151 ","96,609 ","65,466 ","72,651 ","123,624 ","130,531 ","84,870 "
Selling/General/Administrative Expense,"18,549 ","22,517 ","24,281 ","48,836 ","37,174 ","40,326 ","71,352 ","71,049 ","37,278 ","29,325 ","46,626 ","53,603 ","41,087 ","76,582 ","59,181 ","62,323 ","39,815 ","41,816 ","55,760 ","58,936 ","36,530 ","40,788 ","74,111 ","92,037 ","96,762 ","73,673 ","65,105 ","92,151 ","96,609 ","65,466 ","72,651 ","123,624 ","130,531 ","84,870 "
Interest/Investment Income - Operating,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(26,005)","(28,919)",--,--,"(77,059)","22,556 ",--,--,--,--,--,--,--,--,--,--
Investment Income - Operating,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(26,005)","(28,919)",--,--,"(77,059)","22,556 ",--,--,--,--,--,--,--,--,--,--
"Interest Exp.(Inc.),Net-Operating, Total",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(26,005)","(28,919)",--,--,"(77,059)","22,556 ",--,--,--,--,--,--,--,--,--,--
"Other Operating Expenses, Total","(3,173)","(22,329)","(6,243)","24,206 ",(327),"(1,282)",(502),--,--,--,--,--,0 ,--,--,562 ,"(61,618)","46,596 ","(5,134)","(5,348)","(16,239)","(12,817)","(3,096)","(11,751)","(3,437)","(3,042)","(64,458)","26,512 ","(14,366)","(13,786)","(16,711)","12,300 ","(41,828)","(12,454)"
"Other, Net","(3,173)","(22,329)","(6,243)","24,206 ",(327),"(1,282)",(502),--,--,--,--,--,0 ,--,--,562 ,"(61,618)","46,596 ","(5,134)","(5,348)","(16,239)","(12,817)","(3,096)","(11,751)","(3,437)","(3,042)","(64,458)","26,512 ","(14,366)","(13,786)","(16,711)","12,300 ","(41,828)","(12,454)"
Total Operating Expense,"57,784 ","42,385 ","60,397 ","115,109 ","78,295 ","80,926 ","112,982 ","113,196 ","89,868 ","110,593 ","134,587 ","173,654 ","145,181 ","178,281 ","191,783 ","200,279 ","116,637 ","354,508 ","279,039 ","258,369 ","256,418 ","272,672 ","271,972 ","447,923 ","444,634 ","415,089 ","325,392 ","454,256 ","394,401 ","366,946 ","405,838 ","504,156 ","445,095 ","481,651 "
Operating Income,"163,645 ","180,782 ","155,013 ","94,057 ","139,807 ","148,847 ","105,188 ","92,461 ","131,683 ","188,231 ","156,850 ","143,718 ","167,488 ","220,970 ","204,914 ","165,085 ","278,609 ","296,130 ","338,131 ","245,046 ","301,288 ","356,569 ","409,778 ","280,436 ","410,414 ","758,004 ","414,508 ","260,409 ","366,862 ","395,185 ","404,621 ","252,100 ","377,980 ","334,442 "
"Interest Expense, Net Non-Operating","(37,367)","(36,959)","(37,403)","(34,385)","(38,142)","(39,212)","(43,846)","(25,680)","(26,479)","(35,842)","(41,446)","(44,390)","(46,066)","(48,747)","(52,731)","(54,097)","(61,723)","(86,307)","(80,707)","(84,983)","(86,224)","(72,728)","(92,303)","(104,768)","(123,649)","(124,944)","(118,044)","(194,686)","(159,683)","(161,201)","(170,190)","(169,113)","(167,288)","(214,648)"
Interest Expense - Non-Operating,"(37,367)","(36,959)","(37,403)","(34,385)","(38,142)","(39,212)","(43,846)","(25,680)","(26,479)","(35,842)","(41,446)","(44,390)","(46,066)","(48,747)","(52,731)","(54,097)","(61,723)","(86,307)","(80,707)","(84,983)","(86,224)","(72,728)","(92,303)","(104,768)","(123,649)","(124,944)","(118,044)","(194,686)","(159,683)","(161,201)","(170,190)","(169,113)","(167,288)","(214,648)"
Interest/Invest Income - Non-Operating,--,--,--,--,--,--,--,--,--,--,--,--,289 ,--,--,--,804 ,"1,086 ",22 ,509 ,18 ,689 ,"2,464 ",(461),"4,152 ","20,094 ","(3,163)","68,715 ","61,160 ","25,400 ","10,947 ","64,652 ","32,358 ","6,716 "
Interest Income - Non-Operating,--,--,--,--,--,--,--,--,--,--,--,--,289 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Investment Income - Non-Operating,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,804 ,"1,086 ",22 ,509 ,18 ,689 ,"2,464 ",(461),"4,152 ","20,094 ","(3,163)","68,715 ","61,160 ","25,400 ","10,947 ","64,652 ","32,358 ","6,716 "
"Interest Inc.(Exp.),Net-Non-Op., Total","(37,367)","(36,959)","(37,403)","(34,385)","(38,142)","(39,212)","(43,846)","(25,680)","(26,479)","(35,842)","(41,446)","(44,390)","(45,777)","(48,747)","(52,731)","(54,097)","(60,919)","(85,221)","(80,685)","(84,474)","(86,206)","(72,039)","(89,839)","(105,229)","(119,497)","(104,850)","(121,207)","(125,971)","(98,523)","(135,801)","(159,243)","(104,462)","(134,930)","(207,932)"
"Other, Net",--,--,--,--,--,--,--,"3,297 ",837 ,"2,620 ","1,382 ","3,361 ",967 ,"3,744 ","1,850 ","5,287 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Non-Operating Income (Expense),--,--,--,--,--,--,--,"3,297 ",837 ,"2,620 ","1,382 ","3,361 ",967 ,"3,744 ","1,850 ","5,287 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Income Before Taxes,"126,278 ","143,823 ","117,610 ","59,672 ","101,665 ","109,635 ","61,342 ","70,078 ","106,041 ","155,009 ","116,786 ","102,689 ","122,678 ","175,967 ","154,033 ","116,274 ","217,690 ","210,909 ","257,446 ","160,572 ","215,082 ","284,530 ","319,939 ","175,208 ","290,917 ","653,154 ","293,301 ","134,438 ","268,339 ","259,384 ","245,378 ","147,638 ","243,050 ","126,510 "
Provision for Income Taxes,(3),16 ,"2,127 ","(2,146)",(33),0 ,"8,018 ",130 ,49 ,(26),347 ,"1,362 ",(19),"9,437 ","2,078 ",838 ,"3,211 ","4,732 ","8,791 ","5,776 ","11,424 ","16,677 ","20,329 ","16,860 ","5,033 ","(2,873)","18,426 ","19,479 ","18,905 ","31,758 ","21,343 ","18,222 ","16,743 ","22,784 "
Net Income After Taxes,"126,281 ","143,807 ","115,483 ","61,817 ","101,698 ","109,635 ","53,324 ","69,949 ","105,992 ","155,035 ","116,439 ","101,326 ","122,697 ","166,530 ","151,955 ","115,437 ","214,479 ","206,177 ","248,655 ","154,796 ","203,658 ","267,853 ","299,610 ","158,348 ","285,884 ","656,027 ","274,875 ","114,959 ","249,434 ","227,626 ","224,035 ","129,417 ","226,307 ","103,726 "
Minority Interest,0 ,1 ,359 ,894 ,680 ,907 ,780 ,"2,860 ",561 ,"(2,256)","2,054 ","2,875 ","1,328 ","(6,076)","(7,953)","1,759 ","2,470 ","(18,078)","(8,801)","(4,698)","(5,362)","(12,639)","(13,106)","(9,294)","(29,111)","(14,937)","(11,039)","16,323 ","(9,820)",467 ,"(5,289)","(3,522)","(22,083)","18,941 "
Net Income Before Extra. Items,"126,281 ","143,808 ","115,842 ","62,711 ","102,378 ","110,542 ","54,104 ","72,808 ","106,553 ","152,779 ","118,493 ","104,202 ","124,025 ","160,454 ","144,002 ","117,196 ","216,949 ","188,099 ","239,854 ","150,098 ","198,296 ","255,214 ","286,504 ","149,054 ","256,773 ","641,090 ","263,836 ","131,282 ","239,614 ","228,093 ","218,746 ","125,895 ","204,224 ","122,667 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,"126,281 ","143,808 ","115,842 ","62,711 ","102,378 ","110,542 ","54,104 ","72,808 ","106,553 ","152,779 ","118,493 ","104,202 ","124,025 ","160,454 ","144,002 ","117,196 ","216,949 ","188,099 ","239,854 ","150,098 ","198,296 ","255,214 ","286,504 ","149,054 ","256,773 ","641,090 ","263,836 ","131,282 ","239,614 ","228,093 ","218,746 ","125,895 ","204,224 ","122,667 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous Earnings Adjustment,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(12,320)","(8,346)","(15,205)","(14,852)",0 ,0 ,--,--,--,0 ,--,--,--,--,--,--
Total Adjustments to Net Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(12,320)","(8,346)","(15,205)","(14,852)",0 ,0 ,--,--,--,0 ,--,--,--,--,--,--
Income Available to Com Excl ExtraOrd,"126,281 ","143,808 ","115,842 ","62,711 ","102,378 ","110,542 ","54,104 ","72,808 ","106,553 ","152,779 ","118,493 ","104,202 ","124,025 ","160,454 ","144,002 ","117,196 ","216,949 ","150,058 ","227,534 ","141,753 ","183,091 ","240,362 ","286,504 ","149,054 ","256,773 ","641,090 ","263,836 ","131,282 ","239,614 ","228,093 ","218,746 ","125,895 ","204,224 ","122,667 "
Income Available to Com Incl ExtraOrd,"126,281 ","143,808 ","115,842 ","62,711 ","102,378 ","110,542 ","54,104 ","72,808 ","106,553 ","152,779 ","118,493 ","104,202 ","124,025 ","160,454 ","144,002 ","117,196 ","216,949 ","150,058 ","227,534 ","141,753 ","183,091 ","240,362 ","286,504 ","149,054 ","256,773 ","641,090 ","263,836 ","131,282 ","239,614 ","228,093 ","218,746 ","125,895 ","204,224 ","122,667 "
Basic Weighted Average Shares,"919,555 ","919,555 ","919,555 ","919,555 ","920,503 ","920,553 ","941,150 ","1,229,648 ","1,227,184 ","1,227,184 ","1,227,183 ","1,227,184 ","1,227,186 ","1,227,183 ","1,227,183 ","1,227,186 ","1,227,186 ","1,240,664 ","1,227,184 ","1,227,184 ","1,434,561 ","1,239,491 ","1,227,182 ","1,243,839 ","1,482,897 ","1,373,826 ","1,373,826 ","1,373,900 ","1,373,826 ","1,373,826 ","1,373,826 ","1,373,824 ","1,331,993 ","1,289,387 "
Basic EPS Excluding Extraordinary Items,0.14 ,0.16 ,0.13 ,0.07 ,0.11 ,0.12 ,0.06 ,0.06 ,0.09 ,0.12 ,0.10 ,0.08 ,0.10 ,0.13 ,0.12 ,0.10 ,0.18 ,0.12 ,0.19 ,0.12 ,0.13 ,0.19 ,0.23 ,0.12 ,0.17 ,0.47 ,0.19 ,0.10 ,0.17 ,0.17 ,0.16 ,0.09 ,0.15 ,0.10 
Basic EPS Including Extraordinary Items,0.14 ,0.16 ,0.13 ,0.07 ,0.11 ,0.12 ,0.06 ,0.06 ,0.09 ,0.12 ,0.10 ,0.08 ,0.10 ,0.13 ,0.12 ,0.10 ,0.18 ,0.12 ,0.19 ,0.12 ,0.13 ,0.19 ,0.23 ,0.12 ,0.17 ,0.47 ,0.19 ,0.10 ,0.17 ,0.17 ,0.16 ,0.09 ,0.15 ,0.10 
Diluted Net Income,"126,281 ","143,808 ","115,842 ","62,711 ","102,378 ","110,542 ","54,104 ","72,808 ","106,553 ","152,779 ","118,493 ","104,202 ","124,025 ","160,454 ","144,002 ","117,196 ","216,949 ","150,058 ","227,534 ","141,753 ","183,091 ","240,362 ","286,504 ","149,054 ","256,773 ","641,090 ","263,836 ","131,282 ","239,614 ","228,093 ","218,746 ","125,895 ","204,224 ","122,667 "
Diluted Weighted Average Shares,"919,555 ","919,555 ","919,555 ","919,555 ","920,503 ","920,553 ","941,150 ","1,229,648 ","1,227,184 ","1,227,184 ","1,227,183 ","1,227,184 ","1,227,186 ","1,227,183 ","1,227,183 ","1,227,186 ","1,227,186 ","1,240,664 ","1,227,184 ","1,227,184 ","1,434,561 ","1,240,125 ","1,236,284 ","1,253,237 ","1,483,303 ","1,373,826 ","1,373,826 ","1,374,306 ","1,373,826 ","1,373,826 ","1,373,826 ","1,373,824 ","1,331,993 ","1,289,387 "
Diluted EPS Excluding ExtraOrd Items,0.14 ,0.16 ,0.13 ,0.07 ,0.11 ,0.12 ,0.06 ,0.06 ,0.09 ,0.12 ,0.10 ,0.08 ,0.10 ,0.13 ,0.12 ,0.10 ,0.18 ,0.12 ,0.19 ,0.12 ,0.13 ,0.19 ,0.23 ,0.12 ,0.17 ,0.47 ,0.19 ,0.10 ,0.17 ,0.17 ,0.16 ,0.09 ,0.15 ,0.10 
Diluted EPS Including ExtraOrd Items,0.14 ,0.16 ,0.13 ,0.07 ,0.11 ,0.12 ,0.06 ,0.06 ,0.09 ,0.12 ,0.10 ,0.08 ,0.10 ,0.13 ,0.12 ,0.10 ,0.18 ,0.12 ,0.19 ,0.12 ,0.13 ,0.19 ,0.23 ,0.12 ,0.17 ,0.47 ,0.19 ,0.10 ,0.17 ,0.17 ,0.16 ,0.09 ,0.15 ,0.10 
Supplemental (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPS - Common Stock Primary Issue,0.00 ,0.00 ,0.00 ,--,0.00 ,0.00 ,0.00 ,0.15 ,0.00 ,0.00 ,0.00 ,0.16 ,0.00 ,0.00 ,0.00 ,0.08 ,0.00 ,0.00 ,0.00 ,0.01 ,0.00 ,0.00 ,0.00 ,0.01 ,0.00 ,0.18 ,0.00 ,0.06 ,0.00 ,0.00 ,0.00 ,0.10 ,0.00 ,0.00 
Gross Dividends - Common Stock,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"189,000 ",0 ,0 ,0 ,"200,000 ",0 ,0 ,0 ,"101,420 ",0 ,0 ,0 ,"102,440 ",0 ,0 ,0 ,"126,260 ",0 ,"250,000 ",0 ,--,0 ,--,--,"62,450 ",--,--
"(Gain) Loss on Sale of Assets, Suppl.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,380 ",--,--,--,516 ,"1,313 "
"Non-Recurring Items, Supplemental, Total",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,380 ",--,--,--,516 ,"1,313 "
Total Special Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,380 ",--,--,--,516 ,"1,313 "
Normalized Income Before Taxes,"126,278 ","143,823 ","117,610 ","59,672 ","101,665 ","109,635 ","61,342 ","70,078 ","106,041 ","155,009 ","116,786 ","102,689 ","122,678 ","175,967 ","154,033 ","116,274 ","217,690 ","210,909 ","257,446 ","160,572 ","215,082 ","284,530 ","319,939 ","175,208 ","290,917 ","653,154 ","293,301 ","134,438 ","269,719 ","259,384 ","245,378 ","147,638 ","243,566 ","127,823 "
Effect of Special Items on Income Taxes,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,97 ,--,--,--,36 ,236 
Inc Tax Ex Impact of Sp Items,(3),16 ,"2,127 ","(2,146)",(33),0 ,"8,018 ",130 ,49 ,(26),347 ,"1,362 ",(19),"9,437 ","2,078 ",838 ,"3,211 ","4,732 ","8,791 ","5,776 ","11,424 ","16,677 ","20,329 ","16,860 ","5,033 ","(2,873)","18,426 ","19,479 ","19,002 ","31,758 ","21,343 ","18,222 ","16,779 ","23,020 "
Normalized Income After Taxes,"126,281 ","143,807 ","115,483 ","61,817 ","101,698 ","109,635 ","53,324 ","69,949 ","105,992 ","155,035 ","116,439 ","101,326 ","122,697 ","166,530 ","151,955 ","115,437 ","214,479 ","206,177 ","248,655 ","154,796 ","203,658 ","267,853 ","299,610 ","158,348 ","285,884 ","656,027 ","274,875 ","114,959 ","250,717 ","227,626 ","224,035 ","129,417 ","226,787 ","104,803 "
Normalized Inc. Avail to Com.,"126,281 ","143,808 ","115,842 ","62,711 ","102,378 ","110,542 ","54,104 ","72,808 ","106,553 ","152,779 ","118,493 ","104,202 ","124,025 ","160,454 ","144,002 ","117,196 ","216,949 ","150,058 ","227,534 ","141,753 ","183,091 ","240,362 ","286,504 ","149,054 ","256,773 ","641,090 ","263,836 ","131,282 ","240,897 ","228,093 ","218,746 ","125,895 ","204,704 ","123,744 "
Basic Normalized EPS,0.14 ,0.16 ,0.13 ,0.07 ,0.11 ,0.12 ,0.06 ,0.06 ,0.09 ,0.12 ,0.10 ,0.08 ,0.10 ,0.13 ,0.12 ,0.10 ,0.18 ,0.12 ,0.19 ,0.12 ,0.13 ,0.19 ,0.23 ,0.12 ,0.17 ,0.47 ,0.19 ,0.10 ,0.18 ,0.17 ,0.16 ,0.09 ,0.15 ,0.10 
Diluted Normalized EPS,0.14 ,0.16 ,0.13 ,0.07 ,0.11 ,0.12 ,0.06 ,0.06 ,0.09 ,0.12 ,0.10 ,0.08 ,0.10 ,0.13 ,0.12 ,0.10 ,0.18 ,0.12 ,0.19 ,0.12 ,0.13 ,0.19 ,0.23 ,0.12 ,0.17 ,0.47 ,0.19 ,0.10 ,0.18 ,0.17 ,0.16 ,0.09 ,0.15 ,0.10 
"Amort of Intangibles, Supplemental",--,--,--,302 ,--,--,305 ,306 ,"1,212 ","3,115 ","3,183 ","3,840 ",--,"4,429 ","7,168 ","6,768 ",--,--,--,--,--,--,"15,495 ","15,252 ",--,--,--,"13,954 ",--,--,"13,644 ","13,603 ","17,782 ","43,460 "
"Depreciation, Supplemental",--,--,"30,029 ","29,735 ",--,--,"29,846 ","29,840 ","36,207 ","51,220 ","54,140 ","60,681 ","62,156 ","64,516 ","87,175 ","85,398 ","125,486 ","91,985 ","182,004 ","133,651 ","136,854 ","141,387 ","196,078 ","203,821 ","239,095 ","241,545 ","225,849 ","191,488 ","213,771 ","215,119 ","192,845 ","200,228 ","199,899 ","220,475 "
"Interest Expense, Supplemental","37,367 ","36,959 ","37,403 ","34,385 ","38,142 ","39,212 ","43,846 ","25,680 ","26,479 ","35,842 ","41,446 ","44,390 ","46,066 ","48,747 ","52,731 ","54,097 ","61,723 ","86,307 ","80,707 ","84,983 ","86,224 ","72,728 ","92,303 ","104,768 ","123,649 ","124,944 ","118,044 ","194,686 ","159,683 ","161,201 ","170,190 ","169,113 ","167,288 ","214,648 "
"Equity in Affiliates, Supplemental",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,983 ","15,819 ","(5,943)","65,634 ","59,778 ","17,970 ","7,672 ","41,668 ","22,629 ",0 
"Minority Interest, Supplemental",0 ,1 ,359 ,894 ,680 ,907 ,780 ,"2,860 ",561 ,"(2,256)","2,054 ","2,875 ","1,328 ","(6,076)","(7,953)","1,759 ","2,470 ","(18,078)","(8,801)","(4,698)","(5,362)","(12,639)","(13,106)","(9,294)","(29,111)","(14,937)","(11,039)","16,323 ","(9,820)",467 ,"(5,289)","(3,522)","(22,083)","18,941 "
Normalized EBIT,"163,645 ","180,782 ","155,013 ","94,057 ","139,807 ","148,847 ","105,188 ","92,461 ","131,683 ","188,231 ","156,850 ","143,718 ","167,488 ","220,970 ","204,914 ","165,085 ","278,609 ","303,868 ","312,126 ","216,127 ","301,288 ","356,569 ","332,719 ","302,992 ","410,414 ","758,004 ","414,508 ","260,409 ","368,242 ","395,185 ","404,621 ","252,100 ","378,496 ","335,755 "
Normalized EBITDA,--,--,"185,042 ","124,094 ",--,--,"135,339 ","122,607 ","169,102 ","242,566 ","214,173 ","208,239 ","229,644 ","289,915 ","299,257 ","257,251 ","404,095 ","395,853 ","494,130 ","349,778 ","438,142 ","497,956 ","544,292 ","522,065 ","649,509 ","999,549 ","640,357 ","465,851 ","582,013 ","610,304 ","611,110 ","465,932 ","596,177 ","599,690 "
Tax & Pension Items (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Tax - Total,0 ,0 ,"2,157 ","(2,117)",0 ,0 ,"8,051 ",162 ,96 ,21 ,395 ,"1,409 ",42 ,"9,498 ","2,139 ","1,108 ","3,292 ","(1,820)",(597),"21,845 ",--,--,"3,868 ","55,742 ",--,--,--,--,--,--,--,--,--,--
Current Tax - Total,0 ,0 ,"2,157 ","(2,117)",0 ,0 ,"8,051 ",162 ,96 ,21 ,395 ,"1,409 ",42 ,"9,498 ","2,139 ","1,108 ","3,292 ","(1,820)",(597),"21,845 ",--,--,"3,868 ","55,742 ",--,--,--,--,--,--,--,--,--,--
Deferred Tax - Total,(3),16 ,(30),(29),(33),0 ,(33),(32),(47),(47),(48),(47),(61),(61),(61),(270),(81),"6,552 ","9,388 ","(16,069)",--,--,"16,461 ","(38,883)",--,--,--,--,--,--,--,--,--,--
Deferred Tax - Total,(3),16 ,(30),(29),(33),0 ,(33),(32),(47),(47),(48),(47),(61),(61),(61),(270),(81),"6,552 ","9,388 ","(16,069)",--,--,"16,461 ","(38,883)",--,--,--,--,--,--,--,--,--,--
Income Tax - Total,(3),16 ,"2,127 ","(2,146)",(33),0 ,"8,018 ",130 ,49 ,(26),347 ,"1,362 ",(19),"9,437 ","2,078 ",838 ,"3,211 ","4,732 ","8,791 ","5,776 ",--,--,"20,329 ","16,860 ",--,--,--,--,--,--,--,--,--,--
Dividends and Capital Changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sermsang Power Corporation Ord Shs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Dividend,--,--,--,--,--,--,--,THB 0.15 F,--,--,--,THB 0.16 F,--,--,--,THB 0.08 F,--,--,--,THB 0.01 F,--,--,--,THB 0.01 F,--,THB 0.18 I,--,THB 0.06 F,--,--,--,THB 0.10 F,--,--
,,,,,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,(30-Jun) Pd.End ,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,
Stock Dividend,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10.00 F,--,--,--,10.00 F,--,--,--,10.00 F,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,,,
Buyback,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1x,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(17-Nov) ,,
Stock Dividend,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,0 ,--,--,--,0 ,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,(28-May) ,,,,(25-May) ,,,,(25-May) ,,,,
