Tirathai PCL | Income Statement                                25-Sep-2024 17:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024
"Selling/General/Admin. Expenses, Total","34,934 ","38,903 ","35,492 ","65,153 ","45,895 ","47,535 ","42,330 ","71,569 ","47,905 ","48,377 ","63,366 ","75,320 ","59,588 ","67,159 ","61,380 ","93,773 ","63,393 ","83,829 ","85,278 ","64,951 ","56,096 ","56,798 ","68,583 ","72,613 ","68,666 ","83,048 ","79,343 ","76,906 ","73,392 ","74,629 ","71,002 ","107,669 ","94,610 ","103,809 ","106,307 ","90,513 ","95,330 ","97,781 ","135,157 ","95,904 ","102,217 ","121,016 ","125,961 ","117,650 ","133,089 ","138,465 ","135,249 ","150,853 ","143,260 ","128,501 ","152,106 ","110,873 ","124,585 ","112,636 ","148,419 ","148,006 ","102,244 ","128,582 ","117,929 ","120,335 ","97,674 ","86,053 ","83,847 ","114,820 ","88,631 ","85,734 ","74,438 ","90,300 ","76,833 ","68,340 ","76,265 ","56,489 ","82,726 ","64,726 ","63,575 ","88,641 ","71,683 "
Selling/General/Administrative Expense,"34,934 ","38,903 ","35,492 ","65,153 ","45,895 ","47,535 ","42,330 ","71,569 ","47,905 ","48,377 ","63,366 ","75,320 ","51,274 ","58,845 ","53,066 ","93,773 ","55,005 ","75,520 ","77,196 ","54,975 ","56,096 ","56,798 ","68,583 ","72,613 ","68,666 ","83,048 ","79,343 ","76,906 ","73,392 ","74,629 ","71,002 ","107,669 ","94,610 ","103,809 ","106,307 ","90,513 ","95,330 ","97,781 ","135,157 ","95,904 ","102,217 ","121,016 ","125,961 ","117,650 ","133,089 ","138,465 ","135,249 ","150,853 ","143,260 ","128,501 ","152,106 ","110,873 ","124,585 ","112,636 ","148,419 ","148,006 ","102,244 ","128,582 ","117,929 ","120,335 ","97,674 ","86,053 ","83,847 ","114,820 ","88,631 ","85,734 ","74,438 ","90,300 ","76,833 ","68,340 ","76,265 ","56,489 ","82,726 ","64,726 ","63,575 ","88,641 ","71,683 "
Labor & Related Expense,--,--,--,--,--,--,--,--,--,--,--,--,"8,314 ","8,314 ","8,314 ",--,"8,387 ","8,309 ","8,082 ","9,976 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Interest/Investment Income - Operating,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(7,131)","(3,188)","(4,848)","(4,888)","21,919 ","(14,941)","11,510 ","(14,767)","(3,869)","1,828 ","6,272 ","(7,644)","(3,933)","6,975 ","12,496 ","(24,014)",(493),"10,801 ","15,735 ","(37,495)","26,260 "
Investment Income - Operating,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(7,131)","(3,188)","(4,848)","(4,888)","21,919 ","(14,941)","11,510 ","(14,767)","(3,869)","1,828 ","6,272 ","(7,644)","(3,933)","6,975 ","12,496 ","(24,014)",(493),"10,801 ","15,735 ","(37,495)","26,260 "
"Interest Exp.(Inc.),Net-Operating, Total",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(7,131)","(3,188)","(4,848)","(4,888)","21,919 ","(14,941)","11,510 ","(14,767)","(3,869)","1,828 ","6,272 ","(7,644)","(3,933)","6,975 ","12,496 ","(24,014)",(493),"10,801 ","15,735 ","(37,495)","26,260 "
Unusual Expense (Income),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,--,--,"25,985 ","(29,532)",--,--,--,"1,832 ",--,--,--,--,--,--,--,--,--,--,0 ,0 ,--,"24,118 ","12,651 ","5,146 ",--,"(5,237)",0 ,0 ,--,"4,329 ",--,--,600 ,(600),"1,353 ",--,0 ,--,0 
Impairment-Assets Held for Use,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,--,"24,118 ","12,651 ","5,146 ",--,"(5,237)",0 ,0 ,--,"4,329 ",--,--,600 ,(600),"1,353 ",--,0 ,--,0 
Impairment-Assets Held for Sale,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,--,--,"25,985 ","(29,532)",--,--,--,"1,832 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Other Operating Expenses, Total","(1,737)","(2,341)","(2,963)",(777),"(4,728)","(1,800)","(2,707)","(6,088)","(4,303)","(5,167)","(4,746)","(6,519)","(7,323)","(7,207)","17,913 ","(5,220)","(8,152)","5,159 ","(12,047)","(11,632)","(7,556)","(3,189)","(5,335)","(3,829)","(7,765)","(8,599)","(4,090)","(7,818)","(5,301)","(7,179)",--,"(8,403)","(5,871)",--,--,0 ,920 ,668 ,--,"1,760 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(4,630)","9,977 ","(2,558)","(3,982)","(6,918)","(6,007)","(4,211)","(10,300)","(4,816)","(8,050)","(6,017)","(4,182)","(5,178)","(3,069)","(2,175)","(6,856)","(2,451)","(10,366)","(2,709)","5,170 ","(2,458)"
Other Operating Expense,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,"23,625 ",0 ,0 ,"5,863 ",--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,920 ,668 ,--,"1,760 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"17,379 ",--,"9,706 ",--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Other, Net","(1,737)","(2,341)","(2,963)",(777),"(4,728)","(1,800)","(2,707)","(6,088)","(4,303)","(5,167)","(4,746)","(6,519)","(7,323)","(7,207)","(5,712)","(5,220)","(8,152)",(704),"(12,047)","(11,632)","(7,556)","(3,189)","(5,335)","(3,829)","(7,765)","(8,599)","(4,090)","(7,818)","(5,301)","(7,179)",--,"(8,403)","(5,871)",--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(4,630)","(7,402)","(2,558)","(13,688)","(6,918)","(6,007)","(4,211)","(10,300)","(4,816)","(8,050)","(6,017)","(4,182)","(5,178)","(3,069)","(2,175)","(6,856)","(2,451)","(10,366)","(2,709)","5,170 ","(2,458)"
Total Operating Expense,"292,330 ","264,168 ","187,293 ","231,514 ","265,266 ","378,438 ","358,695 ","507,022 ","208,163 ","401,787 ","274,811 ","334,716 ","430,428 ","385,239 ","206,623 ","779,046 ","542,660 ","525,824 ","283,972 ","566,152 ","334,821 ","278,780 ","359,178 ","322,144 ","321,714 ","480,279 ","409,294 ","367,971 ","243,915 ","418,291 ","612,195 ","577,996 ","412,799 ","696,095 ","564,540 ","581,755 ","405,688 ","425,224 ","485,382 ","734,562 ","560,961 ","512,674 ","529,532 ","674,102 ","543,863 ","553,085 ","659,242 ","682,305 ","633,798 ","511,615 ","652,217 ","678,421 ","524,903 ","601,327 ","626,822 ","823,655 ","550,445 ","478,122 ","560,412 ","631,304 ","508,113 ","412,957 ","583,598 ","945,924 ","394,605 ","517,721 ","409,123 ","548,994 ","454,534 ","373,205 ","524,445 ","403,244 ","418,136 ","413,968 ","435,515 ","562,806 ","645,919 "
Operating Income,"36,124 ","72,214 ","19,866 ","(24,520)","10,021 ","20,679 ","50,520 ","51,220 ","(28,518)","60,607 ","69,189 ","88,681 ","44,425 ","55,419 ","(5,707)","210,706 ","118,448 ","73,728 ","(20,670)","133,045 ","102,687 ","18,087 ","38,428 ","37,911 ","44,516 ","53,903 ","114,270 ","62,733 ","(38,039)","72,568 ","29,376 ","4,860 ","39,872 ","57,144 ","4,614 ","161,072 ","10,124 ","(21,190)","(57,873)","149,710 ","(30,049)","(107,153)","7,683 ","76,218 ","30,624 ","29,835 ","(6,114)","43,676 ","(25,489)","(54,497)","(82,599)","116,300 ","8,467 ","12,367 ","(33,403)","51,774 ","(6,966)",(275),"16,962 ","185,977 ","(53,787)",(890),"6,208 ","136,757 ","(21,816)","52,675 ","90,182 ","29,880 ","(18,365)","(52,479)","(17,904)","27,139 ","(27,847)","(12,470)","143,599 ","150,525 ","151,745 "
"Interest Expense, Net Non-Operating","(8,153)","(8,858)","(7,188)","(6,717)","(8,563)","(8,781)","(8,770)","(11,885)","(9,607)","(8,796)","(7,556)","(7,776)","(6,513)","(8,077)","(8,443)","(12,245)","(9,323)","(9,032)","(9,604)","(8,006)","(7,299)","(6,396)","(5,668)","(6,519)","(4,258)","(5,205)","(5,934)","(5,899)","(5,723)","(7,043)","(13,760)","(12,342)","(11,281)","(11,816)","(10,739)","(11,701)","(10,925)","(10,503)","(11,662)","(12,720)","(12,429)","(16,343)","(12,265)","(12,355)","(12,031)","(13,031)","(14,929)","(2,338)","(15,085)","(15,580)","(16,204)","(12,638)","(15,255)","(16,012)","(16,627)","(16,742)","(15,574)","(15,557)","(15,408)","(16,065)","(17,732)","(17,152)","(16,246)","(14,806)","(13,533)","(11,807)","(11,941)","(10,614)","(10,296)","(10,763)","(12,343)","(11,360)","(13,698)","(16,599)","(21,980)","(22,910)","(23,227)"
Interest Expense - Non-Operating,"(8,153)","(8,858)","(7,188)","(6,717)","(8,563)","(8,781)","(8,770)","(11,885)","(9,607)","(8,796)","(7,556)","(7,776)","(6,513)","(8,077)","(8,443)","(12,245)","(9,323)","(9,032)","(9,604)","(8,006)","(7,299)","(6,396)","(5,668)","(6,519)","(4,258)","(5,205)","(5,934)","(5,899)","(5,723)","(7,043)","(13,760)","(12,342)","(11,281)","(11,816)","(10,739)","(11,701)","(10,925)","(10,503)","(11,662)","(12,720)","(12,429)","(16,343)","(12,265)","(12,355)","(12,031)","(13,031)","(14,929)","(2,338)","(15,085)","(15,580)","(16,204)","(12,638)","(15,255)","(16,012)","(16,627)","(16,742)","(15,574)","(15,557)","(15,408)","(16,065)","(17,732)","(17,152)","(16,246)","(14,806)","(13,533)","(11,807)","(11,941)","(10,614)","(10,296)","(10,763)","(12,343)","(11,360)","(13,698)","(16,599)","(21,980)","(22,910)","(23,227)"
Interest/Invest Income - Non-Operating,"1,745 ","1,794 ",232 ,348 ,"(2,437)","(2,187)",(854),"(2,412)",461 ,102 ,"(2,089)","1,185 ","(2,106)",87 ,"3,050 ",(215),"2,268 ",(265),"3,248 ","2,770 ",(202),"7,453 ",(651),"1,387 ","(2,447)",410 ,"(3,627)","(1,543)","5,307 ","(2,647)","5,782 ",(61),"18,941 ","(15,508)","(4,242)","(10,611)","1,758 ","2,174 ","8,113 ",(946),"13,365 ","(3,172)","(15,821)","6,373 ",98 ,"6,760 ","2,051 ","4,303 ","(1,355)","(5,073)",(154),"2,273 ","6,492 ","(7,536)","5,429 ","1,620 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(1,164)",728 ,131 ,323 ,(119),101 
Investment Income - Non-Operating,"1,745 ","1,794 ",232 ,348 ,"(2,437)","(2,187)",(854),"(2,412)",461 ,102 ,"(2,089)","1,185 ","(2,106)",87 ,"3,050 ",(215),"2,268 ",(265),"3,248 ","2,770 ",(202),"7,453 ",(651),"1,387 ","(2,447)",410 ,"(3,627)","(1,543)","5,307 ","(2,647)","5,782 ",(61),"18,941 ","(15,508)","(4,242)","(10,611)","1,758 ","2,174 ","8,113 ",(946),"13,365 ","(3,172)","(15,821)","6,373 ",98 ,"6,760 ","2,051 ","4,303 ","(1,355)","(5,073)",(154),"2,273 ","6,492 ","(7,536)","5,429 ","1,620 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(1,164)",728 ,131 ,323 ,(119),101 
"Interest Inc.(Exp.),Net-Non-Op., Total","(6,408)","(7,064)","(6,956)","(6,369)","(11,000)","(10,968)","(9,624)","(14,297)","(9,146)","(8,694)","(9,645)","(6,591)","(8,619)","(7,990)","(5,393)","(12,460)","(7,055)","(9,296)","(6,356)","(5,236)","(7,501)","1,057 ","(6,319)","(5,132)","(6,706)","(4,795)","(9,561)","(7,441)",(415),"(9,691)","(7,978)","(12,403)","7,659 ","(27,323)","(14,981)","(22,312)","(9,167)","(8,329)","(3,549)","(13,666)",936 ,"(19,514)","(28,086)","(5,981)","(11,933)","(6,271)","(12,877)","1,965 ","(16,440)","(20,653)","(16,357)","(10,365)","(8,763)","(23,548)","(11,198)","(15,123)","(15,574)","(15,557)","(15,408)","(16,065)","(17,732)","(17,152)","(16,246)","(14,806)","(13,533)","(11,807)","(11,941)","(10,614)","(10,296)","(10,763)","(12,343)","(12,524)","(12,970)","(16,468)","(21,656)","(23,028)","(23,127)"
"Other, Net",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"5,721 ",--,--,--,"3,166 ","5,327 ","2,360 ","5,957 ","9,164 ","3,052 ","2,198 ","23,470 ","7,301 ","2,777 ","3,715 ","6,914 ","1,698 ","2,252 ","3,098 ","8,065 ","3,796 ","3,308 ","2,399 ","3,937 ",861 ,"6,408 ",100 ,300 ,200 ,(99),0 ,0 ,0 ,0 ,"(5,995)",40 ,100 ,150 ,350 ,"1,507 ",150 ,(492),250 ,150 ,100 ,"(1,008)",100 
Other Non-Operating Income (Expense),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"5,721 ",--,--,--,"3,166 ","5,327 ","2,360 ","5,957 ","9,164 ","3,052 ","2,198 ","23,470 ","7,301 ","2,777 ","3,715 ","6,914 ","1,698 ","2,252 ","3,098 ","8,065 ","3,796 ","3,308 ","2,399 ","3,937 ",861 ,"6,408 ",100 ,300 ,200 ,(99),0 ,0 ,0 ,0 ,"(5,995)",40 ,100 ,150 ,350 ,"1,507 ",150 ,(492),250 ,150 ,100 ,"(1,008)",100 
Net Income Before Taxes,"29,716 ","65,150 ","12,910 ","(30,889)",(979),"9,711 ","40,896 ","36,923 ","(37,664)","51,913 ","59,544 ","82,090 ","35,806 ","47,429 ","(11,100)","198,246 ","111,392 ","64,432 ","(27,026)","127,809 ","95,186 ","19,144 ","32,110 ","32,779 ","37,810 ","49,108 ","104,709 ","55,292 ","(38,455)","62,878 ","27,118 ","(7,544)","47,532 ","38,392 ","(7,201)","144,087 ","3,317 ","(23,562)","(52,258)","139,097 ","(26,915)","(103,197)","(13,102)","73,014 ","22,406 ","30,477 ","(17,293)","47,894 ","(38,831)","(67,085)","(95,160)","109,243 ","2,102 ","(7,244)","(43,740)","43,060 ","(22,440)","(15,532)","1,754 ","169,812 ","(71,520)","(18,042)","(10,038)","121,951 ","(41,344)","40,908 ","78,341 ","19,416 ","(28,311)","(61,735)","(30,097)","14,123 ","(40,567)","(28,788)","122,043 ","126,489 ","128,718 "
Provision for Income Taxes,0 ,0 ,0 ,0 ,0 ,0 ,"5,542 ","11,677 ",0 ,"3,526 ","12,899 ","18,200 ","7,270 ","9,918 ","1,341 ","47,906 ","22,693 ","14,660 ","(6,088)","24,593 ","18,293 ","3,579 ","7,350 ","7,265 ","8,913 ","3,766 ","22,536 ","12,283 ","(8,084)","14,538 ","7,290 ",92 ,"10,723 ","7,135 ","(1,082)","28,973 ","1,522 ","(3,546)","(8,218)","28,477 ","(6,581)","(19,689)","(1,858)","16,213 ","5,937 ","6,115 ",(841),"13,224 ","(7,713)","(14,956)","(18,492)","20,517 ",391 ,"(1,287)","(9,168)","39,434 ","(3,285)","5,813 ","3,457 ","58,231 ","(9,222)",(291),"(1,435)","24,778 ","(5,044)","7,787 ","17,879 ","7,265 ","(3,439)","(10,214)","(3,674)","6,222 ","(4,538)","(2,481)","25,655 ","33,796 ","32,404 "
