TPI Polene Power PCL | Income Statement                                25-Sep-2024 16:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
Selling/General/Administrative Expense,"21,085 ","26,800 ","48,715 ","47,872 ","53,794 ","40,199 ","47,889 ","49,716 ","77,229 ","77,757 ","78,976 ","55,467 ","88,547 ","162,330 ","122,635 ","140,124 ","112,109 ","132,961 ","110,209 ","128,784 ","108,392 ","151,781 ","168,935 ","195,196 ","150,979 ","132,141 ","102,382 ","122,469 ","130,249 ","168,667 ","144,581 ","132,257 ","117,857 ","142,731 ","119,216 ","131,421 "
Interest/Investment Income - Operating,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"19,963 ","(27,706)","10,075 ","(41,201)","7,723 ","(9,059)","(8,344)","(19,136)","(14,849)","(2,085)","22,933 ","(65,053)","(28,507)","(12,206)","3,657 ","(126,298)","64,482 ","(32,445)"
Investment Income - Operating,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"19,963 ","(27,706)","10,075 ","(41,201)","7,723 ","(9,059)","(8,344)","(19,136)","(14,849)","(2,085)","22,933 ","(65,053)","(28,507)","(12,206)","3,657 ","(126,298)","64,482 ","(32,445)"
"Interest Exp.(Inc.),Net-Operating, Total",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"19,963 ","(27,706)","10,075 ","(41,201)","7,723 ","(9,059)","(8,344)","(19,136)","(14,849)","(2,085)","22,933 ","(65,053)","(28,507)","(12,206)","3,657 ","(126,298)","64,482 ","(32,445)"
"Other Operating Expenses, Total","(8,495)","(34,640)","(7,486)","(9,252)","(7,729)","(9,495)","(2,549)","(10,374)","(23,687)","(12,811)","(59,593)","(88,980)","(22,757)","(28,421)","(27,104)","(69,009)","(29,672)",--,"(43,001)","(127,113)","(60,745)","(50,933)","(69,141)","(45,882)","(52,508)","(73,051)","(93,159)","(110,286)","(76,177)","(86,845)","(56,040)","(35,195)","(37,137)","(48,988)","(55,711)","(48,108)"
"Other, Net","(8,495)","(34,640)","(7,486)","(9,252)","(7,729)","(9,495)","(2,549)","(10,374)","(23,687)","(12,811)","(59,593)","(88,980)","(22,757)","(28,421)","(27,104)","(69,009)","(29,672)",--,"(43,001)","(127,113)","(60,745)","(50,933)","(69,141)","(45,882)","(52,508)","(73,051)","(93,159)","(110,286)","(76,177)","(86,845)","(56,040)","(35,195)","(37,137)","(48,988)","(55,711)","(48,108)"
Total Operating Expense,"422,467 ","355,233 ","544,837 ","587,261 ","592,685 ","696,844 ","520,839 ","573,190 ","588,575 ","748,101 ","671,794 ","767,561 ","1,112,368 ","1,285,276 ","1,432,984 ","1,316,074 ","1,520,719 ","1,641,997 ","1,496,678 ","1,521,285 ","1,682,515 ","1,505,684 ","1,472,357 ","1,635,284 ","1,860,099 ","1,596,842 ","1,907,463 ","1,675,024 ","1,750,354 ","1,949,906 ","1,859,944 ","1,979,766 ","1,544,810 ","1,790,602 ","1,783,017 ","1,778,285 "
Operating Income,"169,224 ","210,201 ","590,471 ","532,963 ","305,120 ","517,979 ","645,711 ","667,935 ","554,615 ","565,848 ","678,481 ","1,111,918 ","994,199 ","998,210 ","996,625 ","1,260,555 ","1,165,886 ","1,236,361 ","1,038,171 ","1,272,850 ","1,328,679 ","1,273,488 ","1,177,798 ","1,288,566 ","1,018,079 ","1,024,807 ","880,129 ","881,854 ","570,375 ","584,869 ","1,080,082 ","950,670 ","892,300 ","891,640 ","775,532 ","918,515 "
Interest/Invest Income - Non-Operating,"14,100 ","(19,562)","43,689 ","(34,348)","(23,048)","(115,483)","55,398 ","48,349 ","64,774 ","64,481 ","136,383 ","(102,154)","44,344 ","(1,753)","16,940 ","10,896 ","(44,438)","27,457 ","(52,429)","(55,958)","(86,892)","(89,903)","(81,105)","(78,305)","(47,002)","(1,374)","(21,147)","(19,310)","(25,092)","(24,843)","(24,449)","(17,118)","(40,266)","(62,770)","(56,175)","(65,592)"
Investment Income - Non-Operating,"14,100 ","(19,562)","43,689 ","(34,348)","(23,048)","(115,483)","55,398 ","48,349 ","64,774 ","64,481 ","136,383 ","(102,154)","44,344 ","(1,753)","16,940 ","10,896 ","(44,438)","27,457 ","(52,429)","(55,958)","(86,892)","(89,903)","(81,105)","(78,305)","(47,002)","(1,374)","(21,147)","(19,310)","(25,092)","(24,843)","(24,449)","(17,118)","(40,266)","(62,770)","(56,175)","(65,592)"
"Interest Inc.(Exp.),Net-Non-Op., Total","14,100 ","(19,562)","43,689 ","(34,348)","(23,048)","(115,483)","55,398 ","48,349 ","64,774 ","64,481 ","136,383 ","(102,154)","44,344 ","(1,753)","16,940 ","10,896 ","(44,438)","27,457 ","(52,429)","(55,958)","(86,892)","(89,903)","(81,105)","(78,305)","(47,002)","(1,374)","(21,147)","(19,310)","(25,092)","(24,843)","(24,449)","(17,118)","(40,266)","(62,770)","(56,175)","(65,592)"
"Other, Net",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"38,508 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Non-Operating Income (Expense),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"38,508 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Income Before Taxes,"183,324 ","190,639 ","634,160 ","498,615 ","282,072 ","402,496 ","701,109 ","716,284 ","619,389 ","630,329 ","814,864 ","1,009,764 ","1,038,543 ","996,457 ","1,013,565 ","1,271,451 ","1,121,448 ","1,302,326 ","985,742 ","1,216,892 ","1,241,787 ","1,183,585 ","1,096,693 ","1,210,261 ","971,077 ","1,023,433 ","858,982 ","862,544 ","545,283 ","560,026 ","1,055,633 ","933,552 ","852,034 ","828,870 ","719,357 ","852,923 "
Provision for Income Taxes,"(3,514)","1,182 ","(2,097)","(1,073)","(2,159)","(1,576)","2,616 ","9,920 ","26,035 ","37,009 ","61,012 ","44,209 ","33,262 ","22,186 ","30,705 ","20,529 ","22,961 ","27,787 ","18,614 ","45,223 ","35,452 ","22,892 ","35,684 ","22,188 ","28,104 ","24,158 ","4,401 ","6,834 ","6,769 ","(3,953)","9,236 ","(1,451)","13,299 ","(4,156)","19,942 ","(4,811)"
Net Income After Taxes,"186,838 ","189,457 ","636,257 ","499,688 ","284,231 ","404,072 ","698,493 ","706,364 ","593,354 ","593,320 ","753,852 ","965,555 ","1,005,281 ","974,271 ","982,860 ","1,250,922 ","1,098,487 ","1,274,539 ","967,128 ","1,171,669 ","1,206,335 ","1,160,693 ","1,061,009 ","1,188,073 ","942,973 ","999,275 ","854,581 ","855,710 ","538,514 ","563,979 ","1,046,397 ","935,003 ","838,735 ","833,026 ","699,415 ","857,734 "
Minority Interest,0 ,0 ,0 ,0 ,--,0 ,--,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,(1),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Net Income Before Extra. Items,"186,838 ","189,457 ","636,257 ","499,688 ","284,231 ","404,072 ","698,493 ","706,364 ","593,354 ","593,320 ","753,852 ","965,555 ","1,005,281 ","974,271 ","982,860 ","1,250,922 ","1,098,487 ","1,274,539 ","967,128 ","1,171,668 ","1,206,335 ","1,160,693 ","1,061,009 ","1,188,073 ","942,973 ","999,275 ","854,581 ","855,710 ","538,514 ","563,979 ","1,046,397 ","935,003 ","838,735 ","833,026 ","699,415 ","857,734 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discontinued Operations,0 ,0 ,0 ,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Extraordinary Items,0 ,0 ,0 ,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Income,"186,838 ","189,457 ","636,257 ","499,688 ","284,231 ","404,072 ","698,493 ","706,364 ","593,354 ","593,320 ","753,852 ","965,555 ","1,005,281 ","974,271 ","982,860 ","1,250,922 ","1,098,487 ","1,274,539 ","967,128 ","1,171,668 ","1,206,335 ","1,160,693 ","1,061,009 ","1,188,073 ","942,973 ","999,275 ","854,581 ","855,710 ","538,514 ","563,979 ","1,046,397 ","935,003 ","838,735 ","833,026 ","699,415 ","857,734 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Available to Com Excl ExtraOrd,"186,838 ","189,457 ","636,257 ","499,688 ","284,231 ","404,072 ","698,493 ","706,364 ","593,354 ","593,320 ","753,852 ","965,555 ","1,005,281 ","974,271 ","982,860 ","1,250,922 ","1,098,487 ","1,274,539 ","967,128 ","1,171,668 ","1,206,335 ","1,160,693 ","1,061,009 ","1,188,073 ","942,973 ","999,275 ","854,581 ","855,710 ","538,514 ","563,979 ","1,046,397 ","935,003 ","838,735 ","833,026 ","699,415 ","857,734 "
Income Available to Com Incl ExtraOrd,"186,838 ","189,457 ","636,257 ","499,688 ","284,231 ","404,072 ","698,493 ","706,364 ","593,354 ","593,320 ","753,852 ","965,555 ","1,005,281 ","974,271 ","982,860 ","1,250,922 ","1,098,487 ","1,274,539 ","967,128 ","1,171,668 ","1,206,335 ","1,160,693 ","1,061,009 ","1,188,073 ","942,973 ","999,275 ","854,581 ","855,710 ","538,514 ","563,979 ","1,046,397 ","935,003 ","838,735 ","833,026 ","699,415 ","857,734 "
Basic Weighted Average Shares,"4,369,722 ","4,442,039 ","5,900,000 ","5,900,000 ","5,900,000 ","5,900,000 ","5,959,444 ","8,400,000 ","8,400,000 ","8,406,698 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,389,314 ","8,414,281 ","8,426,810 ","8,400,000 ","8,423,450 ","8,387,350 ","8,420,223 ","8,400,000 ","8,400,000 "
Basic EPS Excluding Extraordinary Items,0.04 ,0.04 ,0.11 ,0.08 ,0.05 ,0.07 ,0.12 ,0.08 ,0.07 ,0.07 ,0.09 ,0.11 ,0.12 ,0.12 ,0.12 ,0.15 ,0.13 ,0.15 ,0.12 ,0.14 ,0.14 ,0.14 ,0.13 ,0.14 ,0.11 ,0.12 ,0.10 ,0.10 ,0.06 ,0.07 ,0.12 ,0.11 ,0.10 ,0.10 ,0.08 ,0.10 
Basic EPS Including Extraordinary Items,0.04 ,0.04 ,0.11 ,0.08 ,0.05 ,0.07 ,0.12 ,0.08 ,0.07 ,0.07 ,0.09 ,0.11 ,0.12 ,0.12 ,0.12 ,0.15 ,0.13 ,0.15 ,0.12 ,0.14 ,0.14 ,0.14 ,0.13 ,0.14 ,0.11 ,0.12 ,0.10 ,0.10 ,0.06 ,0.07 ,0.12 ,0.11 ,0.10 ,0.10 ,0.08 ,0.10 
Dilution Adjustment,0 ,0 ,0 ,0 ,--,--,0 ,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Diluted Net Income,"186,838 ","189,457 ","636,257 ","499,688 ","284,231 ","404,072 ","698,493 ","706,364 ","593,354 ","593,320 ","753,852 ","965,555 ","1,005,281 ","974,271 ","982,860 ","1,250,922 ","1,098,487 ","1,274,539 ","967,128 ","1,171,668 ","1,206,335 ","1,160,693 ","1,061,009 ","1,188,073 ","942,973 ","999,275 ","854,581 ","855,710 ","538,514 ","563,979 ","1,046,397 ","935,003 ","838,735 ","833,026 ","699,415 ","857,734 "
Diluted Weighted Average Shares,"4,369,722 ","4,442,039 ","5,900,000 ","5,900,000 ","5,900,000 ","5,900,000 ","5,959,444 ","8,400,000 ","8,400,000 ","8,406,698 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,389,314 ","8,414,281 ","8,426,810 ","8,400,000 ","8,423,450 ","8,387,350 ","8,420,223 ","8,400,000 ","8,400,000 "
Diluted EPS Excluding ExtraOrd Items,0.04 ,0.04 ,0.11 ,0.08 ,0.05 ,0.07 ,0.12 ,0.08 ,0.07 ,0.07 ,0.09 ,0.11 ,0.12 ,0.12 ,0.12 ,0.15 ,0.13 ,0.15 ,0.12 ,0.14 ,0.14 ,0.14 ,0.13 ,0.14 ,0.11 ,0.12 ,0.10 ,0.10 ,0.06 ,0.07 ,0.12 ,0.11 ,0.10 ,0.10 ,0.08 ,0.10 
Diluted EPS Including ExtraOrd Items,0.04 ,0.04 ,0.11 ,0.08 ,0.05 ,0.07 ,0.12 ,0.08 ,0.07 ,0.07 ,0.09 ,0.11 ,0.12 ,0.12 ,0.12 ,0.15 ,0.13 ,0.15 ,0.12 ,0.14 ,0.14 ,0.14 ,0.13 ,0.14 ,0.11 ,0.12 ,0.10 ,0.10 ,0.06 ,0.07 ,0.12 ,0.11 ,0.10 ,0.10 ,0.08 ,0.10 
Supplemental (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPS - Common Stock Primary Issue,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.10 ,0.10 ,0.06 ,0.04 ,0.10 ,0.10 ,0.10 ,0.10 ,0.00 ,0.10 ,0.10 ,0.20 ,0.00 ,0.12 ,0.00 ,0.15 ,0.00 ,0.12 ,0.00 ,0.13 ,0.00 ,0.12 ,0.09 ,0.03 ,0.00 ,0.12 ,0.00 ,0.12 ,0.00 ,0.09 
Gross Dividends - Common Stock,0 ,0 ,0 ,0 ,0 ,0 ,"840,000 ","840,000 ","504,000 ","336,000 ","840,000 ","840,000 ","840,000 ","840,000 ",0 ,"840,000 ","840,000 ","1,680,000 ",0 ,"1,008,000 ",0 ,"1,260,000 ",0 ,"1,008,000 ",0 ,"1,092,000 ",0 ,"1,008,000 ",0 ,"756,000 ",0 ,"1,008,000 ",0 ,"1,008,000 ",0 ,0 
Normalized Income Before Taxes,"183,324 ","190,639 ","634,160 ","498,615 ","282,072 ","402,496 ","701,109 ","716,284 ","619,389 ","630,329 ","814,864 ","1,009,764 ","1,038,543 ","996,457 ","1,013,565 ","1,271,451 ","1,121,448 ","1,302,326 ","985,742 ","1,216,892 ","1,241,787 ","1,183,585 ","1,096,693 ","1,210,261 ","971,077 ","1,023,433 ","858,982 ","862,544 ","545,283 ","560,026 ","1,055,633 ","933,552 ","852,034 ","828,870 ","719,357 ","852,923 "
Inc Tax Ex Impact of Sp Items,"(3,514)","1,182 ","(2,097)","(1,073)","(2,159)","(1,576)","2,616 ","9,920 ","26,035 ","37,009 ","61,012 ","44,209 ","33,262 ","22,186 ","30,705 ","20,529 ","22,961 ","27,787 ","18,614 ","45,223 ","35,452 ","22,892 ","35,684 ","22,188 ","28,104 ","24,158 ","4,401 ","6,834 ","6,769 ","(3,953)","9,236 ","(1,451)","13,299 ","(4,156)","19,942 ","(4,811)"
Normalized Income After Taxes,"186,838 ","189,457 ","636,257 ","499,688 ","284,231 ","404,072 ","698,493 ","706,364 ","593,354 ","593,320 ","753,852 ","965,555 ","1,005,281 ","974,271 ","982,860 ","1,250,922 ","1,098,487 ","1,274,539 ","967,128 ","1,171,669 ","1,206,335 ","1,160,693 ","1,061,009 ","1,188,073 ","942,973 ","999,275 ","854,581 ","855,710 ","538,514 ","563,979 ","1,046,397 ","935,003 ","838,735 ","833,026 ","699,415 ","857,734 "
Normalized Inc. Avail to Com.,"186,838 ","189,457 ","636,257 ","499,688 ","284,231 ","404,072 ","698,493 ","706,364 ","593,354 ","593,320 ","753,852 ","965,555 ","1,005,281 ","974,271 ","982,860 ","1,250,922 ","1,098,487 ","1,274,539 ","967,128 ","1,171,668 ","1,206,335 ","1,160,693 ","1,061,009 ","1,188,073 ","942,973 ","999,275 ","854,581 ","855,710 ","538,514 ","563,979 ","1,046,397 ","935,003 ","838,735 ","833,026 ","699,415 ","857,734 "
Basic Normalized EPS,0.04 ,0.04 ,0.11 ,0.08 ,0.05 ,0.07 ,0.12 ,0.08 ,0.07 ,0.07 ,0.09 ,0.11 ,0.12 ,0.12 ,0.12 ,0.15 ,0.13 ,0.15 ,0.12 ,0.14 ,0.14 ,0.14 ,0.13 ,0.14 ,0.11 ,0.12 ,0.10 ,0.10 ,0.06 ,0.07 ,0.12 ,0.11 ,0.10 ,0.10 ,0.08 ,0.10 
Diluted Normalized EPS,0.04 ,0.04 ,0.11 ,0.08 ,0.05 ,0.07 ,0.12 ,0.08 ,0.07 ,0.07 ,0.09 ,0.11 ,0.12 ,0.12 ,0.12 ,0.15 ,0.13 ,0.15 ,0.12 ,0.14 ,0.14 ,0.14 ,0.13 ,0.14 ,0.11 ,0.12 ,0.10 ,0.10 ,0.06 ,0.07 ,0.12 ,0.11 ,0.10 ,0.10 ,0.08 ,0.10 
"Depreciation, Supplemental",--,--,--,--,"89,248 ","93,526 ","84,470 ","91,356 ","95,840 ","92,773 ","91,454 ","121,754 ","128,463 ","139,420 ","178,285 ","204,872 ","214,260 ","209,456 ","218,461 ","219,225 ","216,387 ","221,852 ","217,536 ","221,116 ","228,296 ","250,110 ","244,666 ","249,798 ","251,738 ","250,633 ","249,190 ","253,908 ","246,724 ","267,288 ","267,629 ","263,543 "
"Interest Expense, Supplemental","6,153 ","7,525 ","16,414 ","49,207 ","42,464 ","52,299 ","38,569 ",664 ,844 ,839 ,834 ,"1,132 ","1,206 ","15,797 ","40,139 ","40,832 ","61,625 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Equity in Affiliates, Supplemental",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,0 ,(106),729 ,690 ,"1,138 ",707 ,"1,441 ","1,487 "
"Minority Interest, Supplemental",0 ,0 ,0 ,0 ,--,0 ,--,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,(1),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Normalized EBIT,"169,224 ","210,201 ","590,471 ","532,963 ","305,120 ","517,979 ","645,711 ","667,935 ","554,615 ","565,848 ","678,481 ","1,111,918 ","994,199 ","998,210 ","996,625 ","1,260,555 ","1,165,886 ","1,236,361 ","1,058,134 ","1,245,144 ","1,338,754 ","1,232,287 ","1,185,521 ","1,279,507 ","1,009,735 ","1,005,671 ","865,280 ","879,769 ","593,308 ","519,816 ","1,051,575 ","938,464 ","895,957 ","765,342 ","840,014 ","886,070 "
Normalized EBITDA,--,--,--,--,"394,368 ","611,505 ","730,181 ","759,291 ","650,455 ","658,621 ","769,935 ","1,233,672 ","1,122,662 ","1,137,630 ","1,174,910 ","1,465,427 ","1,380,146 ","1,445,817 ","1,276,595 ","1,464,369 ","1,555,141 ","1,454,139 ","1,403,057 ","1,500,623 ","1,238,031 ","1,255,781 ","1,109,946 ","1,129,567 ","845,046 ","770,449 ","1,300,765 ","1,192,372 ","1,142,681 ","1,032,630 ","1,107,643 ","1,149,613 "
Dividends and Capital Changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPI Polene Power Ord Shs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Dividend,--,--,--,--,--,--,THB 0.10 I,THB 0.10 I,THB 0.02 I,THB 0.02 F,THB 0.02 I,THB 0.02 I,THB 0.10 I,THB 0.08 Extra,--,THB 0.09 Extra,THB 0.01 I,THB 0.20 F,--,THB 0.08 I,--,THB 0.15 F,--,THB 0.08 Extra,--,THB 0.09 Extra,--,THB 0.02 I,THB 0.09 I,THB 0.03 F,--,THB 0.12 I,--,THB 0.12 F,--,THB 0.09 I
,,,,,,,(31-Mar) Pd.End ,(30-Jun) Pd.End ,(30-Sep) Pd.End ,(31-Dec) Pd.End ,(31-Mar) Pd.End ,(30-Jun) Pd.End ,(30-Sep) Pd.End ,(31-Dec) Pd.End ,,(30-Jun) Pd.End ,(30-Sep) Pd.End ,(31-Dec) Pd.End ,,(30-Jun) Pd.End ,,(31-Dec) Pd.End ,,(30-Jun) Pd.End ,,(31-Dec) Pd.End ,,(30-Jun) Pd.End ,(30-Sep) Pd.End ,(31-Dec) Pd.End ,,(30-Jun) Pd.End ,,(31-Dec) Pd.End ,,(30-Jun) Pd.End 
,--,--,--,--,--,--,--,--,THB 0.04 Extra,THB 0.02 Extra,THB 0.08 Extra,THB 0.08 Extra,--,THB 0.02 F,--,THB 0.01 I,THB 0.09 Extra,--,--,THB 0.04 Extra,--,--,--,THB 0.04 I,--,THB 0.04 F,--,THB 0.10 Extra,--,--,--,--,--,--,--,--
,,,,,,,,,(30-Sep) Pd.End ,(31-Dec) Pd.End ,(31-Mar) Pd.End ,(30-Jun) Pd.End ,,(31-Dec) Pd.End ,,(30-Jun) Pd.End ,(30-Sep) Pd.End ,,,(30-Jun) Pd.End ,,,,(30-Jun) Pd.End ,,(31-Dec) Pd.End ,,(30-Jun) Pd.End ,,,,,,,,
