Sermsang Power Corporation PCL | Ratios - Key Metrics                                25-Sep-2024 16:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios - Key Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interim Standardised in Millions of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016 ,,,,2017 ,,,,2018 ,,,,2019 ,,,,2020 ,,,,2021 ,,,,2022 ,,,,2023 ,,,,2024 ,
Pretax ROE,4.6% ,-,-,-,4.9%,-,-,2.6%,2.1%,3.2%,4.5%,3.4%,2.9%,3.4%,4.9%,4.3%,3.1%,5.6%,5.2%,6.1%,3.6%,4.8%,6.1%,6.4%,3.2%,4.6%,9.0%,3.8%,1.7%,3.4%,3.2%,3.0%,1.8%,3.1%,1.7%
x Tax Complement,0.73 ,1.00 ,1.00 ,0.98 ,1.05 ,1.01 ,1.01 ,0.88 ,1.04 ,1.00 ,0.99 ,1.01 ,1.01 ,1.01 ,0.91 ,0.93 ,1.01 ,1.00 ,0.89 ,0.93 ,0.93 ,0.92 ,0.90 ,0.90 ,0.85 ,0.88 ,0.98 ,0.90 ,0.98 ,0.89 ,0.88 ,0.89 ,0.85 ,0.84 ,0.97 
ROE,3.0% ,-,-,-,5.2%,-,-,2.3%,2.2%,3.2%,4.5%,3.4%,3.0%,3.5%,4.5%,4.0%,3.1%,5.6%,4.6%,5.7%,3.4%,4.4%,5.5%,5.8%,2.7%,4.1%,8.9%,3.4%,1.7%,3.0%,2.9%,2.7%,1.5%,2.6%,1.6%
x Earnings Retention,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,(1.60),1.00 ,1.00 ,1.00 ,(0.92),1.00 ,1.00 ,1.00 ,0.13 ,1.00 ,1.00 ,1.00 ,0.28 ,1.00 ,1.00 ,1.00 ,0.15 ,1.00 ,0.61 ,1.00 ,0.42 ,1.00 ,1.00 ,1.00 ,0.50 ,1.00 ,1.00 
Reinvestment Rate,2.0% ,-,-,-,5.2%,-,-,2.3%,(3.5%),3.2%,4.5%,3.4%,(2.7%),3.5%,4.5%,4.0%,0.4%,5.6%,3.7%,5.4%,0.9%,4.1%,5.2%,5.8%,0.4%,4.1%,5.4%,3.4%,0.7%,3.0%,2.9%,2.7%,0.8%,2.6%,1.6%
Liquidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick Ratio,0.61 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.14 ,0.89 ,1.35 ,1.39 ,0.86 ,0.41 ,0.79 ,0.97 ,1.13 ,3.26 ,3.62 ,2.59 ,2.80 ,2.83 ,2.52 ,1.35 ,0.94 
Current Ratio,0.81 ,-,-,0.96 ,1.42 ,-,1.89 ,3.15 ,2.30 ,1.48 ,2.02 ,2.31 ,1.76 ,1.13 ,1.16 ,1.20 ,1.16 ,1.40 ,1.14 ,0.89 ,1.35 ,1.39 ,0.86 ,0.41 ,0.79 ,0.97 ,1.13 ,3.27 ,3.64 ,2.61 ,2.81 ,2.85 ,2.53 ,1.35 ,0.95 
Times Interest Earned,3.6 ,4.4 ,4.9 ,4.1 ,2.7 ,3.7 ,3.8 ,2.4 ,3.6 ,5.0 ,5.3 ,3.8 ,3.2 ,3.6 ,4.5 ,3.9 ,3.1 ,4.5 ,3.5 ,3.9 ,2.5 ,3.5 ,4.9 ,3.6 ,2.9 ,3.3 ,6.1 ,3.5 ,1.3 ,2.3 ,2.5 ,2.4 ,1.5 ,2.3 ,1.6 
Cash Cycle (Days),46.5 ,-,-,-,67.3 ,-,-,67.4 ,68.2 ,69.3 ,64.0 ,110.4 ,101.0 ,80.6 ,79.6 ,90.4 ,94.9 ,87.1 ,62.6 ,67.3 ,99.9 ,108.3 ,83.5 ,74.4 ,93.8 ,102.6 ,69.2 ,91.0 ,95.5 ,96.0 ,97.1 ,86.6 ,96.1 ,110.1 ,99.0 
Leverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assets/Equity,3.47 ,-,-,3.78 ,4.00 ,-,3.90 ,2.37 ,2.50 ,2.60 ,2.87 ,3.23 ,3.37 ,3.38 ,3.58 ,3.50 ,3.45 ,3.75 ,3.71 ,3.78 ,3.79 ,3.67 ,3.86 ,4.34 ,4.09 ,3.80 ,3.05 ,2.96 ,2.74 ,2.68 ,2.72 ,2.66 ,2.62 ,3.35 ,3.36 
Debt/Equity,1.39 ,-,-,2.71 ,2.91 ,-,2.82 ,1.32 ,1.38 ,1.38 ,1.73 ,2.00 ,2.09 ,2.02 ,2.29 ,2.26 ,2.31 ,2.58 ,2.47 ,2.53 ,2.62 ,2.51 ,2.30 ,2.52 ,2.42 ,2.17 ,1.53 ,1.83 ,1.63 ,1.57 ,1.62 ,1.56 ,1.52 ,2.17 ,2.19 
% LT Debt to Total Capital,38.9% ,-,-,60.1%,66.2%,-,66.7%,50.0%,50.8%,50.4%,55.6%,60.3%,61.1%,60.5%,62.9%,59.4%,60.3%,62.7%,61.4%,59.5%,61.6%,61.3%,54.9%,57.3%,55.3%,55.0%,53.0%,57.2%,56.1%,52.6%,53.0%,52.2%,51.3%,54.0%,53.2%
(Total Debt - Cash) / EBITDA,29.61 ,-,-,-,24.77 ,-,-,23.81 ,23.45 ,18.37 ,15.50 ,22.23 ,27.61 ,27.23 ,23.50 ,24.77 ,29.67 ,21.26 ,23.16 ,19.21 ,29.08 ,23.29 ,20.05 ,19.79 ,21.40 ,15.96 ,8.85 ,13.77 ,20.87 ,16.00 ,14.81 ,14.47 ,18.85 ,18.80 ,23.09 
Operating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/R Turnover,1.1 ,-,-,-,1.4 ,-,-,1.4 ,1.3 ,1.3 ,1.4 ,0.8 ,0.9 ,1.1 ,1.1 ,1.0 ,1.0 ,1.0 ,1.5 ,1.4 ,0.9 ,0.8 ,1.1 ,1.3 ,1.0 ,0.9 ,1.4 ,1.0 ,1.0 ,1.0 ,1.0 ,1.1 ,1.0 ,0.9 ,1.0 
Avg. A/R Days,82.0 ,-,-,-,67.3 ,-,-,67.4 ,68.2 ,69.3 ,64.0 ,110.4 ,101.0 ,80.6 ,79.6 ,90.4 ,94.9 ,87.1 ,62.6 ,67.2 ,98.9 ,107.3 ,83.4 ,71.8 ,90.8 ,99.7 ,65.3 ,86.8 ,90.8 ,89.8 ,90.3 ,79.5 ,90.1 ,104.2 ,92.4 
Inv Turnover,5.1 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,311.4 ",87.7 ,86.3 ,611.0 ,35.7 ,30.3 ,31.4 ,23.5 ,21.7 ,19.2 ,14.7 ,13.3 ,12.8 ,15.0 ,15.2 ,13.6 
Avg. Inventory Days,17.8 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1 ,1.0 ,1.1 ,0.1 ,2.5 ,3.0 ,2.9 ,3.9 ,4.2 ,4.7 ,6.2 ,6.9 ,7.1 ,6.1 ,6.0 ,6.7 
Avg. A/P Days,83.6 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fixed Asset Turnover,0.11 ,-,-,-,0.06 ,-,-,0.05 ,0.04 ,0.04 ,0.05 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.06 ,0.05 ,0.04 ,0.05 ,0.05 ,0.05 ,0.04 ,0.05 ,0.08 ,0.05 ,0.05 ,0.05 ,0.06 ,0.06 ,0.06 ,0.06 ,0.05 
WC / Sales Growth,(10.9%) ,-,-,-,-,-,-,-,184.6%,(198.7%),(101.1%),143.0%,(47.2%),(180.4%),(119.5%),14.7%,7.6%,25.9%,(37.0%),(60.8%),36.0%,73.5%,(86.1%),(295.3%),(49.2%),236.0%,104.0%,277.7%,185.0%,(98.0%),23.2%,18.6%,(6.7%),(165.1%),(186.6%)
Bad Debt Allowance (% of A/R),2.7% ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,-,-,-,0.0%,-,-,-
ROIC,- ,-,-,-,1.5%,-,-,0.9%,1.0%,1.4%,1.9%,1.3%,1.0%,1.2%,1.5%,1.4%,1.0%,1.7%,1.5%,1.8%,1.1%,1.4%,1.8%,1.9%,0.9%,1.6%,3.5%,1.4%,0.6%,1.3%,1.2%,1.1%,0.7%,1.1%,0.5%
