Earth Tech Environment PCL | Income Statement                                25-Sep-2024 16:18,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,
,2019,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
"Selling/General/Admin. Expenses, Total","17,963 ","31,739 ","30,242 ","13,095 ","17,943 ","16,899 ","20,628 ","14,773 ","19,320 ","44,848 ","10,305 ","31,542 ","19,970 ","52,154 ","27,527 ","30,454 ","25,999 ","29,137 ","33,695 ","22,796 "
Selling/General/Administrative Expense,"14,125 ","24,612 ","24,966 ","7,742 ","12,683 ","11,582 ","15,129 ","9,191 ","13,881 ","39,079 ","4,286 ","25,537 ","13,835 ","46,829 ","20,721 ","22,953 ","18,396 ","21,464 ","23,193 ","16,350 "
Labor & Related Expense,"3,838 ","7,127 ","5,276 ","5,353 ","5,260 ","5,317 ","5,499 ","5,582 ","5,439 ","5,769 ","6,019 ","6,005 ","6,135 ","5,325 ","6,806 ","7,501 ","7,603 ","7,673 ","10,502 ","6,446 "
Unusual Expense (Income),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(33,186)"
Other Unusual Expense (Income),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(33,186)"
"Other Operating Expenses, Total",(611),(474),(10),(76),(28),"(2,423)",(586),"(1,057)","(12,671)","(4,632)","(4,149)","(34,048)","(6,670)",508 ,"(6,344)","(26,812)","(6,851)","(3,179)","(5,772)","(5,617)"
"Other, Net",(611),(474),(10),(76),(28),"(2,423)",(586),"(1,057)","(12,671)","(4,632)","(4,149)","(34,048)","(6,670)",508 ,"(6,344)","(26,812)","(6,851)","(3,179)","(5,772)","(5,617)"
Total Operating Expense,"63,214 ","87,961 ","96,075 ","90,190 ","103,577 ","98,787 ","108,216 ","105,917 ","106,949 ","150,418 ","112,862 ","110,373 ","127,758 ","186,143 ","150,327 ","122,619 ","137,956 ","145,015 ","155,726 ","103,246 "
Operating Income,"28,112 ","21,934 ","38,826 ","85,753 ","68,986 ","88,372 ","64,421 ","84,162 ","68,141 ","41,987 ","63,184 ","83,640 ","56,619 ","(2,311)","25,308 ","37,882 ","40,741 ","48,537 ","26,793 ","88,562 "
"Interest Expense, Net Non-Operating","(10,167)","(16,755)","(14,698)","(24,012)","(19,149)","(22,153)","(18,634)","(17,315)","(16,258)","(16,388)","(14,786)","(14,076)","(13,082)","(20,835)","(23,602)","(28,272)","(31,297)","(33,991)","(31,496)","(26,690)"
Interest Expense - Non-Operating,"(10,167)","(16,755)","(14,698)","(24,012)","(19,149)","(22,153)","(18,634)","(17,315)","(16,258)","(16,388)","(14,786)","(14,076)","(13,082)","(20,835)","(23,602)","(28,272)","(31,297)","(33,991)","(31,496)","(26,690)"
Interest/Invest Income - Non-Operating,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(1,903)"
Investment Income - Non-Operating,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(1,903)"
"Interest Inc.(Exp.),Net-Non-Op., Total","(10,167)","(16,755)","(14,698)","(24,012)","(19,149)","(22,153)","(18,634)","(17,315)","(16,258)","(16,388)","(14,786)","(14,076)","(13,082)","(20,835)","(23,602)","(28,272)","(31,297)","(33,991)","(31,496)","(28,593)"
Net Income Before Taxes,"17,945 ","5,180 ","24,128 ","61,741 ","49,837 ","66,220 ","45,787 ","66,847 ","51,883 ","25,599 ","48,398 ","69,564 ","43,537 ","(23,146)","1,706 ","9,610 ","9,444 ","14,546 ","(4,703)","59,969 "
Provision for Income Taxes,473 ,"1,963 ",(49),763 ,9 ,(26),0 ,0 ,"(1,100)","(1,817)",182 ,"2,233 ","1,541 ","(1,813)",198 ,"1,880 ","(1,501)",292 ,689 ,(201)
Net Income After Taxes,"17,472 ","3,217 ","24,177 ","60,978 ","49,828 ","66,246 ","45,787 ","66,847 ","52,983 ","27,416 ","48,216 ","67,331 ","41,996 ","(21,332)","1,508 ","7,730 ","10,945 ","14,254 ","(5,392)","60,170 "
Minority Interest,543 ,(134),"(1,265)","(1,469)","(1,783)","(2,234)","(1,243)","(2,367)","(1,023)","(1,038)","(1,400)","(1,801)","(1,215)",(726),(532),(830),(688),"(1,393)",(701),"(1,542)"
Net Income Before Extra. Items,"18,015 ","3,083 ","22,912 ","59,509 ","48,045 ","64,012 ","44,544 ","64,480 ","51,960 ","26,379 ","46,816 ","65,530 ","40,781 ","(22,058)",976 ,"6,900 ","10,257 ","12,861 ","(6,093)","58,628 "
,,,,,,,,,,,,,,,,,,,,
Net Income,"18,015 ","3,083 ","22,912 ","59,509 ","48,045 ","64,012 ","44,544 ","64,480 ","51,960 ","26,379 ","46,816 ","65,530 ","40,781 ","(22,058)",976 ,"6,900 ","10,257 ","12,861 ","(6,093)","58,628 "
,,,,,,,,,,,,,,,,,,,,
Income Available to Com Excl ExtraOrd,"18,015 ","3,083 ","22,912 ","59,509 ","48,045 ","64,012 ","44,544 ","64,480 ","51,960 ","26,379 ","46,816 ","65,530 ","40,781 ","(22,058)",976 ,"6,900 ","10,257 ","12,861 ","(6,093)","58,628 "
Income Available to Com Incl ExtraOrd,"18,015 ","3,083 ","22,912 ","59,509 ","48,045 ","64,012 ","44,544 ","64,480 ","51,960 ","26,379 ","46,816 ","65,530 ","40,781 ","(22,058)",976 ,"6,900 ","10,257 ","12,861 ","(6,093)","58,628 "
Basic Weighted Average Shares,"1,640,000 ","1,640,000 ","1,640,000 ","2,087,231 ","1,959,565 ","2,242,693 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 "
Basic EPS Excluding Extraordinary Items,0.01 ,0.00 ,0.01 ,0.03 ,0.02 ,0.03 ,0.02 ,0.03 ,0.02 ,0.01 ,0.02 ,0.03 ,0.02 ,(0.01),0.00 ,0.00 ,0.00 ,0.01 ,0.00 ,0.03 
Basic EPS Including Extraordinary Items,0.01 ,0.00 ,0.01 ,0.03 ,0.02 ,0.03 ,0.02 ,0.03 ,0.02 ,0.01 ,0.02 ,0.03 ,0.02 ,(0.01),0.00 ,0.00 ,0.00 ,0.01 ,0.00 ,0.03 
Diluted Net Income,"18,015 ","3,083 ","22,912 ","59,509 ","48,045 ","64,012 ","44,544 ","64,480 ","51,960 ","26,379 ","46,816 ","65,530 ","40,781 ","(22,058)",976 ,"6,900 ","10,257 ","12,861 ","(6,093)","58,628 "
Diluted Weighted Average Shares,"1,640,000 ","1,640,000 ","1,640,000 ","2,087,231 ","1,959,565 ","2,242,693 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 ","2,240,000 "
Diluted EPS Excluding ExtraOrd Items,0.01 ,0.00 ,0.01 ,0.03 ,0.02 ,0.03 ,0.02 ,0.03 ,0.02 ,0.01 ,0.02 ,0.03 ,0.02 ,(0.01),0.00 ,0.00 ,0.00 ,0.01 ,0.00 ,0.03 
Diluted EPS Including ExtraOrd Items,0.01 ,0.00 ,0.01 ,0.03 ,0.02 ,0.03 ,0.02 ,0.03 ,0.02 ,0.01 ,0.02 ,0.03 ,0.02 ,(0.01),0.00 ,0.00 ,0.00 ,0.01 ,0.00 ,0.03 
Supplemental (THB Thousands),,,,,,,,,,,,,,,,,,,,
DPS - Common Stock Primary Issue,0.00 ,--,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
Gross Dividends - Common Stock,--,--,--,--,--,--,--,--,--,0 ,--,--,--,0 ,--,--,--,0 ,--,--
Total Special Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(33,186)"
Normalized Income Before Taxes,"17,945 ","5,180 ","24,128 ","61,741 ","49,837 ","66,220 ","45,787 ","66,847 ","51,883 ","25,599 ","48,398 ","69,564 ","43,537 ","(23,146)","1,706 ","9,610 ","9,444 ","14,546 ","(4,703)","26,783 "
Effect of Special Items on Income Taxes,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(11,615)"
Inc Tax Ex Impact of Sp Items,473 ,"1,963 ",(49),763 ,9 ,(26),0 ,0 ,"(1,100)","(1,817)",182 ,"2,233 ","1,541 ","(1,813)",198 ,"1,880 ","(1,501)",292 ,689 ,"(11,816)"
Normalized Income After Taxes,"17,472 ","3,217 ","24,177 ","60,978 ","49,828 ","66,246 ","45,787 ","66,847 ","52,983 ","27,416 ","48,216 ","67,331 ","41,996 ","(21,332)","1,508 ","7,730 ","10,945 ","14,254 ","(5,392)","38,599 "
Normalized Inc. Avail to Com.,"18,015 ","3,083 ","22,912 ","59,509 ","48,045 ","64,012 ","44,544 ","64,480 ","51,960 ","26,379 ","46,816 ","65,530 ","40,781 ","(22,058)",976 ,"6,900 ","10,257 ","12,861 ","(6,093)","37,057 "
Basic Normalized EPS,0.01 ,0.00 ,0.01 ,0.03 ,0.02 ,0.03 ,0.02 ,0.03 ,0.02 ,0.01 ,0.02 ,0.03 ,0.02 ,(0.01),0.00 ,0.00 ,0.00 ,0.01 ,0.00 ,0.02 
Diluted Normalized EPS,0.01 ,0.00 ,0.01 ,0.03 ,0.02 ,0.03 ,0.02 ,0.03 ,0.02 ,0.01 ,0.02 ,0.03 ,0.02 ,(0.01),0.00 ,0.00 ,0.00 ,0.01 ,0.00 ,0.02 
"Depreciation, Supplemental",--,"73,433 ",--,--,"27,516 ","27,525 ","27,155 ","27,531 ","28,067 ","28,227 ","28,904 ","30,045 ","28,394 ","29,146 ","28,326 ","28,801 ","29,257 ","29,298 ","28,926 ","28,593 "
"Depreciation of Right-of-Use Assets,Sup.",--,--,--,--,"1,524 ","1,509 ","1,479 ","1,495 ","1,512 ","1,511 ","1,479 ",--,--,--,--,--,--,--,--,--
"Interest Expense, Supplemental","10,167 ","16,755 ","14,698 ","24,012 ","19,149 ","22,153 ","18,634 ","17,315 ","16,258 ","16,388 ","14,786 ","14,076 ","13,082 ","20,835 ","23,602 ","28,272 ","31,297 ","33,991 ","31,496 ","26,690 "
Labor & Related Expense Suppl.,"3,838 ","7,127 ","5,276 ","5,353 ","5,260 ","5,317 ","5,499 ","5,582 ","5,439 ","5,769 ","6,019 ","6,005 ","6,135 ","5,325 ","6,806 ","7,501 ","7,603 ","7,673 ","10,502 ","6,446 "
"Equity in Affiliates, Supplemental",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(1,903)"
"Minority Interest, Supplemental",543 ,(134),"(1,265)","(1,469)","(1,783)","(2,234)","(1,243)","(2,367)","(1,023)","(1,038)","(1,400)","(1,801)","(1,215)",(726),(532),(830),(688),"(1,393)",(701),"(1,542)"
Normalized EBIT,"28,112 ","21,934 ","38,826 ","85,753 ","68,986 ","88,372 ","64,421 ","84,162 ","68,141 ","41,987 ","63,184 ","83,640 ","56,619 ","(2,311)","25,308 ","37,882 ","40,741 ","48,537 ","26,793 ","55,376 "
Normalized EBITDA,--,"95,368 ",--,--,"96,502 ","115,897 ","91,576 ","111,693 ","96,208 ","70,214 ","92,088 ","113,685 ","85,013 ","26,835 ","53,634 ","66,683 ","69,998 ","77,835 ","55,719 ","83,969 "
Dividends and Capital Changes,,,,,,,,,,,,,,,,,,,,
Earth Tech Environment Ord Shs,,,,,,,,,,,,,,,,,,,,
Cash Dividend,--,--,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--,--,THB 0.00 F,--,--
,,,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,
,--,--,--,--,--,THB 0.00 F,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,(31-Dec) Pd.End ,,,,,,,,,,,,,,
