Teera-Mongkol Industry PCL | Ratios - Key Metrics                                25-Sep-2024 17:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios - Key Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interim Standardised in Millions of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010 ,,,,2011 ,,,,2012 ,,,,2013 ,,,,2014 ,,,,2015 ,,,,2016 ,,,,2017 ,,,,2018 ,,,,2019 ,,,,2020 ,,,,2021 ,,,,2022 ,,,,2023 ,,,,2024 ,
Asset Turnover,0.16 ,-,-,-,-,0.33 ,0.30 ,0.36 ,0.37 ,0.40 ,0.32 ,0.30 ,0.32 ,0.29 ,0.27 ,0.27 ,0.29 ,0.27 ,0.26 ,0.35 ,0.36 ,0.34 ,0.30 ,0.28 ,0.35 ,0.30 ,0.27 ,0.22 ,0.33 ,0.27 ,0.26 ,0.27 ,0.31 ,0.29 ,0.25 ,0.27 ,0.26 ,0.25 ,0.21 ,0.22 ,0.25 ,0.22 ,0.27 ,0.27 ,0.26 ,0.24 ,0.23 ,0.21 ,0.22 ,0.22 ,0.19 ,0.19 ,0.19 ,0.21 ,0.19 ,0.18 ,0.19 ,0.19 ,0.19 
x Pretax Margin,10.4% ,15.0%,5.3%,8.4%,9.8%,9.7%,4.1%,4.3%,5.1%,12.3%,8.4%,5.3%,3.2%,7.3%,3.7%,0.9%,(0.6%),(4.2%),(6.1%),3.1%,2.7%,2.4%,(5.4%),(3.8%),6.1%,2.2%,(1.8%),(6.3%),7.5%,1.0%,(8.6%),(12.6%),(6.7%),(7.7%),(12.0%),(5.7%),2.0%,0.7%,(8.4%),(5.6%),1.0%,(4.1%),3.1%,5.0%,4.9%,1.2%,0.2%,(2.7%),(0.9%),4.8%,5.8%,7.4%,1.5%,11.1%,9.3%,0.0%,(3.0%),1.3%,0.0%
Pretax ROA,1.4% ,-,-,-,-,3.2%,1.2%,1.6%,1.9%,4.9%,2.7%,1.6%,1.0%,2.1%,1.0%,0.2%,(0.2%),(1.1%),(1.6%),1.1%,1.0%,0.8%,(1.6%),(1.0%),2.1%,0.6%,(0.5%),(1.4%),2.5%,0.3%,(2.2%),(3.4%),(2.1%),(2.3%),(3.1%),(1.5%),0.5%,0.2%,(1.8%),(1.2%),0.3%,(0.9%),0.8%,1.4%,1.3%,0.3%,0.0%,(0.6%),(0.2%),1.0%,1.1%,1.4%,0.3%,2.3%,1.8%,0.0%,(0.5%),0.3%,0.0%
x Leverage (Assets/Equity),2.61 ,-,-,-,1.50 ,1.55 ,1.77 ,1.80 ,1.77 ,1.78 ,1.81 ,1.88 ,1.91 ,1.86 ,2.01 ,2.03 ,1.93 ,1.86 ,2.07 ,2.14 ,2.08 ,2.05 ,2.09 ,1.89 ,1.71 ,1.54 ,2.02 ,2.03 ,1.52 ,1.61 ,1.70 ,1.55 ,1.60 ,1.67 ,1.78 ,2.15 ,2.22 ,2.26 ,2.31 ,2.35 ,2.36 ,2.31 ,2.39 ,2.46 ,2.36 ,2.33 ,2.72 ,3.14 ,3.20 ,3.37 ,3.41 ,3.46 ,3.37 ,3.23 ,3.20 ,3.05 ,3.13 ,2.99 ,3.21 
Pretax ROE,4.2% ,-,-,-,-,5.0%,2.0%,2.8%,3.3%,8.7%,4.8%,3.0%,2.0%,4.0%,2.0%,0.5%,(0.4%),(2.1%),(3.1%),2.3%,2.0%,1.7%,(3.4%),(2.1%),3.9%,1.1%,(0.8%),(2.9%),4.4%,0.4%,(3.7%),(5.5%),(3.3%),(3.7%),(5.3%),(3.0%),1.2%,0.4%,(4.0%),(2.8%),0.6%,(2.1%),1.9%,3.3%,3.0%,0.7%,0.1%,(1.7%),(0.6%),3.4%,3.8%,4.9%,1.0%,7.7%,5.7%,0.0%,(1.7%),0.8%,0.0%
x Tax Complement,0.75 ,0.69 ,1.00 ,0.70 ,0.68 ,0.89 ,0.90 ,0.90 ,1.01 ,0.96 ,0.99 ,0.98 ,1.02 ,0.95 ,1.00 ,1.07 ,-,-,-,1.04 ,1.04 ,0.77 ,-,-,0.92 ,1.11 ,-,-,0.99 ,1.53 ,-,-,-,-,-,-,1.22 ,0.83 ,-,-,1.53 ,-,1.49 ,1.04 ,1.12 ,0.91 ,4.45 ,-,-,1.21 ,0.90 ,0.86 ,2.56 ,0.84 ,0.86 ,-,-,1.12 ,-
ROE,2.7% ,-,-,-,-,4.4%,1.8%,2.5%,3.4%,8.4%,4.7%,2.9%,2.0%,3.8%,1.9%,0.5%,(0.3%),(2.1%),(3.0%),2.4%,2.1%,1.3%,(2.9%),(2.1%),3.6%,1.2%,(0.8%),(2.7%),4.3%,0.7%,(3.4%),(5.4%),(3.3%),(3.3%),(5.3%),(1.9%),1.4%,0.3%,(3.4%),(2.4%),0.9%,(2.1%),2.9%,3.4%,3.4%,0.6%,0.5%,(1.1%),0.3%,4.1%,3.4%,4.3%,2.5%,6.4%,4.9%,0.6%,(0.5%),0.9%,0.4%
x Earnings Retention,1.00 ,1.00 ,1.00 ,1.00 ,(1.40),1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,(2.88),1.00 ,1.00 ,1.00 ,-,-,-,1.00 ,0.50 ,1.00 ,-,-,(0.19),1.00 ,-,-,0.60 ,1.00 ,-,-,-,-,-,-,1.00 ,1.00 ,-,-,1.00 ,-,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,-,1.00 ,1.00 ,1.00 ,1.00 ,(0.81),1.00 ,0.15 ,1.00 ,-,1.00 ,1.00 
Reinvestment Rate,1.7% ,-,-,-,-,4.4%,1.8%,2.5%,3.4%,8.4%,4.7%,2.9%,(5.8%),3.8%,1.9%,0.5%,(3.3%),(2.1%),(3.0%),2.4%,1.0%,1.3%,(2.9%),(2.1%),(0.7%),1.2%,(0.8%),(2.7%),2.6%,0.7%,(3.4%),(5.4%),(3.3%),(3.3%),(5.3%),(1.9%),1.4%,0.3%,(3.4%),(2.4%),0.9%,(2.1%),2.9%,3.4%,3.4%,0.6%,0.5%,(1.1%),0.3%,4.1%,3.4%,4.3%,(2.0%),6.4%,0.7%,0.6%,(8.7%),0.9%,0.4%
Liquidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick Ratio,0.98 ,-,-,-,1.16 ,0.94 ,0.66 ,0.75 ,0.79 ,0.83 ,0.76 ,0.72 ,0.74 ,0.67 ,0.58 ,0.61 ,0.73 ,0.67 ,0.52 ,0.61 ,0.68 ,0.77 ,0.73 ,0.89 ,1.08 ,1.13 ,1.06 ,1.03 ,1.27 ,0.97 ,0.99 ,1.05 ,1.06 ,0.89 ,0.79 ,0.56 ,0.60 ,0.58 ,0.52 ,0.59 ,0.64 ,0.60 ,0.60 ,0.61 ,0.64 ,0.62 ,0.89 ,0.63 ,0.82 ,0.70 ,0.47 ,0.47 ,0.37 ,0.39 ,0.49 ,0.62 ,0.64 ,0.60 ,0.40 
Current Ratio,1.45 ,-,-,-,2.22 ,2.08 ,1.66 ,1.64 ,1.69 ,1.69 ,1.71 ,1.70 ,1.68 ,1.74 ,1.57 ,1.55 ,1.61 ,1.66 ,1.50 ,1.48 ,1.55 ,1.58 ,1.55 ,1.76 ,1.98 ,2.33 ,1.66 ,1.64 ,2.37 ,2.05 ,1.96 ,2.23 ,2.06 ,1.92 ,1.73 ,1.11 ,1.11 ,1.01 ,1.00 ,1.14 ,1.08 ,1.06 ,1.08 ,1.04 ,1.04 ,1.00 ,1.37 ,1.01 ,1.34 ,1.15 ,0.79 ,0.77 ,0.60 ,0.62 ,0.77 ,0.95 ,0.91 ,0.91 ,0.66 
Times Interest Earned,22.3 ,40.4 ,11.9 ,45.1 ,61.3 ,55.1 ,6.3 ,7.5 ,8.6 ,20.9 ,15.2 ,7.5 ,5.5 ,10.2 ,4.3 ,1.5 ,0.5 ,(2.5),(3.5),3.6 ,3.2 ,3.2 ,(3.9),(2.0),9.4 ,3.8 ,(0.7),(2.2),7.7 ,2.8 ,(8.3),(11.0),(7.5),(9.6),(7.8),(2.4),2.0 ,1.3 ,(2.2),(1.0),1.4 ,(0.6),2.7 ,3.9 ,3.7 ,1.6 ,1.1 ,(0.1),0.7 ,2.9 ,3.3 ,4.1 ,1.6 ,3.5 ,3.0 ,1.0 ,0.4 ,1.3 ,1.0 
Cash Cycle (Days),123.7 ,-,-,-,-,168.8 ,191.1 ,150.5 ,157.4 ,147.6 ,186.8 ,202.0 ,195.8 ,226.9 ,253.0 ,248.1 ,221.2 ,229.8 ,248.4 ,191.7 ,195.3 ,194.6 ,211.7 ,234.1 ,183.3 ,222.2 ,217.6 ,233.2 ,182.8 ,239.4 ,241.1 ,247.2 ,202.5 ,213.3 ,255.3 ,234.4 ,197.2 ,204.2 ,225.0 ,219.6 ,188.2 ,233.1 ,204.8 ,204.1 ,204.1 ,211.7 ,206.4 ,213.0 ,193.8 ,195.1 ,221.3 ,213.5 ,209.9 ,188.3 ,207.0 ,214.0 ,182.2 ,178.7 ,200.2 
Leverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assets/Equity,2.61 ,-,-,-,1.50 ,1.55 ,1.77 ,1.80 ,1.77 ,1.78 ,1.81 ,1.88 ,1.91 ,1.86 ,2.01 ,2.03 ,1.93 ,1.86 ,2.07 ,2.14 ,2.08 ,2.05 ,2.09 ,1.89 ,1.71 ,1.54 ,2.02 ,2.03 ,1.52 ,1.61 ,1.70 ,1.55 ,1.60 ,1.67 ,1.78 ,2.15 ,2.22 ,2.26 ,2.31 ,2.35 ,2.36 ,2.31 ,2.39 ,2.46 ,2.36 ,2.33 ,2.72 ,3.14 ,3.20 ,3.37 ,3.41 ,3.46 ,3.37 ,3.23 ,3.20 ,3.05 ,3.13 ,2.99 ,3.21 
Debt/Equity,0.12 ,-,-,-,0.22 ,0.24 ,0.45 ,0.44 ,0.48 ,0.40 ,0.45 ,0.53 ,0.57 ,0.57 ,0.75 ,0.73 ,0.63 ,0.57 ,0.75 ,0.80 ,0.72 ,0.63 ,0.68 ,0.56 ,0.35 ,0.19 ,0.69 ,0.71 ,0.21 ,0.24 ,0.48 ,0.29 ,0.30 ,0.33 ,0.52 ,0.87 ,0.87 ,0.88 ,0.89 ,0.94 ,0.94 ,0.88 ,0.85 ,0.90 ,0.88 ,0.83 ,1.07 ,1.24 ,1.45 ,1.62 ,1.71 ,1.86 ,1.72 ,1.61 ,1.61 ,1.54 ,1.59 ,1.38 ,1.61 
% LT Debt to Total Capital,6.8% ,-,-,-,1.1%,1.1%,0.9%,0.9%,0.7%,0.8%,2.5%,4.4%,5.4%,5.7%,5.8%,5.5%,5.5%,5.5%,5.0%,4.5%,4.0%,3.9%,3.7%,3.1%,3.2%,3.4%,2.3%,2.1%,2.6%,2.2%,3.5%,3.7%,3.1%,2.5%,1.8%,1.0%,0.5%,0.1%,0.0%,9.6%,8.7%,8.8%,7.7%,6.0%,5.6%,4.7%,25.8%,22.3%,38.0%,34.5%,17.2%,15.7%,1.5%,1.5%,14.9%,27.2%,26.1%,27.2%,11.0%
(Total Debt - Cash) / EBITDA,(0.93) ,-,-,-,-,2.68 ,7.39 ,7.90 ,8.12 ,4.03 ,6.41 ,10.06 ,14.44 ,9.76 ,16.44 ,23.34 ,31.93 ,418.68 ,-,15.39 ,16.22 ,16.34 ,-,-,6.34 ,9.27 ,20.58 ,-,3.53 ,11.69 ,-,-,-,-,-,-,18.10 ,22.85 ,-,96.96 ,20.14 ,45.26 ,14.02 ,11.48 ,12.20 ,18.87 ,21.98 ,41.43 ,28.57 ,17.63 ,18.66 ,17.55 ,29.82 ,11.07 ,11.91 ,21.62 ,25.53 ,17.99 ,20.84 
Operating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/R Turnover,0.8 ,-,-,-,-,1.1 ,1.1 ,1.3 ,1.2 ,1.2 ,1.0 ,1.0 ,1.1 ,1.0 ,1.1 ,1.1 ,1.1 ,1.0 ,1.1 ,1.4 ,1.2 ,1.0 ,0.9 ,0.9 ,1.0 ,0.8 ,0.9 ,0.8 ,1.0 ,0.8 ,0.8 ,0.9 ,1.0 ,0.9 ,0.8 ,0.9 ,0.9 ,0.8 ,0.8 ,0.9 ,1.0 ,0.9 ,1.0 ,1.0 ,1.0 ,0.9 ,0.9 ,0.8 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,1.0 ,0.9 ,0.8 ,0.9 ,1.0 ,0.9 
Avg. A/R Days,108.5 ,-,-,-,-,82.8 ,81.8 ,68.2 ,76.6 ,74.3 ,93.7 ,91.0 ,84.5 ,88.5 ,86.1 ,85.0 ,84.2 ,89.0 ,82.6 ,64.8 ,74.8 ,87.4 ,98.9 ,101.0 ,90.2 ,114.4 ,103.0 ,108.9 ,90.0 ,121.3 ,110.3 ,106.2 ,94.0 ,97.6 ,111.6 ,98.1 ,99.9 ,109.2 ,117.7 ,104.5 ,94.0 ,104.0 ,87.7 ,90.0 ,95.1 ,103.0 ,101.5 ,109.0 ,98.5 ,95.8 ,106.2 ,99.8 ,103.9 ,91.3 ,100.7 ,109.0 ,96.4 ,95.4 ,103.4 
Inv Turnover,0.9 ,-,-,-,-,0.7 ,0.6 ,0.7 ,0.7 ,0.8 ,0.6 ,0.6 ,0.6 ,0.5 ,0.4 ,0.4 ,0.5 ,0.5 ,0.4 ,0.6 ,0.6 ,0.6 ,0.6 ,0.5 ,0.7 ,0.6 ,0.6 ,0.5 ,0.7 ,0.5 ,0.5 ,0.5 ,0.6 ,0.5 ,0.5 ,0.6 ,0.7 ,0.7 ,0.6 ,0.6 ,0.7 ,0.7 ,0.8 ,0.8 ,0.8 ,0.8 ,0.9 ,0.9 ,1.0 ,0.9 ,0.8 ,0.8 ,0.9 ,0.9 ,0.9 ,0.9 ,1.1 ,1.1 ,0.9 
Avg. Inventory Days,107.0 ,-,-,-,-,136.8 ,166.4 ,130.2 ,124.8 ,116.7 ,152.0 ,164.8 ,159.9 ,185.5 ,208.8 ,203.3 ,177.1 ,182.1 ,209.5 ,160.7 ,157.0 ,151.6 ,164.5 ,181.8 ,132.6 ,164.7 ,163.3 ,171.2 ,136.2 ,182.1 ,182.2 ,179.4 ,146.3 ,168.4 ,191.9 ,164.9 ,125.7 ,136.5 ,156.5 ,161.6 ,131.1 ,129.1 ,117.0 ,114.1 ,109.0 ,108.7 ,104.8 ,104.0 ,95.3 ,99.3 ,115.1 ,113.7 ,105.9 ,97.0 ,106.3 ,105.0 ,85.8 ,83.3 ,96.8 
Avg. A/P Days,95.5 ,-,-,-,-,50.8 ,57.2 ,47.9 ,44.1 ,43.4 ,58.8 ,53.8 ,48.7 ,47.1 ,41.9 ,40.3 ,40.1 ,41.3 ,43.7 ,33.8 ,36.5 ,44.4 ,51.7 ,48.6 ,39.5 ,56.8 ,48.7 ,46.9 ,43.4 ,64.0 ,51.3 ,38.4 ,37.8 ,52.7 ,48.1 ,28.6 ,28.3 ,41.5 ,49.1 ,46.5 ,36.9 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fixed Asset Turnover,1.21 ,-,-,-,-,1.34 ,1.13 ,1.37 ,1.41 ,1.61 ,1.26 ,1.20 ,1.26 ,1.11 ,1.01 ,0.98 ,1.03 ,0.92 ,0.90 ,1.34 ,1.48 ,1.47 ,1.35 ,1.27 ,1.66 ,1.35 ,1.33 ,1.25 ,1.65 ,1.16 ,1.07 ,1.06 ,1.17 ,1.11 ,1.00 ,0.97 ,0.82 ,0.76 ,0.66 ,0.68 ,0.78 ,0.66 ,0.81 ,0.82 ,0.73 ,0.64 ,0.65 ,0.53 ,0.47 ,0.45 ,0.38 ,0.38 ,0.36 ,0.39 ,0.36 ,0.33 ,0.34 ,0.36 ,0.35 
WC / Sales Growth,(27.8%) ,-,-,-,-,-,(6.0%),(32.9%),1.5%,(4.7%),21.3%,4.3%,(7.0%),10.4%,(0.3%),(8.4%),(3.3%),10.4%,(1.2%),(31.8%),2.8%,9.9%,9.6%,19.5%,(8.8%),33.7%,3.1%,3.5%,(29.1%),36.8%,(6.4%),(1.6%),(20.0%),0.8%,6.5%,(64.5%),(41.2%),(9.2%),(11.5%),13.6%,5.9%,(5.4%),(2.3%),(2.5%),(3.5%),(3.8%),29.0%,0.1%,(7.0%),10.7%,(50.0%),(43.4%),(42.1%),(18.9%),23.9%,55.2%,24.5%,(4.2%),(41.6%)
Bad Debt Allowance (% of A/R),4.7% ,-,-,-,0.4%,0.6%,0.8%,0.8%,0.9%,0.9%,0.9%,0.9%,0.9%,1.5%,1.1%,1.0%,1.1%,1.3%,1.3%,1.1%,0.7%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ROIC,- ,-,-,-,-,4.3%,1.8%,2.5%,3.3%,8.2%,4.6%,2.8%,1.8%,3.5%,1.8%,0.5%,(0.3%),(1.9%),(2.8%),2.2%,1.9%,1.2%,(2.7%),(2.0%),3.4%,1.1%,(0.8%),(2.6%),4.2%,0.7%,(3.2%),(5.1%),(3.1%),(3.1%),(5.0%),(1.9%),1.4%,0.3%,(3.2%),(2.1%),0.7%,(1.7%),2.3%,2.8%,2.8%,0.5%,0.1%,(1.0%),(0.2%),1.7%,1.6%,2.3%,1.2%,5.3%,3.1%,(0.4%),(1.3%),0.0%,(0.3%)
