Lighting and Equipment PCL | Income Statement                                25-Sep-2024 17:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
"Selling/General/Admin. Expenses, Total","33,259 ","37,955 ","41,806 ","55,256 ","45,866 ","50,066 ","59,720 ","79,201 ","59,788 ","70,410 ","68,007 ","78,658 ","69,137 ","74,846 ","102,416 ","87,828 ","69,172 ","70,866 ","79,702 ","99,051 ","92,050 ","82,379 ","84,430 ","92,252 ","82,801 ","77,382 ","87,584 ","91,333 ","86,298 ","83,661 ","94,759 ","101,697 ","93,961 ","95,699 ","108,899 ","105,972 ","107,085 ","100,667 ","117,824 ","123,653 ","114,627 ","116,064 ","139,213 ","151,247 ","135,750 ","137,974 ","158,685 ","159,372 ","146,256 ","158,511 ","164,400 ","190,910 ","156,353 ","160,530 ","182,679 ","202,812 ","159,319 ","163,481 ","180,730 ","186,307 ","176,571 ","181,438 ","200,216 ","217,164 ","186,180 ","199,497 ","194,091 ","226,907 ","180,692 ","162,945 ","179,471 ","180,080 ","161,646 ","161,284 ","170,031 ","182,343 ","205,821 ","187,412 ","198,435 ","198,952 ","200,986 ","194,692 ","193,929 ","214,366 ","202,064 ","194,156 "
Selling/General/Administrative Expense,"33,259 ","37,955 ","41,806 ","55,256 ","45,866 ","50,066 ","59,720 ","79,201 ","59,788 ","70,410 ","68,007 ","78,658 ","69,137 ","74,846 ","102,416 ","87,828 ","68,772 ","70,466 ","79,502 ","99,051 ","91,550 ","81,959 ","83,981 ","61,707 ","75,535 ","71,017 ","80,785 ","75,053 ","86,298 ","83,661 ","94,759 ","101,697 ","93,961 ","95,699 ","108,899 ","105,972 ","107,085 ","100,667 ","117,824 ","123,653 ","114,627 ","116,064 ","139,213 ","151,247 ","135,750 ","137,974 ","158,685 ","159,372 ","146,256 ","158,511 ","164,400 ","190,910 ","156,353 ","160,530 ","182,679 ","202,812 ","159,319 ","163,481 ","180,730 ","186,307 ","176,571 ","181,438 ","200,216 ","217,164 ","186,180 ","199,497 ","194,091 ","226,907 ","180,692 ","162,945 ","179,471 ","180,080 ","161,646 ","161,284 ","170,031 ","182,343 ","205,821 ","187,412 ","198,435 ","198,952 ","200,986 ","194,692 ","193,929 ","214,366 ","202,064 ","194,156 "
Labor & Related Expense,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,400 ,400 ,200 ,--,500 ,420 ,449 ,"30,545 ","7,266 ","6,365 ","6,799 ","16,280 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Interest/Investment Income - Operating,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,--,0 ,0 ,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Investment Income - Operating,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,--,0 ,0 ,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Interest Exp.(Inc.),Net-Operating, Total",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,--,0 ,0 ,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Unusual Expense (Income),--,--,--,--,0 ,--,--,--,"(6,702)",(634),48 ,"7,288 ",0 ,0 ,5 ,(5),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(1,816)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Impairment-Assets Held for Use,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(1,816)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Loss(Gain) on Sale of Assets - Operating,--,--,--,--,0 ,--,--,--,"(6,702)",(634),48 ,"7,288 ",0 ,0 ,5 ,(5),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Other Operating Expenses, Total","(2,606)",(966),"(1,220)","(1,692)","(1,644)","(2,454)","(1,536)","(4,714)","(3,510)","(3,176)","(1,829)","(8,713)","(1,786)","(1,841)","(2,671)","(4,360)","(2,283)","(1,614)","(2,133)","(4,248)","(4,807)","(2,504)","(2,627)","(2,575)","(3,048)","(1,346)","(1,877)","(3,557)","(1,748)","(1,818)",(884),(725),"(1,754)","(2,140)","(3,803)","1,232 ","(3,568)","(1,938)",--,--,"(2,954)","(4,412)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Other, Net","(2,606)",(966),"(1,220)","(1,692)","(1,644)","(2,454)","(1,536)","(4,714)","(3,510)","(3,176)","(1,829)","(8,713)","(1,786)","(1,841)","(2,671)","(4,360)","(2,283)","(1,614)","(2,133)","(4,248)","(4,807)","(2,504)","(2,627)","(2,575)","(3,048)","(1,346)","(1,877)","(3,557)","(1,748)","(1,818)",(884),(725),"(1,754)","(2,140)","(3,803)","1,232 ","(3,568)","(1,938)",--,--,"(2,954)","(4,412)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Operating Expense,"138,282 ","172,172 ","195,152 ","231,154 ","189,289 ","213,218 ","287,648 ","360,166 ","261,296 ","313,781 ","317,990 ","396,709 ","268,744 ","305,082 ","405,267 ","424,757 ","302,118 ","300,435 ","341,926 ","389,298 ","366,397 ","365,960 ","388,024 ","405,512 ","350,176 ","303,900 ","364,282 ","406,985 ","360,154 ","328,687 ","408,331 ","441,126 ","410,972 ","390,596 ","538,630 ","550,812 ","489,563 ","461,637 ","550,154 ","620,471 ","472,555 ","477,577 ","593,355 ","709,019 ","553,829 ","564,387 ","693,650 ","592,594 ","550,862 ","618,290 ","644,097 ","736,099 ","662,984 ","610,173 ","692,894 ","841,497 ","536,608 ","555,044 ","634,153 ","715,858 ","593,208 ","643,907 ","672,212 ","828,397 ","568,228 ","556,264 ","677,157 ","779,313 ","547,389 ","481,429 ","681,792 ","625,894 ","557,823 ","621,175 ","656,593 ","794,636 ","811,862 ","812,666 ","769,542 ","794,389 ","653,506 ","652,549 ","669,090 ","746,533 ","559,643 ","582,898 "
Operating Income,"5,348 ","10,884 ","15,642 ","16,818 ","11,503 ","9,440 ","26,502 ","32,782 ","20,451 ","19,244 ","25,259 ","34,152 ","16,837 ","24,696 ","58,765 ","44,514 ","17,548 ","19,624 ","19,663 ","21,486 ","21,047 ","21,435 ","20,239 ","22,372 ","12,589 ","(2,839)","10,333 ","19,504 ","14,602 ","7,327 ","30,726 ","31,868 ","26,120 ","24,892 ","53,766 ","21,431 ","33,429 ","12,175 ","40,555 ","51,732 ","29,978 ","33,868 ","74,841 ","66,388 ","37,948 ","31,958 ","93,187 ","42,453 ","23,093 ","32,978 ","32,872 ","30,408 ","12,362 ","26,410 ","46,701 ","43,385 ","12,213 ","20,428 ","40,969 ","37,505 ","33,302 ","40,461 ","54,689 ","57,136 ","29,690 ","(8,280)","38,422 ","68,067 ","20,762 ","3,542 ","30,396 ","21,089 ","(2,606)","7,749 ","7,674 ","34,786 ","(7,685)","13,055 ","16,910 ","9,446 ","4,852 ","(16,596)","13,573 ","23,395 ","(5,253)","(5,032)"
"Interest Expense, Net Non-Operating","(3,216)","(3,349)","(3,477)","(2,421)","(2,847)","(2,992)","(3,373)","(2,901)","(3,035)","(3,203)","(4,307)","(5,310)","(4,961)","(6,010)","(7,180)","(7,260)","(7,354)","(6,683)","(5,669)","(6,202)","(5,637)","(5,605)","(6,180)","(6,875)","(6,377)","(5,497)","(4,964)","(4,378)","(4,044)","(4,263)","(4,512)","(4,485)","(4,775)","(5,905)","(6,784)","(7,646)","(7,743)","(7,622)","(7,375)","(7,659)","(7,202)","(7,004)","(7,408)","(7,387)","(8,154)","(9,094)","(9,752)","(10,853)","(11,035)","(14,670)","(16,363)","(16,292)","(15,404)","(15,131)","(15,012)","(13,775)","(11,212)","(11,788)","(11,184)","(11,683)","(11,612)","(11,110)","(11,436)","(11,549)","(10,936)","(10,453)","(10,623)","(10,594)","(10,039)","(10,593)","(9,330)","(8,932)","(7,776)","(8,681)","(8,827)","(9,537)","(9,330)","(9,966)","(10,154)","(11,469)","(12,857)","(13,376)","(15,308)","(15,554)","(16,081)","(16,306)"
Interest Expense - Non-Operating,"(3,216)","(3,349)","(3,477)","(2,421)","(2,847)","(2,992)","(3,373)","(2,901)","(3,035)","(3,203)","(4,307)","(5,310)","(4,961)","(6,010)","(7,180)","(7,260)","(7,354)","(6,683)","(5,669)","(6,202)","(5,637)","(5,605)","(6,180)","(6,875)","(6,377)","(5,497)","(4,964)","(4,378)","(4,044)","(4,263)","(4,512)","(4,485)","(4,775)","(5,905)","(6,784)","(7,646)","(7,743)","(7,622)","(7,375)","(7,659)","(7,202)","(7,004)","(7,408)","(7,387)","(8,154)","(9,094)","(9,752)","(10,853)","(11,035)","(14,670)","(16,363)","(16,292)","(15,404)","(15,131)","(15,012)","(13,775)","(11,212)","(11,788)","(11,184)","(11,683)","(11,612)","(11,110)","(11,436)","(11,549)","(10,936)","(10,453)","(10,623)","(10,594)","(10,039)","(10,593)","(9,330)","(8,932)","(7,776)","(8,681)","(8,827)","(9,537)","(9,330)","(9,966)","(10,154)","(11,469)","(12,857)","(13,376)","(15,308)","(15,554)","(16,081)","(16,306)"
Interest/Invest Income - Non-Operating,"(1,212)",(538),0 ,"1,690 ",338 ,"(1,445)","(1,451)",73 ,"1,485 ",(953),573 ,11 ,"1,726 ",385 ,685 ,"1,122 ",514 ,631 ,222 ,(363),"1,844 ","(1,877)",596 ,(346),30 ,636 ,263 ,(78),551 ,814 ,319 ,"1,082 ",(646),(515),972 ,935 ,661 ,87 ,443 ,(220),"2,252 ","(2,324)",(393),"(4,853)",533 ,740 ,307 ,"(1,924)","3,103 ","(2,812)","(2,692)","2,303 ","1,566 ",(285),372 ,984 ,"(1,167)",311 ,"1,081 ","1,176 ","2,588 ",(841),"(1,552)",627 ,(426),"(1,528)",624 ,"1,605 ",459 ,253 ,389 ,530 ,73 ,797 ,322 ,"3,223 ","6,533 ","(5,880)",(348),(855),"1,272 ","3,825 ","3,777 ","(6,563)","7,091 ","2,787 "
Investment Income - Non-Operating,"(1,212)",(538),0 ,"1,690 ",338 ,"(1,445)","(1,451)",73 ,"1,485 ",(953),573 ,11 ,"1,726 ",385 ,685 ,"1,122 ",514 ,631 ,222 ,(363),"1,844 ","(1,877)",596 ,(346),30 ,636 ,263 ,(78),551 ,814 ,319 ,"1,082 ",(646),(515),972 ,935 ,661 ,87 ,443 ,(220),"2,252 ","(2,324)",(393),"(4,853)",533 ,740 ,307 ,"(1,924)","3,103 ","(2,812)","(2,692)","2,303 ","1,566 ",(285),372 ,984 ,"(1,167)",311 ,"1,081 ","1,176 ","2,588 ",(841),"(1,552)",627 ,(426),"(1,528)",624 ,"1,605 ",459 ,253 ,389 ,530 ,73 ,797 ,322 ,"3,223 ","6,533 ","(5,880)",(348),(855),"1,272 ","3,825 ","3,777 ","(6,563)","7,091 ","2,787 "
"Interest Inc.(Exp.),Net-Non-Op., Total","(4,428)","(3,887)","(3,477)",(731),"(2,509)","(4,437)","(4,824)","(2,828)","(1,550)","(4,156)","(3,734)","(5,299)","(3,235)","(5,625)","(6,495)","(6,138)","(6,840)","(6,052)","(5,447)","(6,565)","(3,793)","(7,482)","(5,584)","(7,221)","(6,347)","(4,861)","(4,701)","(4,456)","(3,493)","(3,449)","(4,193)","(3,403)","(5,421)","(6,420)","(5,812)","(6,710)","(7,082)","(7,535)","(6,932)","(7,879)","(4,950)","(9,328)","(7,801)","(12,240)","(7,621)","(8,354)","(9,445)","(12,777)","(7,932)","(17,482)","(19,055)","(13,988)","(13,838)","(15,416)","(14,640)","(12,791)","(12,379)","(11,477)","(10,103)","(10,508)","(9,024)","(11,951)","(12,988)","(10,922)","(11,362)","(11,981)","(9,999)","(8,989)","(9,580)","(10,340)","(8,941)","(8,401)","(7,703)","(7,884)","(8,505)","(6,314)","(2,797)","(15,846)","(10,502)","(12,324)","(11,585)","(9,551)","(11,531)","(22,117)","(8,990)","(13,519)"
"Other, Net",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"5,506 ","2,530 ",--,--,"1,357 ","2,526 ","1,255 ","2,732 ","1,881 ","1,564 ","5,710 ","3,655 ","4,332 ","4,166 ","4,226 ","3,663 ","2,029 ","13,156 ","4,536 ","3,370 ","2,812 ","4,650 ","3,459 ","2,849 ","3,191 ","4,788 ","3,747 ","3,102 ","2,956 ","3,105 ","1,831 ","1,214 ","3,941 ","5,277 ","6,997 ","5,919 ","11,575 ","12,774 ","18,899 ","12,933 ","10,272 ","6,380 ","3,249 ","3,565 ","2,575 ","3,098 ","1,853 ","1,502 "
Other Non-Operating Income (Expense),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"5,506 ","2,530 ",--,--,"1,357 ","2,526 ","1,255 ","2,732 ","1,881 ","1,564 ","5,710 ","3,655 ","4,332 ","4,166 ","4,226 ","3,663 ","2,029 ","13,156 ","4,536 ","3,370 ","2,812 ","4,650 ","3,459 ","2,849 ","3,191 ","4,788 ","3,747 ","3,102 ","2,956 ","3,105 ","1,831 ","1,214 ","3,941 ","5,277 ","6,997 ","5,919 ","11,575 ","12,774 ","18,899 ","12,933 ","10,272 ","6,380 ","3,249 ","3,565 ","2,575 ","3,098 ","1,853 ","1,502 "
