Stark Corporation PCL                                12-Sep-2024 13:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios - Key Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interim Standardised in Millions of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004 ,,,,2005 ,,,,2006 ,,,,2007 ,,,,2008 ,,,,2009 ,,,,2010 ,,,,2011 ,,,,2012 ,,,,2013 ,,,,2014 ,,,,2015 ,,,,2016 ,,,,2017 ,,,,2018 ,,,,2019 ,,,,2020 ,,,,2021 ,,,,2022 ,,,
x Pretax Margin,- ,21.3%,20.0%,7.2%,24.2%,17.8%,15.9%,8.7%,(1.1%),4.7%,3.9%,(15.9%),(23.9%),(2.1%),2.6%,(0.1%),(19.9%),(32.9%),(17.6%),(29.7%),(14.6%),4.4%,4.3%,0.1%,7.1%,3.6%,4.4%,1.1%,1.5%,1.9%,0.5%,2.4%,0.2%,9.6%,8.9%,(2.7%),2.6%,7.1%,9.3%,2.2%,(3.3%),(7.0%),3.7%,2.1%,(4.8%),3.3%,(6.5%),(13.1%),(30.1%),(25.8%),(19.0%),(40.4%),(148.1%),(29.1%),(25.8%),18.6%,(35.7%),(3.6%),5.5%,5.3%,7.1%,7.5%,2.0%,0.3%,4.3%,11.3%,13.0%,10.2%,11.4%,12.2%,11.9%,12.3%,-,13.1%,13.1%,14.4%,(269.5%)
Pretax ROA,- ,-,-,-,-,4.7%,3.7%,1.8%,(0.2%),0.8%,0.7%,(2.9%),(3.1%),(0.4%),0.5%,0.0%,(3.6%),(3.8%),(2.9%),(5.5%),(3.0%),1.0%,0.9%,0.0%,1.9%,0.7%,0.9%,0.2%,0.4%,0.4%,0.1%,0.5%,0.0%,2.2%,2.2%,(0.6%),0.6%,1.4%,1.7%,0.4%,(0.5%),(1.1%),0.6%,0.3%,(0.8%),0.5%,(0.8%),(1.3%),(2.8%),(2.8%),(1.9%),(3.3%),(7.3%),(2.4%),(3.0%),2.6%,(3.7%),(0.4%),23.4%,18.1%,4.5%,2.9%,10.8%,0.1%,1.0%,2.0%,2.4%,1.9%,2.1%,2.0%,2.0%,3.4%,(22.4%),2.3%,2.2%,2.6%,(22.6%)
x Leverage (Assets/Equity),- ,-,-,-,1.81 ,1.42 ,1.40 ,1.49 ,1.56 ,1.58 ,1.60 ,1.62 ,1.60 ,1.62 ,1.61 ,1.62 ,1.64 ,1.69 ,1.72 ,1.84 ,1.90 ,1.88 ,1.86 ,1.85 ,1.83 ,1.81 ,1.83 ,1.81 ,1.85 ,1.96 ,1.99 ,2.02 ,1.93 ,2.00 ,2.03 ,2.04 ,1.98 ,2.02 ,2.08 ,2.10 ,2.20 ,2.32 ,2.24 ,2.25 ,2.32 ,2.32 ,2.27 ,2.35 ,2.43 ,2.57 ,2.66 ,2.88 ,2.89 ,3.06 ,3.31 ,3.15 ,3.45 ,3.58 ,3.97 ,4.88 ,13.99 ,-,-,4.61 ,5.58 ,8.75 ,8.40 ,7.65 ,7.56 ,7.23 ,6.97 ,6.63 ,-,5.83 ,5.97 ,5.46 ,-
Pretax ROE,- ,-,-,-,-,7.4%,5.2%,2.6%,(0.4%),1.2%,1.1%,(4.6%),(4.9%),(0.7%),0.9%,0.0%,(5.8%),(6.3%),(4.9%),(9.8%),(5.7%),1.8%,1.7%,0.0%,3.4%,1.3%,1.7%,0.4%,0.6%,0.8%,0.2%,1.0%,0.1%,4.2%,4.5%,(1.1%),1.1%,2.7%,3.5%,0.8%,(1.2%),(2.6%),1.4%,0.7%,(1.7%),1.1%,(1.8%),(3.1%),(6.6%),(7.1%),(4.9%),(9.0%),(21.1%),(7.2%),(9.5%),8.4%,(12.2%),(1.3%),88.0%,79.3%,57.0%,48.3%,-,0.6%,5.0%,14.5%,20.9%,15.3%,16.2%,14.6%,14.1%,23.0%,(525.7%),38.8%,13.1%,14.8%,(436.1%)
x Tax Complement,- ,0.66 ,0.68 ,0.37 ,0.69 ,0.61 ,0.72 ,0.54 ,-,0.56 ,0.63 ,-,-,-,0.51 ,-,-,-,-,-,-,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.79 ,0.80 ,-,0.80 ,0.79 ,0.86 ,0.51 ,-,-,0.79 ,0.77 ,-,0.78 ,-,-,-,-,-,-,-,-,-,0.87 ,-,-,0.67 ,0.57 ,0.39 ,0.60 ,0.14 ,(10.57),0.57 ,0.76 ,0.77 ,0.84 ,0.78 ,0.77 ,0.84 ,0.76 ,-,0.70 ,0.72 ,0.80 ,-
ROE,- ,-,-,-,-,4.5%,3.7%,1.4%,(0.5%),0.7%,0.7%,(4.8%),(3.8%),(1.3%),0.4%,0.0%,(4.8%),(6.3%),(4.9%),(9.8%),(5.7%),1.8%,1.7%,0.0%,3.4%,1.3%,1.7%,0.4%,0.6%,0.8%,0.2%,1.0%,0.1%,3.4%,3.5%,(1.0%),0.9%,2.1%,3.0%,0.4%,(1.8%),(2.1%),1.1%,0.5%,(1.3%),0.8%,(2.0%),(2.5%),(4.0%),(5.8%),(4.0%),(9.0%),(21.4%),(11.0%),(9.4%),7.4%,(11.5%),(1.3%),58.6%,45.4%,22.0%,28.9%,-,(5.0%),2.8%,11.0%,16.1%,12.8%,12.6%,11.3%,11.9%,17.4%,(538.5%),27.4%,9.4%,11.8%,(418.8%)
x Earnings Retention,- ,1.00 ,1.00 ,1.00 ,(0.51),1.00 ,1.00 ,1.00 ,-,1.00 ,1.00 ,-,-,-,1.00 ,1.00 ,-,-,-,-,-,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,(0.97),1.00 ,1.00 ,1.00 ,(18.46),1.00 ,1.00 ,-,0.57 ,1.00 ,1.00 ,1.00 ,-,-,1.00 ,1.00 ,-,1.00 ,-,-,-,-,-,-,-,-,-,1.00 ,-,-,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,-,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,-,1.00 ,1.00 ,1.00 ,-
Reinvestment Rate,- ,-,-,-,-,4.5%,3.7%,1.4%,(2.3%),0.7%,0.7%,(4.8%),(3.8%),(1.3%),0.4%,0.0%,(4.8%),(6.3%),(4.9%),(9.8%),(5.7%),1.8%,1.7%,0.0%,3.4%,1.3%,1.7%,0.4%,(0.6%),0.8%,0.2%,1.0%,(1.2%),3.4%,3.5%,(1.0%),0.5%,2.1%,3.0%,0.4%,(3.0%),(2.1%),1.1%,0.5%,(1.3%),0.8%,(2.0%),(2.5%),(4.0%),(5.8%),(4.0%),(9.0%),(21.4%),(11.0%),(9.4%),7.4%,(11.5%),(1.3%),58.6%,45.4%,22.0%,28.9%,-,(5.0%),2.8%,11.0%,16.1%,12.8%,12.6%,11.3%,11.9%,17.4%,(538.5%),27.4%,9.4%,11.8%,(418.8%)
Liquidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick Ratio,- ,-,-,-,1.11 ,2.43 ,2.46 ,1.97 ,1.84 ,1.66 ,1.58 ,1.56 ,1.54 ,1.54 ,1.55 ,1.97 ,1.72 ,1.44 ,1.21 ,0.94 ,0.90 ,0.92 ,0.84 ,0.78 ,0.86 ,0.74 ,0.68 ,0.62 ,0.65 ,0.59 ,0.59 ,0.54 ,0.58 ,0.60 ,0.67 ,0.63 ,0.64 ,0.60 ,0.55 ,0.52 ,0.50 ,0.51 ,0.55 ,0.55 ,0.56 ,0.59 ,0.64 ,0.63 ,0.58 ,0.58 ,0.56 ,0.50 ,0.45 ,0.39 ,0.39 ,0.38 ,0.53 ,0.49 ,0.48 ,0.42 ,0.52 ,0.24 ,1.03 ,0.66 ,0.62 ,0.42 ,0.37 ,0.37 ,0.39 ,0.47 ,0.50 ,0.70 ,0.35 ,0.65 ,0.66 ,0.66 ,0.46 
Current Ratio,- ,-,-,-,1.75 ,3.14 ,3.13 ,2.59 ,2.41 ,2.27 ,2.24 ,2.23 ,2.27 ,2.28 ,2.30 ,2.93 ,2.58 ,2.47 ,2.28 ,1.99 ,1.93 ,1.93 ,1.91 ,1.90 ,1.92 ,1.91 ,1.86 ,1.84 ,1.79 ,1.70 ,1.65 ,1.59 ,1.64 ,1.64 ,1.70 ,1.69 ,1.69 ,1.61 ,1.55 ,1.52 ,1.47 ,1.41 ,1.46 ,1.46 ,1.42 ,1.43 ,1.49 ,1.44 ,1.40 ,1.33 ,1.30 ,1.24 ,1.22 ,1.20 ,1.17 ,1.22 ,1.79 ,1.73 ,1.77 ,1.62 ,0.83 ,1.05 ,1.03 ,1.22 ,1.07 ,0.71 ,0.76 ,0.79 ,0.83 ,1.04 ,1.06 ,1.18 ,0.79 ,1.16 ,1.18 ,1.14 ,0.78 
Times Interest Earned,- ,12.2 ,13.7 ,7.2 ,18.3 ,18.2 ,22.3 ,10.3 ,(0.3),3.5 ,13.1 ,(4.3),(20.7),2.3 ,3.5 ,1.0 ,(6.7),(7.3),(5.2),(12.1),(5.8),3.4 ,3.5 ,1.1 ,6.5 ,3.3 ,4.2 ,1.7 ,2.1 ,2.2 ,1.2 ,2.2 ,1.1 ,5.5 ,5.9 ,(0.3),2.4 ,4.4 ,4.8 ,1.8 ,(0.1),(1.3),2.2 ,1.6 ,(0.3),1.8 ,(0.3),(1.0),(3.1),(3.2),(1.7),(3.4),(9.0),(2.3),(2.8),4.3 ,(3.7),0.4 ,1.9 ,2.5 ,2.6 ,2.2 ,1.1 ,1.9 ,1.6 ,3.4 ,2.7 ,3.7 ,2.9 ,4.2 ,2.9 ,6.0 ,(27.5),3.4 ,2.3 ,7.6 ,(21.6)
Cash Cycle (Days),- ,-,-,-,-,176.2 ,204.8 ,262.6 ,287.2 ,374.3 ,360.7 ,325.0 ,438.2 ,316.6 ,325.7 ,401.1 ,344.5 ,528.2 ,381.3 ,297.0 ,260.4 ,263.6 ,273.5 ,296.8 ,225.8 ,309.5 ,298.6 ,309.3 ,262.3 ,292.8 ,273.4 ,294.7 ,375.3 ,368.5 ,286.9 ,363.0 ,347.6 ,409.7 ,423.8 ,457.2 ,494.0 ,472.0 ,502.0 ,572.7 ,492.6 ,596.9 ,713.6 ,825.4 ,807.2 ,650.8 ,769.0 ,916.7 ,972.5 ,856.8 ,632.0 ,735.5 ,785.2 ,810.0 ,18.8 ,23.2 ,92.7 ,154.3 ,7.6 ,122.2 ,230.7 ,262.7 ,117.0 ,111.7 ,96.4 ,93.4 ,84.2 ,54.7 ,"(1,747.9)",371.1 ,424.3 ,432.6 ,501.2 
Leverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assets/Equity,- ,-,-,-,1.81 ,1.42 ,1.40 ,1.49 ,1.56 ,1.58 ,1.60 ,1.62 ,1.60 ,1.62 ,1.61 ,1.62 ,1.64 ,1.69 ,1.72 ,1.84 ,1.90 ,1.88 ,1.86 ,1.85 ,1.83 ,1.81 ,1.83 ,1.81 ,1.85 ,1.96 ,1.99 ,2.02 ,1.93 ,2.00 ,2.03 ,2.04 ,1.98 ,2.02 ,2.08 ,2.10 ,2.20 ,2.32 ,2.24 ,2.25 ,2.32 ,2.32 ,2.27 ,2.35 ,2.43 ,2.57 ,2.66 ,2.88 ,2.89 ,3.06 ,3.31 ,3.15 ,3.45 ,3.58 ,3.97 ,4.88 ,13.99 ,-,-,4.61 ,5.58 ,8.75 ,8.40 ,7.65 ,7.56 ,7.23 ,6.97 ,6.63 ,-,5.83 ,5.97 ,5.46 ,-
Debt/Equity,- ,-,-,-,0.39 ,0.17 ,0.16 ,0.21 ,0.27 ,0.28 ,0.27 ,0.30 ,0.31 ,0.34 ,0.36 ,0.39 ,0.39 ,0.41 ,0.41 ,0.42 ,0.40 ,0.41 ,0.37 ,0.39 ,0.38 ,0.34 ,0.33 ,0.34 ,0.37 ,0.45 ,0.48 ,0.50 ,0.50 ,0.51 ,0.63 ,0.63 ,0.59 ,0.62 ,0.71 ,0.74 ,0.71 ,0.80 ,0.76 ,0.78 ,0.82 ,0.85 ,0.86 ,0.93 ,1.01 ,1.11 ,1.20 ,1.30 ,1.28 ,1.41 ,1.57 ,1.44 ,1.74 ,1.77 ,2.09 ,2.55 ,5.05 ,-,-,1.50 ,2.21 ,5.64 ,4.83 ,3.89 ,3.41 ,2.85 ,2.48 ,2.38 ,-,2.11 ,2.15 ,1.86 ,-
% LT Debt to Total Capital,- ,-,-,-,14.1%,9.3%,8.7%,7.6%,7.3%,6.6%,5.7%,6.4%,5.9%,6.7%,6.0%,14.2%,11.7%,12.6%,11.8%,11.2%,13.3%,11.8%,10.9%,9.8%,8.9%,7.8%,6.6%,6.5%,6.3%,7.4%,6.6%,5.3%,6.2%,5.3%,7.8%,7.2%,6.4%,5.5%,5.8%,4.8%,5.1%,4.4%,4.9%,4.5%,3.9%,3.4%,2.8%,2.5%,2.2%,1.9%,1.6%,1.5%,1.3%,1.2%,2.1%,2.0%,31.2%,31.9%,34.9%,38.0%,10.6%,69.7%,87.4%,27.1%,24.5%,19.2%,22.2%,20.8%,21.6%,44.9%,43.3%,45.6%,74.0%,35.5%,33.6%,26.1%,46.5%
(Total Debt - Cash) / EBITDA,- ,-,-,-,-,1.21 ,0.45 ,3.35 ,15.75 ,10.03 ,3.05 ,-,-,7.84 ,9.10 ,20.31 ,-,-,-,-,6.60 ,9.34 ,9.52 ,25.58 ,2.40 ,7.14 ,7.29 ,10.76 ,9.37 ,9.09 ,12.54 ,10.46 ,16.93 ,6.14 ,6.78 ,27.21 ,13.66 ,9.88 ,15.71 ,17.47 ,68.12 ,67.33 ,14.87 ,23.82 ,97.59 ,16.46 ,121.11 ,-,-,-,-,-,-,-,-,11.90 ,-,81.47 ,1.50 ,1.22 ,5.00 ,7.22 ,2.51 ,3.65 ,11.71 ,20.16 ,20.28 ,16.42 ,19.62 ,12.49 ,15.22 ,6.75 ,-,14.49 ,11.52 ,7.58 ,-
Operating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/R Turnover,- ,-,-,-,-,0.8 ,0.6 ,0.4 ,0.4 ,0.3 ,0.3 ,0.4 ,0.3 ,0.4 ,0.4 ,0.3 ,0.4 ,0.3 ,0.4 ,0.5 ,0.6 ,0.7 ,0.7 ,0.7 ,0.9 ,0.7 ,0.8 ,0.8 ,1.0 ,0.9 ,1.0 ,1.0 ,0.9 ,1.0 ,1.0 ,0.8 ,0.9 ,0.8 ,0.8 ,0.8 ,0.7 ,0.7 ,0.6 ,0.6 ,0.6 ,0.5 ,0.4 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.2 ,0.3 ,0.5 ,0.6 ,0.4 ,0.5 ,20.4 ,17.2 ,1.8 ,1.1 ,63.3 ,2.3 ,1.0 ,0.8 ,0.9 ,0.9 ,0.8 ,0.7 ,0.7 ,0.8 ,(0.1),0.6 ,0.5 ,0.4 ,0.2 
Avg. A/R Days,- ,-,-,-,-,121.3 ,159.9 ,211.8 ,226.0 ,290.6 ,272.2 ,249.5 ,342.8 ,221.3 ,215.6 ,272.9 ,242.8 ,352.6 ,224.0 ,174.7 ,144.7 ,136.2 ,136.9 ,139.3 ,102.4 ,132.1 ,115.1 ,110.4 ,91.9 ,101.5 ,95.2 ,93.6 ,99.9 ,92.7 ,88.7 ,109.3 ,104.7 ,114.8 ,113.3 ,118.9 ,125.2 ,136.0 ,141.5 ,159.6 ,158.3 ,188.3 ,246.4 ,299.3 ,320.7 ,268.5 ,303.5 ,358.4 ,526.8 ,280.1 ,196.6 ,160.7 ,202.8 ,184.3 ,4.5 ,5.3 ,49.4 ,82.6 ,1.4 ,40.2 ,91.4 ,119.4 ,102.2 ,105.1 ,108.5 ,130.1 ,138.6 ,107.6 ,"(1,655.6)",156.0 ,200.6 ,203.0 ,364.1 
Inv Turnover,- ,-,-,-,-,0.9 ,1.0 ,0.8 ,0.8 ,0.6 ,0.5 ,0.6 ,0.5 ,0.6 ,0.5 ,0.5 ,0.6 ,0.4 ,0.4 ,0.5 ,0.5 ,0.4 ,0.4 ,0.4 ,0.5 ,0.3 ,0.3 ,0.3 ,0.4 ,0.3 ,0.4 ,0.3 ,0.3 ,0.3 ,0.4 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.2 ,0.3 ,0.3 ,0.2 ,0.3 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.1 ,6.4 ,5.1 ,2.1 ,1.3 ,14.8 ,1.1 ,0.7 ,0.6 ,0.6 ,0.5 ,0.5 ,0.4 ,0.4 ,0.7 ,0.5 ,0.4 ,0.4 ,0.4 ,0.7 
Avg. Inventory Days,- ,-,-,-,-,102.9 ,92.1 ,108.7 ,121.1 ,155.3 ,170.1 ,156.9 ,181.4 ,161.1 ,171.5 ,185.3 ,147.0 ,254.3 ,220.8 ,181.7 ,190.8 ,219.1 ,230.7 ,254.2 ,195.4 ,277.3 ,278.8 ,293.5 ,244.4 ,271.4 ,248.9 ,276.0 ,275.3 ,275.7 ,243.4 ,292.6 ,276.3 ,333.3 ,340.8 ,360.2 ,368.7 ,336.0 ,360.5 ,413.1 ,334.4 ,408.6 ,467.2 ,526.1 ,486.5 ,382.3 ,465.5 ,558.3 ,445.7 ,576.7 ,435.4 ,574.8 ,582.4 ,625.7 ,14.3 ,17.9 ,43.3 ,71.7 ,6.2 ,82.0 ,139.2 ,143.2 ,141.6 ,173.1 ,182.7 ,240.2 ,225.3 ,128.9 ,171.9 ,215.1 ,223.7 ,229.5 ,137.2 
Avg. A/P Days,- ,-,-,-,-,48.0 ,47.3 ,57.9 ,59.9 ,71.6 ,81.5 ,81.4 ,86.0 ,65.8 ,61.4 ,57.1 ,45.4 ,78.6 ,63.4 ,59.4 ,75.1 ,91.7 ,94.1 ,96.7 ,72.0 ,99.9 ,95.2 ,94.7 ,73.9 ,80.1 ,70.6 ,74.9 ,-,-,45.2 ,39.0 ,33.4 ,38.4 ,30.3 ,21.9 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,126.7 ,166.5 ,194.8 ,276.9 ,279.7 ,181.9 ,264.2 ,-,-,-,-
