Thachang Green Energy PCL | Balance Sheet                                25-Sep-2024 16:14,,,,,,,,,,,,
,,,,,,,,,,,,
Balance Sheet,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,
,2021,,2022,,,,2023,,,,2024,
Deferred Income Tax,424 ,938 ,"1,025 ","1,091 ","1,161 ","1,242 ","1,332 ","1,412 ","1,493 ","1,575 ","1,655 ","1,735 "
Deferred Income Tax - LT Liability,424 ,938 ,"1,025 ","1,091 ","1,161 ","1,242 ","1,332 ","1,412 ","1,493 ","1,575 ","1,655 ","1,735 "
Minority Interest,6 ,8 ,56 ,55 ,57 ,57 ,57 ,57 ,58 ,62 ,61 ,62 
"Other Liabilities, Total","59,863 ","54,357 ","55,080 ","52,016 ","52,790 ","53,347 ","54,101 ","54,855 ","55,609 ","57,687 ","55,230 ","56,042 "
Pension Benefits - Underfunded,"5,421 ","4,409 ","4,821 ","5,232 ","5,644 ","6,056 ","6,447 ","6,839 ","7,231 ","7,622 ","4,804 ","5,254 "
Other Long Term Liabilities,"54,442 ","49,949 ","50,259 ","46,784 ","47,146 ","47,291 ","47,653 ","48,016 ","48,378 ","50,065 ","50,427 ","50,788 "
Total Liabilities,"1,740,851 ","1,664,952 ","2,022,489 ","1,834,081 ","1,326,543 ","1,266,631 ","1,196,138 ","1,135,372 ","1,096,967 ","1,045,076 ","981,695 ","919,730 "
,,,,,,,,,,,,
Shareholders Equity (THB Thousands),,,,,,,,,,,,
"Common Stock, Total","800,000 ","800,000 ","800,000 ","800,000 ","1,100,000 ","1,100,000 ","1,100,000 ","1,100,000 ","1,100,000 ","1,100,000 ","1,100,000 ","1,100,000 "
Common Stock,"800,000 ","800,000 ","800,000 ","800,000 ","1,100,000 ","1,100,000 ","1,100,000 ","1,100,000 ","1,100,000 ","1,100,000 ","1,100,000 ","1,100,000 "
Additional Paid-In Capital,--,--,--,--,"863,339 ","863,339 ","863,339 ","863,339 ","863,339 ","863,339 ","863,339 ","863,339 "
Retained Earnings (Accumulated Deficit),"235,391 ","282,904 ","(33,249)","22,466 ","71,640 ","131,533 ","194,574 ","247,590 ","319,234 ","365,999 ","430,327 ","488,398 "
"Other Equity, Total",(889),263 ,263 ,263 ,263 ,263 ,263 ,263 ,263 ,263 ,"2,539 ","2,539 "
Other Equity,(889),263 ,263 ,263 ,263 ,263 ,--,--,--,--,--,--
Minimum Pension Liability Adjustment,--,--,--,--,--,--,263 ,263 ,263 ,263 ,"2,539 ","2,539 "
Total Equity,"1,034,502 ","1,083,167 ","767,014 ","822,729 ","2,035,242 ","2,095,135 ","2,158,176 ","2,211,192 ","2,282,836 ","2,329,601 ","2,396,205 ","2,454,276 "
,,,,,,,,,,,,
Total Liabilities & Shareholders' Equity,"2,775,353 ","2,748,120 ","2,789,502 ","2,656,810 ","3,361,786 ","3,361,766 ","3,354,314 ","3,346,563 ","3,379,803 ","3,374,677 ","3,377,900 ","3,374,007 "
,,,,,,,,,,,,
Supplemental (THB Thousands),,,,,,,,,,,,
Total Common Shares Outstanding,"2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 "
Shares Outs - Common Stock Primary Issue,"2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 ","2,200,000 "
Treas Shares - Common Stock Prmry Issue,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Minority Interest - Non Redeemable,6 ,8 ,56 ,55 ,57 ,57 ,57 ,57 ,58 ,62 ,61 ,62 
Total Equity & Minority Interest,"1,034,508 ","1,083,175 ","767,070 ","822,783 ","2,035,299 ","2,095,191 ","2,158,233 ","2,211,249 ","2,282,895 ","2,329,662 ","2,396,266 ","2,454,338 "
Other Property/Plant/Equipment - Net,"2,110,584 ","2,054,603 ","2,029,607 ","2,003,124 ","1,968,948 ","2,043,824 ","2,014,922 ","2,067,450 ","2,088,786 ","2,065,898 ","2,070,954 ","2,047,591 "
Intangibles - Net,"90,380 ","90,239 ","90,239 ","90,324 ","101,897 ","101,619 ","101,430 ","101,189 ","100,748 ","105,010 ","120,214 ","122,688 "
"Right-of-Use Assets-Cap.Lease,Net-Suppl.","62,414 ","61,975 ","65,630 ","73,539 ","72,101 ","70,668 ","69,266 ","67,849 ","66,416 ","64,984 ","63,566 ","62,149 "
Contract Assets - Long Term,"90,743 ","105,953 ","106,209 ","106,466 ","111,753 ","157,693 ","191,044 ","206,052 ","227,679 ","232,858 ","284,161 ","286,983 "
"Curr. Port. of LT Capital Leases, Suppl.","2,243 ","2,241 ","3,110 ","3,941 ","3,981 ","4,020 ","4,182 ","4,224 ","4,266 ","4,309 ","4,494 ","4,539 "
Total Current Assets less Inventory,"224,288 ","284,926 ","351,208 ","246,955 ","929,327 ","808,954 ","770,196 ","712,488 ","678,730 ","668,310 ","607,269 ","611,067 "
Net Debt Incl. Pref.Stock & Min.Interest,"1,556,338 ","1,456,764 ","1,353,929 ","1,639,477 ","451,430 ","526,885 ","489,122 ","500,786 ","476,591 ","419,591 ","447,955 ","373,258 "
"Tangible Book Value, Common Equity","944,121 ","992,928 ","676,774 ","732,404 ","1,933,345 ","1,993,515 ","2,056,746 ","2,110,003 ","2,182,088 ","2,224,591 ","2,275,991 ","2,331,588 "
