Energy Absolute PCL | Ratios - Key Metrics                                12-Sep-2024 13:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios - Key Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interim Standardised in Millions of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007 ,,,2008 ,,,2009 ,,2010 ,2011 ,,,,2012 ,,,,2013 ,,,,2014 ,,,,2015 ,,,,2016 ,,,,2017 ,,,,2018 ,,,,2019 ,,,,2020 ,,,,2021 ,,,,2022 ,,,,2023 ,,,,2024 
Asset Turnover,0.05 ,-,-,-,-,-,1.55 ,1.42 ,2.84 ,2.80 ,-,-,-,-,-,-,0.37 ,0.32 ,0.25 ,0.15 ,0.14 ,0.13 ,0.18 ,0.15 ,0.14 ,0.11 ,0.10 ,0.12 ,0.10 ,0.08 ,0.07 ,0.09 ,0.07 ,0.06 ,0.06 ,0.07 ,0.07 ,0.07 ,0.06 ,0.06 ,0.06 ,0.05 ,0.05 ,0.06 ,0.06 ,0.06 ,0.07 ,0.06 ,0.05 ,0.06 ,0.06 ,0.06 ,0.06 ,0.07 ,0.05 ,0.06 ,0.06 ,0.10 ,0.08 ,0.07 ,0.06 ,0.05 ,0.05 
x Pretax Margin,30.1% ,(4.9%),(10.1%),7.2%,3.5%,0.0%,(1.0%),10.0%,(0.9%),1.1%,5.4%,0.3%,(1.3%),0.5%,2.1%,2.6%,0.7%,4.8%,9.2%,8.0%,3.0%,8.0%,22.2%,22.7%,20.8%,20.2%,29.0%,29.6%,32.6%,27.0%,29.5%,31.9%,28.3%,35.5%,37.0%,32.9%,31.5%,29.5%,65.3%,33.2%,42.9%,34.2%,38.6%,39.7%,40.0%,42.9%,30.0%,27.3%,28.9%,31.4%,29.7%,23.4%,32.4%,31.8%,27.2%,18.3%,51.5%,24.6%,28.0%,30.0%,27.7%,14.3%,12.7%
Pretax ROA,1.4% ,-,-,-,-,-,(1.6%),14.2%,(2.5%),3.1%,-,-,-,-,-,-,0.3%,1.5%,2.3%,1.2%,0.4%,1.0%,4.0%,3.4%,2.9%,2.2%,2.9%,3.5%,3.1%,2.2%,2.1%,2.8%,1.9%,2.0%,2.3%,2.2%,2.3%,2.0%,4.2%,2.0%,2.4%,1.6%,2.0%,2.3%,2.5%,2.5%,2.0%,1.5%,1.4%,1.8%,1.8%,1.4%,2.0%,2.1%,1.5%,1.1%,3.1%,2.4%,2.3%,2.1%,1.7%,0.7%,0.6%
x Leverage (Assets/Equity),3.62 ,-,-,4.23 ,-,1.46 ,1.60 ,1.49 ,2.23 ,1.99 ,-,-,-,1.75 ,-,1.95 ,2.11 ,2.23 ,1.29 ,1.27 ,1.80 ,2.63 ,2.43 ,2.32 ,2.68 ,3.28 ,3.15 ,3.11 ,3.24 ,3.89 ,3.67 ,3.71 ,3.85 ,3.65 ,3.47 ,3.36 ,3.12 ,3.04 ,2.86 ,2.98 ,3.18 ,3.26 ,3.19 ,3.22 ,3.17 ,3.01 ,2.98 ,2.98 ,2.90 ,2.82 ,2.77 ,2.79 ,2.66 ,2.63 ,2.66 ,2.72 ,2.62 ,2.66 ,2.73 ,2.72 ,2.85 ,2.74 ,2.73 
Pretax ROE,4.5% ,-,-,-,-,-,(2.4%),21.9%,(4.6%),6.5%,-,-,-,-,-,-,0.5%,3.3%,3.4%,1.6%,0.6%,2.3%,10.1%,8.2%,7.2%,6.5%,9.4%,10.9%,9.9%,8.0%,8.1%,10.5%,7.1%,7.4%,8.2%,7.7%,7.3%,6.0%,12.2%,5.8%,7.5%,5.3%,6.4%,7.3%,8.0%,7.8%,5.9%,4.5%,4.2%,5.1%,4.9%,3.9%,5.4%,5.5%,3.9%,2.9%,8.3%,6.2%,6.2%,5.7%,4.7%,2.0%,1.8%
x Tax Complement,0.74 ,-,-,0.93 ,0.71 ,1.00 ,-,0.82 ,-,0.95 ,0.98 ,0.60 ,-,1.61 ,1.01 ,1.01 ,0.91 ,0.99 ,0.92 ,0.91 ,1.05 ,0.96 ,0.99 ,1.00 ,0.97 ,0.98 ,1.00 ,1.00 ,0.96 ,1.00 ,0.99 ,0.99 ,1.00 ,1.03 ,1.00 ,1.00 ,1.00 ,1.05 ,1.02 ,1.02 ,1.00 ,0.82 ,1.02 ,1.01 ,1.02 ,1.00 ,1.02 ,1.02 ,1.03 ,1.06 ,1.01 ,1.03 ,0.99 ,1.07 ,1.06 ,1.11 ,1.01 ,0.93 ,0.93 ,0.91 ,0.97 ,1.35 ,1.21 
ROE,3.0% ,-,-,-,-,-,(3.0%),18.1%,(3.0%),6.1%,-,-,-,-,-,-,0.5%,3.3%,3.1%,1.4%,0.7%,2.2%,10.0%,8.2%,7.0%,6.4%,9.4%,10.9%,9.5%,8.0%,8.0%,10.4%,7.0%,7.6%,8.2%,7.7%,7.4%,6.3%,12.4%,6.0%,7.5%,4.3%,6.5%,7.4%,8.2%,7.8%,6.0%,4.6%,4.3%,5.5%,4.9%,4.1%,5.4%,5.9%,4.1%,3.2%,8.4%,5.8%,5.8%,5.2%,4.6%,2.7%,2.1%
x Earnings Retention,1.00 ,-,-,1.00 ,1.00 ,1.00 ,-,1.00 ,-,1.00 ,1.00 ,1.00 ,-,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,1.00 ,1.00 ,1.00 ,0.22 ,1.00 ,1.00 ,1.00 ,0.80 ,1.00 ,1.00 ,1.00 ,0.43 ,1.00 ,1.00 ,1.00 ,0.33 ,1.00 ,1.00 ,1.00 ,0.17 ,1.00 ,1.00 ,1.00 ,(0.21),1.00 ,1.00 ,1.00 ,0.36 ,1.00 ,1.00 ,1.00 ,0.25 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.48 ,1.00 ,1.00 ,1.00 ,0.04 ,1.00 
Reinvestment Rate,2.0% ,-,-,-,-,-,(3.0%),18.1%,(3.0%),6.1%,-,-,-,-,-,-,0.5%,0.0%,3.1%,1.4%,0.7%,0.5%,10.0%,8.2%,7.0%,5.1%,9.4%,10.9%,9.5%,3.4%,8.0%,10.4%,7.0%,2.5%,8.2%,7.7%,7.4%,1.1%,12.4%,6.0%,7.5%,(0.9%),6.5%,7.4%,8.2%,2.8%,6.0%,4.6%,4.3%,1.3%,4.9%,4.1%,5.4%,5.9%,4.1%,3.2%,8.4%,2.8%,5.8%,5.2%,4.6%,0.1%,2.1%
Liquidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick Ratio,0.64 ,-,-,0.24 ,-,0.71 ,0.55 ,0.98 ,0.43 ,0.79 ,-,-,-,0.85 ,-,0.61 ,0.50 ,0.40 ,5.55 ,4.37 ,0.95 ,1.16 ,1.74 ,1.70 ,1.55 ,0.81 ,1.03 ,1.06 ,1.58 ,1.00 ,0.87 ,1.19 ,2.58 ,1.68 ,1.81 ,1.72 ,1.83 ,2.66 ,2.56 ,1.69 ,0.64 ,0.63 ,0.69 ,0.76 ,1.51 ,2.19 ,1.91 ,0.73 ,0.52 ,0.48 ,0.61 ,0.69 ,0.64 ,0.80 ,0.62 ,0.60 ,0.55 ,0.64 ,0.65 ,0.50 ,0.79 ,0.70 ,0.78 
Current Ratio,0.81 ,-,-,0.60 ,-,1.66 ,0.99 ,1.47 ,0.74 ,1.12 ,-,-,-,1.19 ,-,0.78 ,0.72 ,0.61 ,5.82 ,4.70 ,1.05 ,1.28 ,1.84 ,1.82 ,1.65 ,0.87 ,1.10 ,1.11 ,1.61 ,1.04 ,0.90 ,1.22 ,2.65 ,1.73 ,1.85 ,1.77 ,1.88 ,2.71 ,2.65 ,1.77 ,0.67 ,0.65 ,0.73 ,0.81 ,1.58 ,2.31 ,2.01 ,0.81 ,0.58 ,0.54 ,0.69 ,0.84 ,0.78 ,0.92 ,0.76 ,0.76 ,0.83 ,0.85 ,0.87 ,0.77 ,1.02 ,1.00 ,1.07 
Times Interest Earned,3.6 ,-,-,15.9 ,32.5 ,2.0 ,(41.8),84.7 ,(0.2),3.3 ,16.2 ,2.4 ,(2.9),2.3 ,9.3 ,6.1 ,1.5 ,5.6 ,5.1 ,5.2 ,2.5 ,5.4 ,7.8 ,5.7 ,5.4 ,5.1 ,5.7 ,5.2 ,4.8 ,4.9 ,5.1 ,4.9 ,3.6 ,4.3 ,4.7 ,4.3 ,4.0 ,3.6 ,4.5 ,4.1 ,4.8 ,5.4 ,5.3 ,4.8 ,5.5 ,5.1 ,4.1 ,3.7 ,3.5 ,4.8 ,4.6 ,4.0 ,5.5 ,6.1 ,4.9 ,3.6 ,3.6 ,6.3 ,6.0 ,4.8 ,3.4 ,2.1 ,1.8 
Cash Cycle (Days),47.3 ,-,-,-,-,-,8.9 ,8.1 ,25.4 ,40.0 ,-,-,-,-,-,-,37.4 ,33.5 ,33.4 ,50.1 ,44.4 ,39.4 ,30.9 ,39.3 ,40.2 ,43.1 ,48.1 ,47.8 ,56.8 ,55.9 ,60.3 ,56.0 ,74.0 ,81.9 ,74.5 ,68.4 ,66.1 ,74.1 ,80.8 ,89.5 ,86.9 ,86.0 ,80.8 ,81.1 ,83.9 ,93.0 ,75.9 ,86.6 ,95.8 ,86.5 ,87.7 ,87.3 ,96.6 ,113.3 ,160.0 ,160.4 ,176.6 ,102.9 ,125.2 ,189.5 ,231.3 ,312.0 ,333.7 
Leverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assets/Equity,3.62 ,-,-,4.23 ,-,1.46 ,1.60 ,1.49 ,2.23 ,1.99 ,-,-,-,1.75 ,-,1.95 ,2.11 ,2.23 ,1.29 ,1.27 ,1.80 ,2.63 ,2.43 ,2.32 ,2.68 ,3.28 ,3.15 ,3.11 ,3.24 ,3.89 ,3.67 ,3.71 ,3.85 ,3.65 ,3.47 ,3.36 ,3.12 ,3.04 ,2.86 ,2.98 ,3.18 ,3.26 ,3.19 ,3.22 ,3.17 ,3.01 ,2.98 ,2.98 ,2.90 ,2.82 ,2.77 ,2.79 ,2.66 ,2.63 ,2.66 ,2.72 ,2.62 ,2.66 ,2.73 ,2.72 ,2.85 ,2.74 ,2.73 
Debt/Equity,1.41 ,-,-,0.62 ,-,0.00 ,0.09 ,0.29 ,1.05 ,0.65 ,-,-,-,0.45 ,-,0.63 ,0.96 ,1.05 ,0.22 ,0.21 ,0.62 ,1.39 ,1.25 ,1.20 ,1.51 ,2.04 ,2.00 ,1.93 ,2.10 ,2.61 ,2.50 ,2.57 ,2.71 ,2.49 ,2.27 ,2.19 ,2.00 ,1.89 ,1.66 ,1.77 ,1.64 ,1.61 ,1.79 ,1.87 ,1.90 ,1.80 ,1.76 ,1.76 ,1.68 ,1.61 ,1.54 ,1.56 ,1.44 ,1.38 ,1.39 ,1.43 ,1.42 ,1.35 ,1.47 ,1.49 ,1.66 ,1.54 ,1.55 
% LT Debt to Total Capital,39.8% ,-,-,0.0%,-,0.0%,0.0%,9.7%,13.0%,4.8%,-,-,-,12.5%,-,8.8%,23.1%,27.1%,13.3%,12.8%,26.2%,50.1%,48.5%,46.6%,52.2%,60.4%,58.1%,55.8%,59.6%,63.0%,60.6%,62.1%,67.6%,64.8%,63.9%,62.0%,59.9%,62.2%,58.4%,57.1%,53.6%,53.6%,56.1%,53.6%,55.1%,55.3%,54.1%,49.1%,46.0%,44.0%,44.9%,46.8%,44.7%,44.3%,42.4%,39.6%,40.1%,35.2%,36.6%,36.1%,37.4%,39.8%,41.0%
(Total Debt - Cash) / EBITDA,29.75 ,-,-,-,-,-,-,0.57 ,9.43 ,3.22 ,-,-,-,-,-,-,23.66 ,15.35 ,-,-,4.34 ,20.35 ,6.65 ,7.04 ,9.25 ,14.71 ,13.12 ,10.37 ,11.85 ,17.55 ,19.84 ,14.21 ,17.69 ,18.67 ,17.21 ,15.77 ,14.13 ,15.12 ,13.54 ,14.77 ,13.04 ,14.57 ,14.46 ,14.20 ,11.64 ,11.57 ,13.80 ,16.26 ,18.87 ,16.49 ,16.70 ,18.34 ,16.63 ,16.89 ,18.79 ,20.15 ,19.27 ,14.95 ,13.98 ,16.17 ,20.71 ,26.16 ,28.85 
Operating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/R Turnover,1.0 ,-,-,-,-,-,13.0 ,8.2 ,14.8 ,11.5 ,-,-,-,-,-,-,3.3 ,4.4 ,3.8 ,2.3 ,2.9 ,3.0 ,3.6 ,2.7 ,2.7 ,2.5 ,2.2 ,2.2 ,1.7 ,1.7 ,1.6 ,1.7 ,1.3 ,1.3 ,1.4 ,1.4 ,1.5 ,1.3 ,1.2 ,1.2 ,1.2 ,1.2 ,1.3 ,1.3 ,1.3 ,1.3 ,1.5 ,1.4 ,1.3 ,1.4 ,1.4 ,1.5 ,1.5 ,1.1 ,0.8 ,0.8 ,0.9 ,1.3 ,0.9 ,0.8 ,0.7 ,0.5 ,0.5 
Avg. A/R Days,87.1 ,-,-,-,-,-,14.1 ,11.1 ,18.5 ,31.9 ,-,-,-,-,-,-,27.8 ,20.6 ,23.7 ,38.7 ,31.8 ,29.9 ,25.1 ,33.2 ,33.9 ,37.1 ,41.6 ,42.3 ,53.7 ,52.3 ,56.0 ,53.0 ,68.3 ,72.0 ,67.0 ,62.9 ,60.8 ,70.2 ,75.8 ,79.1 ,76.1 ,76.4 ,69.5 ,70.4 ,69.6 ,71.7 ,61.1 ,66.7 ,70.0 ,66.2 ,66.9 ,61.7 ,62.7 ,82.5 ,117.4 ,107.9 ,101.8 ,70.0 ,98.8 ,115.8 ,128.6 ,175.3 ,193.5 
Inv Turnover,4.8 ,-,-,-,-,-,6.6 ,8.9 ,21.9 ,19.1 ,-,-,-,-,-,-,5.1 ,4.6 ,5.8 ,4.7 ,4.9 ,5.5 ,7.8 ,7.1 ,7.1 ,7.7 ,7.5 ,8.2 ,9.7 ,10.6 ,9.7 ,13.1 ,9.2 ,6.2 ,7.9 ,9.5 ,8.7 ,9.5 ,7.8 ,5.1 ,4.8 ,4.9 ,4.5 ,4.1 ,3.5 ,2.7 ,3.6 ,2.8 ,2.5 ,2.9 ,2.8 ,2.4 ,1.8 ,2.2 ,1.6 ,1.4 ,1.0 ,1.3 ,0.9 ,0.7 ,0.7 ,0.6 ,0.6 
Avg. Inventory Days,19.0 ,-,-,-,-,-,27.7 ,10.2 ,12.5 ,19.2 ,-,-,-,-,-,-,17.9 ,19.9 ,15.6 ,19.2 ,18.6 ,16.5 ,11.6 ,12.8 ,12.8 ,11.8 ,12.1 ,11.2 ,9.4 ,8.6 ,9.4 ,6.9 ,9.9 ,14.6 ,11.5 ,9.6 ,10.4 ,9.6 ,11.6 ,17.9 ,19.2 ,18.7 ,20.1 ,22.1 ,26.3 ,33.7 ,25.3 ,33.1 ,36.6 ,31.0 ,32.8 ,38.1 ,49.6 ,41.8 ,58.1 ,65.8 ,91.0 ,72.6 ,96.0 ,134.5 ,136.6 ,156.2 ,151.5 
Avg. A/P Days,83.3 ,-,-,-,-,-,33.0 ,13.1 ,5.7 ,11.1 ,-,-,-,-,-,-,8.3 ,7.0 ,5.9 ,7.9 ,5.9 ,7.0 ,5.8 ,6.8 ,6.5 ,5.7 ,5.5 ,5.6 ,6.3 ,5.0 ,5.2 ,4.0 ,4.1 ,4.6 ,4.0 ,4.1 ,5.1 ,5.7 ,6.6 ,7.5 ,8.4 ,9.2 ,8.9 ,11.4 ,12.1 ,12.4 ,10.6 ,13.2 ,10.8 ,10.7 ,12.0 ,12.6 ,15.7 ,11.0 ,15.5 ,13.3 ,16.1 ,39.7 ,69.6 ,60.7 ,34.0 ,19.6 ,11.3 
Fixed Asset Turnover,0.11 ,-,-,-,-,-,2.84 ,2.27 ,4.60 ,5.55 ,-,-,-,-,-,-,0.58 ,0.45 ,0.49 ,0.36 ,0.24 ,0.19 ,0.26 ,0.21 ,0.19 ,0.14 ,0.12 ,0.15 ,0.12 ,0.10 ,0.09 ,0.11 ,0.08 ,0.07 ,0.08 ,0.09 ,0.09 ,0.08 ,0.08 ,0.08 ,0.07 ,0.06 ,0.06 ,0.07 ,0.08 ,0.08 ,0.09 ,0.08 ,0.07 ,0.08 ,0.08 ,0.08 ,0.08 ,0.09 ,0.08 ,0.09 ,0.09 ,0.17 ,0.16 ,0.13 ,0.12 ,0.10 ,0.10 
WC / Sales Growth,(9.9%) ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(8.6%),142.9%,149.4%,(153.2%),(82.4%),20.6%,27.5%,(4.2%),(43.0%),(27.7%),14.9%,36.3%,(6.8%),(48.3%),12.3%,93.0%,49.7%,(43.1%),(5.7%),(5.9%),33.3%,22.5%,(21.4%),(137.8%),(136.3%),38.7%,50.0%,89.2%,120.6%,7.8%,(97.9%),(159.2%),(31.6%),19.4%,49.5%,18.1%,10.3%,(18.9%),(28.6%),9.0%,32.1%,(4.8%),(22.4%),22.5%,46.6%,10.2%
Bad Debt Allowance (% of A/R),2.3% ,-,-,-,-,-,-,-,1.1%,0.5%,-,-,-,0.6%,-,0.4%,0.0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
ROIC,- ,-,-,-,-,-,(3.0%),16.9%,(2.5%),5.3%,-,-,-,-,-,-,0.4%,2.2%,2.5%,1.2%,0.5%,1.2%,4.7%,4.0%,3.2%,2.5%,3.4%,4.1%,3.5%,2.6%,2.5%,3.2%,2.0%,2.2%,2.5%,2.5%,2.5%,2.2%,4.5%,2.2%,2.9%,2.0%,2.5%,2.7%,3.0%,2.9%,2.2%,1.7%,1.7%,2.3%,2.1%,1.7%,2.4%,2.6%,1.8%,1.3%,3.9%,3.1%,3.1%,2.7%,2.1%,1.1%,0.8%
