BBGI PCL | Income Statement                                12-Sep-2024 14:36,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,
,2021,,,,2022,,,,2023,,,,2024,
Basic EPS Including Extraordinary Items,0.14 ,0.07 ,0.41 ,0.04 ,0.13 ,(0.06),(0.07),0.01 ,(0.02),(0.03),0.00 ,0.05 ,0.08 ,0.03 
Diluted Net Income,"202,587 ","106,674 ","593,752 ","57,163 ","130,326 ","(56,054)","(68,870)","15,016 ","(30,692)","(40,162)","1,619 ","79,099 ","119,834 ","39,719 "
Diluted Weighted Average Shares,"1,446,000 ","1,446,000 ","1,446,000 ","1,446,000 ","1,012,800 ","1,012,800 ","1,012,800 ","1,359,360 ","1,446,000 ","1,446,000 ","1,446,000 ","1,446,000 ","1,446,000 ","1,446,000 "
Diluted EPS Excluding ExtraOrd Items,0.14 ,0.07 ,0.41 ,0.04 ,0.13 ,(0.06),(0.07),0.01 ,(0.02),(0.03),0.00 ,0.05 ,0.08 ,0.03 
Diluted EPS Including ExtraOrd Items,0.14 ,0.07 ,0.41 ,0.04 ,0.13 ,(0.06),(0.07),0.01 ,(0.02),(0.03),0.00 ,0.05 ,0.08 ,0.03 
Supplemental (THB Thousands),,,,,,,,,,,,,,
DPS - Common Stock Primary Issue,0.00 ,0.00 ,0.00 ,--,0.15 ,0.05 ,0.00 ,0.05 ,0.00 ,0.00 ,0.00 ,0.05 ,0.00 ,0.00 
Gross Dividends - Common Stock,--,--,--,--,"216,900 ","72,300 ",0 ,"140,750 ",--,0 ,0 ,"72,300 ",0 ,0 
Normalized Income Before Taxes,"298,589 ","164,338 ","750,021 ","125,430 ","215,364 ","(38,684)","(95,626)","16,093 ","(24,772)",(473),"28,675 ","116,861 ","148,625 ","67,539 "
Inc Tax Ex Impact of Sp Items,"25,931 ","15,098 ","114,019 ","(4,854)","18,328 ","(8,252)","(7,148)","(2,625)","1,276 ","9,384 ","4,163 ","4,961 ","6,559 ","6,017 "
Normalized Income After Taxes,"272,658 ","149,240 ","636,002 ","130,284 ","197,036 ","(30,432)","(88,478)","18,718 ","(26,048)","(9,857)","24,512 ","111,899 ","142,066 ","61,522 "
Normalized Inc. Avail to Com.,"202,587 ","106,674 ","593,752 ","57,163 ","130,326 ","(56,054)","(68,870)","15,016 ","(30,692)","(40,162)","1,619 ","79,099 ","119,834 ","39,719 "
Basic Normalized EPS,0.14 ,0.07 ,0.41 ,0.04 ,0.13 ,(0.06),(0.07),0.01 ,(0.02),(0.03),0.00 ,0.05 ,0.08 ,0.03 
Diluted Normalized EPS,0.14 ,0.07 ,0.41 ,0.04 ,0.13 ,(0.06),(0.07),0.01 ,(0.02),(0.03),0.00 ,0.05 ,0.08 ,0.03 
"Depreciation, Supplemental","100,890 ","103,333 ","106,141 ","103,334 ","101,842 ","104,770 ","106,403 ","108,626 ","112,494 ","117,778 ","120,327 ","118,639 ","118,686 ","119,994 "
"Interest Expense, Supplemental","22,999 ","27,941 ","29,667 ","26,604 ","26,441 ","24,072 ","23,938 ","20,216 ","19,396 ","20,775 ","19,643 ","17,892 ","16,403 ","21,700 "
"Equity in Affiliates, Supplemental","8,079 ","14,195 ","20,745 ",(320),(875),"(2,521)","(2,875)","(1,670)","(3,988)","(2,610)","(2,585)","(1,758)","(2,093)","(3,498)"
"Minority Interest, Supplemental","(70,071)","(42,566)","(42,250)","(73,121)","(66,710)","(25,622)","19,608 ","(3,702)","(4,644)","(30,305)","(22,893)","(32,800)","(22,232)","(21,803)"
Normalized EBIT,"313,509 ","178,084 ","147,150 ","152,354 ","242,680 ","(23,734)","(68,813)","37,979 ","(1,388)","3,506 ","50,903 ","136,510 ","167,121 ","85,169 "
Normalized EBITDA,"414,399 ","281,417 ","253,291 ","255,688 ","344,522 ","81,036 ","37,590 ","146,604 ","111,106 ","121,284 ","171,230 ","255,150 ","285,807 ","205,163 "
Dividends and Capital Changes,,,,,,,,,,,,,,
BBGI Ord Shs,,,,,,,,,,,,,,
Cash Dividend,--,--,--,--,THB 0.15 I,THB 0.05 I,--,THB 0.05 F,--,--,--,THB 0.05 F,--,--
,,,,,(31-Mar) Pd.End ,(30-Jun) Pd.End ,,(31-Dec) Pd.End ,,,,(31-Dec) Pd.End ,,
