TPI Polene Power PCL | Ratios - Key Metrics                                25-Sep-2024 16:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios - Key Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interim Standardised in Millions of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015 ,,,2016 ,,,,2017 ,,,,2018 ,,,,2019 ,,,,2020 ,,,,2021 ,,,,2022 ,,,,2023 ,,,,2024 
(Total Debt - Cash) / EBITDA,29.61 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.09 ,0.77 ,1.62 ,2.59 ,4.80 ,5.54 ,6.18 ,6.95 ,6.72 ,6.43 ,8.87 ,9.42 ,11.06 ,11.59 ,16.27 ,18.02 ,11.41 ,13.52 ,14.59 ,17.62 ,17.56 
Operating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/R Turnover,1.1 ,-,-,-,-,-,-,-,1.5 ,1.7 ,1.4 ,1.5 ,1.4 ,1.6 ,1.4 ,1.4 ,1.4 ,1.4 ,1.2 ,1.3 ,1.2 ,1.4 ,1.1 ,0.9 ,1.0 ,1.2 ,1.0 ,0.8 ,0.8 ,0.6 ,0.7 ,1.1 ,1.3 ,1.0 ,1.0 ,1.3 ,1.2 
Avg. A/R Days,82.0 ,-,-,-,-,-,-,-,61.3 ,54.2 ,64.0 ,59.2 ,63.4 ,57.4 ,63.1 ,64.0 ,64.3 ,66.6 ,73.4 ,72.6 ,76.8 ,66.5 ,83.4 ,99.3 ,87.2 ,78.1 ,89.9 ,107.8 ,120.2 ,142.0 ,127.6 ,84.6 ,70.1 ,86.8 ,92.8 ,69.1 ,75.3 
Inv Turnover,5.1 ,-,-,-,-,-,-,-,1.2 ,1.3 ,1.3 ,1.5 ,1.2 ,1.1 ,1.3 ,1.7 ,2.2 ,1.7 ,1.6 ,1.5 ,1.4 ,1.5 ,1.4 ,1.1 ,1.1 ,1.3 ,1.4 ,1.0 ,1.2 ,0.9 ,0.9 ,1.0 ,0.9 ,0.9 ,0.7 ,0.9 ,0.9 
Avg. Inventory Days,17.8 ,-,-,-,-,-,-,-,78.2 ,70.6 ,72.7 ,60.1 ,74.5 ,84.8 ,71.3 ,53.5 ,41.4 ,52.3 ,55.2 ,60.2 ,67.1 ,62.0 ,66.7 ,80.3 ,81.2 ,72.0 ,66.9 ,88.1 ,77.6 ,96.3 ,105.9 ,93.5 ,105.8 ,97.8 ,121.3 ,97.4 ,97.3 
Avg. A/P Days,83.6 ,-,-,-,-,-,-,-,23.8 ,25.9 ,27.4 ,22.9 ,32.7 ,36.0 ,25.5 ,24.7 ,25.2 ,23.8 ,22.0 ,25.6 ,26.0 ,17.8 ,19.8 ,28.3 ,27.1 ,25.8 ,21.3 ,23.1 ,20.6 ,27.1 ,24.9 ,26.0 ,28.3 ,23.2 ,29.1 ,16.9 ,24.1 
Fixed Asset Turnover,0.11 ,-,-,-,-,-,-,-,0.07 ,0.06 ,0.06 ,0.06 ,0.06 ,0.08 ,0.09 ,0.09 ,0.10 ,0.10 ,0.10 ,0.10 ,0.08 ,0.08 ,0.09 ,0.08 ,0.07 ,0.08 ,0.08 ,0.07 ,0.07 ,0.06 ,0.06 ,0.06 ,0.07 ,0.07 ,0.05 ,0.06 ,0.05 
WC / Sales Growth,(10.9%) ,-,-,-,-,-,-,-,-,214.8%,(69.7%),(116.4%),(44.6%),(75.7%),(38.7%),50.3%,45.9%,(28.5%),38.1%,2.4%,(49.5%),(61.2%),37.6%,5.0%,(58.3%),41.9%,28.9%,10.8%,1.6%,(11.7%),51.0%,(33.2%),(4.0%),74.1%,(89.7%),(95.9%),6.3%
Bad Debt Allowance (% of A/R),2.7% ,-,-,-,-,0.0%,-,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ROIC,- ,-,-,-,-,-,-,-,3.5%,2.9%,2.4%,2.4%,3.0%,3.9%,4.0%,3.6%,3.3%,4.1%,3.3%,3.6%,2.7%,3.2%,3.1%,2.9%,2.8%,2.9%,2.2%,2.3%,1.9%,1.9%,1.2%,1.2%,2.2%,1.8%,1.7%,1.7%,1.3%
