Stark Corporation PCL                                12-Sep-2024 13:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,
Interest/Investment Income - Operating,,--,--,--,--,--,--,--,--,--,--,--,"(10,814)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(33,971)","(33,181)","(41,608)","(43,206)","(129,183)","(228,785)","37,147 ","(177,850)","54,921 ","12,141 ","88,558 ","(153,671)","(201,912)","(278,579)","453,788 ","(14,948)"
Investment Income - Operating,,--,--,--,--,--,--,--,--,--,--,--,"(10,814)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(33,971)","(33,181)","(41,608)","(43,206)","(129,183)","(228,785)","37,147 ","(177,850)","54,921 ","12,141 ","88,558 ","(153,671)","(201,912)","(278,579)","453,788 ","(14,948)"
"Interest Exp.(Inc.),Net-Operating, Total",,--,--,--,--,--,--,--,--,--,--,--,"(10,814)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"(33,971)","(33,181)","(41,608)","(43,206)","(129,183)","(228,785)","37,147 ","(177,850)","54,921 ","12,141 ","88,558 ","(153,671)","(201,912)","(278,579)","453,788 ","(14,948)"
Unusual Expense (Income),,"(1,321)",138 ,"4,385 ","(3,724)",560 ,(102),185 ,(643),0 ,"26,649 ","4,436 ","(31,085)","7,095 ","4,799 ",0 ,"(1,324)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,--,--,"162,447 ",0 ,--,--,--,--,--,--,--,--,--,--,--,--
Other Unusual Expense (Income),,"(1,321)",138 ,"4,385 ","(3,724)",560 ,(102),185 ,(643),0 ,"26,649 ","4,436 ","(31,085)","7,095 ","4,799 ",0 ,"(1,324)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,--,--,"162,447 ",0 ,--,--,--,--,--,--,--,--,--,--,--,--
"Other Operating Expenses, Total",,"(1,016)","(1,566)","(2,474)","(1,231)","(2,354)","(2,960)","(2,783)","(2,279)","(4,748)","(11,522)","(7,921)","(8,968)","(3,439)",969 ,"(1,716)","(1,654)","(2,805)",57 ,"(1,474)","(2,437)",(906),"(3,042)","(6,124)","(5,026)","(1,771)","(1,584)","(2,014)","(3,590)","(3,363)","(2,991)","(1,596)","(4,493)","(1,740)","(1,775)","(2,651)","(2,710)","(3,100)","(1,754)","(2,293)","(2,945)","(2,069)","(2,897)","(2,840)","(5,629)","(3,016)","(1,292)",(831),"(3,219)","(6,711)","(2,202)",(699),"(3,082)","(1,114)","(2,831)","(7,423)",(655),"(3,257)",(206),"(1,894)","(4,414)","(1,819)","(2,080)","(2,087)","(4,201)","(2,096)","(34,291)","(5,713)","1,491 ","(5,439)","(8,366)","(3,086)","88,107 ","(1,591)","(2,453)",(709),"2,223,470 "
Other Operating Expense,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,230,666 "
"Other, Net",,"(1,016)","(1,566)","(2,474)","(1,231)","(2,354)","(2,960)","(2,783)","(2,279)","(4,748)","(11,522)","(7,921)","(8,968)","(3,439)",969 ,"(1,716)","(1,654)","(2,805)",57 ,"(1,474)","(2,437)",(906),"(3,042)","(6,124)","(5,026)","(1,771)","(1,584)","(2,014)","(3,590)","(3,363)","(2,991)","(1,596)","(4,493)","(1,740)","(1,775)","(2,651)","(2,710)","(3,100)","(1,754)","(2,293)","(2,945)","(2,069)","(2,897)","(2,840)","(5,629)","(3,016)","(1,292)",(831),"(3,219)","(6,711)","(2,202)",(699),"(3,082)","(1,114)","(2,831)","(7,423)",(655),"(3,257)",(206),"(1,894)","(4,414)","(1,819)","(2,080)","(2,087)","(4,201)","(2,096)","(34,291)","(5,713)","1,491 ","(5,439)","(8,366)","(3,086)","3,095 ","(1,591)","(2,453)",(709),"(7,196)"
Total Operating Expense,,"85,661 ","97,967 ","96,762 ","107,071 ","143,364 ","140,484 ","136,450 ","160,575 ","121,816 ","129,724 ","164,659 ","119,418 ","147,471 ","147,370 ","117,898 ","154,822 ","105,588 ","127,660 ","157,281 ","151,083 ","131,266 ","127,419 ","121,427 ","156,979 ","125,782 ","132,753 ","132,102 ","154,402 ","144,884 ","156,186 ","152,094 ","149,749 ","155,423 ","177,430 ","174,426 ","177,622 ","156,822 ","157,870 ","159,592 ","166,492 ","175,623 ","165,100 ","154,637 ","175,677 ","146,673 ","132,704 ","120,724 ","127,325 ","147,903 ","124,179 ","117,214 ","123,796 ","101,189 ","135,635 ","105,187 ","130,938 ","101,243 ","3,699,857 ","2,808,968 ","4,261,697 ","2,446,397 ","2,830,502 ","2,684,071 ","2,749,418 ","2,567,248 ","3,494,854 ","4,016,715 ","4,222,680 ","3,912,735 ","4,644,349 ","8,238,226 ","6,641,452 ","5,126,487 ","5,889,392 ","6,837,936 ","12,247,242 "
Operating Income,,"25,783 ","27,029 ","9,594 ","36,561 ","33,418 ","28,026 ","14,538 ",146 ,"8,624 ","8,061 ","(19,556)","(20,562)",(40),"7,469 ","2,781 ","(22,707)","(23,703)","(16,440)","(33,876)","(16,708)","8,621 ","8,182 ","2,341 ","14,435 ","6,821 ","8,098 ","3,509 ","4,703 ","5,159 ","3,841 ","7,138 ","3,780 ","20,509 ","21,212 ","(1,058)","8,386 ","15,949 ","20,948 ","8,306 ",(467),"(6,592)","12,205 ","9,449 ","(2,134)","11,341 ","(1,937)","(7,556)","(23,597)","(24,281)","(13,168)","(27,907)","(70,720)","(17,064)","(21,702)","33,555 ","(28,698)","2,920 ","298,549 ","244,548 ","436,695 ","319,540 ","167,251 ","114,188 ","217,485 ","454,403 ","744,930 ","638,457 ","718,750 ","742,607 ","607,961 ","1,539,005 ","(7,223,734)","1,049,521 ","1,442,750 ","1,506,275 ","(8,836,245)"
"Interest Expense, Net Non-Operating",,"(1,997)","(1,981)","(1,947)","(1,797)","(1,872)","(1,254)","(1,430)","(1,935)","(2,478)","(2,653)","(3,490)","(3,024)","(3,034)","(3,461)","(2,891)","(3,572)","(3,264)","(3,189)","(2,792)","(2,879)","(2,517)","(2,322)","(2,194)","(2,222)","(2,093)","(1,924)","(2,081)","(2,266)","(2,336)","(3,108)","(3,274)","(3,533)","(3,699)","(3,576)","(3,608)","(3,543)","(3,615)","(4,398)","(4,576)","(5,029)","(5,185)","(5,632)","(5,996)","(6,227)","(6,175)","(6,607)","(7,308)","(7,651)","(7,645)","(7,875)","(8,156)","(7,898)","(7,443)","(7,685)","(7,778)","(7,767)","(6,653)","(154,914)","(96,059)","(165,904)","(129,759)","(125,513)","(125,333)","(106,802)","(96,857)","(192,742)","(183,905)","(186,568)","(191,188)","(213,246)","(270,704)","(267,924)","(249,489)","(509,820)","(258,631)","(409,774)"
Interest Expense - Non-Operating,,"(1,997)","(1,981)","(1,947)","(1,797)","(1,872)","(1,254)","(1,430)","(1,935)","(2,478)","(2,653)","(3,490)","(3,024)","(3,034)","(3,461)","(2,891)","(3,572)","(3,264)","(3,189)","(2,792)","(2,879)","(2,517)","(2,322)","(2,194)","(2,222)","(2,093)","(1,924)","(2,081)","(2,266)","(2,336)","(3,108)","(3,274)","(3,533)","(3,699)","(3,576)","(3,608)","(3,543)","(3,615)","(4,398)","(4,576)","(5,029)","(5,185)","(5,632)","(5,996)","(6,227)","(6,175)","(6,607)","(7,308)","(7,651)","(7,645)","(7,875)","(8,156)","(7,898)","(7,443)","(7,685)","(7,778)","(7,767)","(6,653)","(154,914)","(96,059)","(165,904)","(129,759)","(125,513)","(125,333)","(106,802)","(96,857)","(192,742)","(183,905)","(186,568)","(191,188)","(213,246)","(270,704)","(267,924)","(249,489)","(509,820)","(258,631)","(409,774)"
Interest/Invest Income - Non-Operating,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"12,234 ","61,301 ","18,450 ","17,500 ","18,813 ","17,151 ","4,106 ","5,055 ","7,306 ","4,048 ","4,661 ","5,232 ","16,561 ","(4,267)","6,204 ","7,185 ","5,235 ","19,048 "
Interest Income - Non-Operating,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"3,447 ","60,273 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Investment Income - Non-Operating,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"8,787 ","1,028 ","18,450 ","17,500 ","18,813 ","17,151 ","4,106 ","5,055 ","7,306 ","4,048 ","4,661 ","5,232 ","16,561 ","(4,267)","6,204 ","7,185 ","5,235 ","19,048 "
"Interest Inc.(Exp.),Net-Non-Op., Total",,"(1,997)","(1,981)","(1,947)","(1,797)","(1,872)","(1,254)","(1,430)","(1,935)","(2,478)","(2,653)","(3,490)","(3,024)","(3,034)","(3,461)","(2,891)","(3,572)","(3,264)","(3,189)","(2,792)","(2,879)","(2,517)","(2,322)","(2,194)","(2,222)","(2,093)","(1,924)","(2,081)","(2,266)","(2,336)","(3,108)","(3,274)","(3,533)","(3,699)","(3,576)","(3,608)","(3,543)","(3,615)","(4,398)","(4,576)","(5,029)","(5,185)","(5,632)","(5,996)","(6,227)","(6,175)","(6,607)","(7,308)","(7,651)","(7,645)","(7,875)","(8,156)","(7,898)","(7,443)","(7,685)","(7,778)","(7,767)","(6,653)","(80,126)","(83,825)","(104,602)","(111,309)","(108,013)","(106,519)","(89,652)","(92,751)","(187,687)","(176,599)","(182,520)","(186,528)","(208,014)","(254,143)","(272,190)","(243,285)","(502,635)","(253,396)","(390,727)"
"Other, Net",,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,0 ,0 ,"(19,360)","(4,273)","11,402 ","26,996 ","11,678 ","225,360 ","(78,088)",--,"2,389 ","18,631 ","(54,029)","33,008 "
Other Non-Operating Income (Expense),,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0 ,0 ,0 ,0 ,"(19,360)","(4,273)","11,402 ","26,996 ","11,678 ","225,360 ","(78,088)",--,"2,389 ","18,631 ","(54,029)","33,008 "
Net Income Before Taxes,,"23,786 ","25,048 ","7,647 ","34,764 ","31,546 ","26,772 ","13,108 ","(1,789)","6,146 ","5,408 ","(23,046)","(23,586)","(3,074)","4,008 ",(110),"(26,279)","(26,967)","(19,629)","(36,668)","(19,587)","6,104 ","5,861 ",147 ,"12,213 ","4,728 ","6,174 ","1,428 ","2,437 ","2,824 ",733 ,"3,864 ",247 ,"16,810 ","17,636 ","(4,666)","4,843 ","12,334 ","16,550 ","3,730 ","(5,496)","(11,777)","6,573 ","3,453 ","(8,362)","5,165 ","(8,544)","(14,864)","(31,248)","(31,926)","(21,043)","(36,063)","(78,618)","(24,507)","(29,387)","25,777 ","(36,465)","(3,733)","218,424 ","160,723 ","332,093 ","208,231 ","59,238 ","7,669 ","127,834 ","342,292 ","552,970 ","473,260 ","563,226 ","567,757 ","625,308 ","1,206,774 ","(7,654,875)","808,625 ","958,746 ","1,198,850 ","(9,193,963)"
Provision for Income Taxes,,"7,987 ","8,063 ","4,784 ","10,943 ","12,190 ","7,566 ","6,033 ",578 ,"2,680 ","2,010 ",834 ,"(5,524)","2,803 ","1,963 ",(321),"(4,445)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"3,533 ","3,605 ",(738),949 ,"2,651 ","2,367 ","1,829 ","2,842 ","(2,171)","1,379 ",782 ,"(1,834)","1,141 ","1,005 ","(2,452)","(12,387)","(5,949)","(4,087)",0 ,935 ,"13,324 ",(341),"3,274 ","(2,089)",(37),"57,306 ","60,464 ","64,603 ","46,449 ","34,749 ","33,497 ","30,672 ","79,439 ","122,978 ","75,002 ","123,486 ","126,638 ","97,435 ","291,312 ","218,888 ","226,915 ","270,007 ","236,506 ","(310,025)"
Net Income After Taxes,,"15,799 ","16,985 ","2,863 ","23,821 ","19,356 ","19,206 ","7,075 ","(2,367)","3,466 ","3,398 ","(23,880)","(18,062)","(5,877)","2,045 ",211 ,"(21,834)","(26,967)","(19,629)","(36,668)","(19,587)","6,104 ","5,861 ",147 ,"12,213 ","4,728 ","6,174 ","1,428 ","2,437 ","2,824 ",733 ,"3,864 ",247 ,"13,277 ","14,031 ","(3,928)","3,894 ","9,683 ","14,183 ","1,901 ","(8,338)","(9,606)","5,194 ","2,671 ","(6,527)","4,025 ","(9,550)","(12,412)","(18,861)","(25,977)","(16,956)","(36,063)","(79,552)","(37,831)","(29,046)","22,503 ","(34,376)","(3,696)","161,118 ","100,259 ","267,490 ","161,782 ","24,489 ","(25,828)","97,161 ","262,854 ","429,992 ","398,258 ","439,740 ","441,120 ","527,872 ","915,462 ","(7,873,762)","581,710 ","688,739 ","962,344 ","(8,883,938)"
Minority Interest,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11 ,10 ,12 ,(5),(6),34 ,--,--,--,0 ,--,--,--,--,--,--,--,--,0 ,"(15,735)","(8,299)","(139,135)","(37,209)","(16,393)","(39,474)","(24,824)","(1,921)","(3,050)","(2,781)","(2,331)","(3,043)","(3,427)","(2,954)","33,298 ","(11,917)","1,898 ","(6,309)","55,341 "
