SCI Electric PCL | Balance Sheet                                25-Sep-2024 17:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Standardised in Thousands of Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,
Receivables - Other,"36,791 ","18,548 ","13,049 ","10,825 ","8,022 ","4,537 ","21,088 ","16,295 ","15,887 ","4,675 ","14,512 ","10,611 ","11,478 ","13,179 ","12,494 ","12,410 ",--,--,--,--,334 ,440 ,667 ,750 ,284 ,488 ,"1,105 ","1,765 ",832 ,"1,865 ","2,288 ","3,257 ",458 ,953 ,"1,319 ","1,744 ",171 ,486 
Total Inventory,"304,043 ","240,030 ","321,279 ","212,928 ","241,345 ","273,579 ","318,178 ","298,838 ","319,968 ","395,235 ","388,910 ","347,162 ","347,983 ","345,839 ","314,021 ","232,610 ","400,911 ","447,695 ","325,770 ","338,664 ","425,019 ","437,347 ","430,473 ","380,864 ","414,177 ","479,973 ","482,341 ","501,564 ","525,111 ","430,697 ","356,994 ","364,058 ","490,180 ","444,042 ","478,406 ","434,256 ","441,600 ","453,162 "
Inventories - Finished Goods,"58,469 ","55,806 ","44,404 ","31,171 ","29,864 ","43,472 ","48,401 ","122,455 ","71,579 ","57,494 ","60,527 ","43,669 ","45,294 ","56,128 ","115,776 ","41,512 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Inventories - Work In Progress,"93,555 ","71,052 ","155,035 ","67,195 ","116,747 ","116,666 ","147,455 ","58,890 ","116,114 ","194,267 ","183,929 ","147,778 ","99,694 ","105,391 ","56,145 ","34,172 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Inventories - Raw Materials,"152,019 ","113,172 ","121,840 ","114,562 ","94,734 ","113,441 ","122,321 ","117,493 ","132,276 ","143,474 ","144,455 ","155,715 ","202,995 ","184,321 ","142,100 ","156,927 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Prepaid Expenses,"20,024 ","17,434 ","17,316 ","5,109 ","34,666 ","34,974 ",--,"10,180 ","10,054 ","16,715 ","5,760 ","13,974 ","14,171 ","13,168 ","12,036 ","11,535 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Other Current Assets, Total","3,544 ",744 ,981 ,"15,418 ","16,103 ","16,536 ","18,221 ","7,592 ","7,717 ","10,010 ","5,483 ","5,455 ","4,536 ","5,623 ","4,917 ","1,081 ","3,150 ","3,567 ","5,190 ","4,121 ",321 ,298 ,561 ,260 ,488 ,362 ,443 ,478 ,622 ,365 ,"1,498 ",884 ,706 ,698 ,"1,226 ",998 ,706 ,"1,296 "
Other Current Assets,"3,544 ",744 ,981 ,"15,418 ","16,103 ","16,536 ","18,221 ","7,592 ","7,717 ","10,010 ","5,483 ","5,455 ","4,536 ","5,623 ","4,917 ","1,081 ","3,150 ","3,567 ","5,190 ","4,121 ",321 ,298 ,561 ,260 ,488 ,362 ,443 ,478 ,622 ,365 ,"1,498 ",884 ,706 ,698 ,"1,226 ",998 ,706 ,"1,296 "
Total Current Assets,"1,344,917 ","1,181,881 ","1,207,401 ","2,272,112 ","1,885,066 ","1,729,589 ","1,906,549 ","2,301,142 ","2,513,786 ","2,527,247 ","2,525,114 ","2,423,576 ","2,354,957 ","2,287,902 ","2,194,165 ","2,049,994 ","2,157,095 ","2,052,388 ","1,904,359 ","1,851,885 ","2,006,915 ","2,056,025 ","2,118,454 ","1,855,292 ","1,967,822 ","1,966,395 ","2,068,567 ","2,027,662 ","1,964,113 ","1,911,873 ","1,822,246 ","1,749,740 ","1,944,520 ","1,819,287 ","1,924,264 ","1,069,888 ","1,042,965 ","1,117,094 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Property/Plant/Equipment, Total - Net","183,039 ","186,528 ","186,526 ","188,068 ","190,659 ","197,279 ","215,242 ","244,963 ","243,561 ","320,821 ","340,065 ","440,598 ","542,687 ","658,181 ","690,660 ","675,254 ","660,513 ","642,769 ","628,682 ","612,909 ","732,732 ","695,995 ","700,042 ","673,813 ","688,201 ","688,632 ","710,032 ","693,638 ","685,102 ","702,812 ","730,007 ","676,540 ","662,637 ","678,540 ","687,580 ","218,792 ","216,757 ","215,403 "
"Intangibles, Net","3,902 ","252,508 ","291,589 ","288,034 ","279,327 ","275,424 ","269,238 ","276,941 ","263,446 ","256,867 ","249,216 ","241,026 ","227,698 ","238,360 ","229,810 ","228,054 ","221,003 ","210,667 ","206,647 ","199,770 ","213,649 ","199,388 ","201,790 ","189,210 ","195,005 ","196,946 ","211,825 ","206,026 ","202,935 ","212,306 ","225,111 ","202,540 ","197,278 ","203,282 ","206,035 ","190,269 ","200,519 ","199,458 "
Long Term Investments,349 ,349 ,"6,744 ","6,768 ","8,716 ","26,361 ","24,110 ","27,186 ","25,104 ","34,182 ","68,541 ","65,861 ","63,144 ","100,727 ","98,028 ","95,983 ","116,715 ","117,161 ","113,710 ","109,164 ","93,896 ","93,185 ","92,204 ","89,917 ","72,492 ","72,017 ","69,473 ","102,893 ","102,612 ","102,307 ","102,542 ","101,007 ","101,599 ","95,334 ","92,118 ","92,344 ","91,044 ","88,077 "
LT Investment - Affiliate Companies,0 ,0 ,"6,395 ","6,419 ","8,368 ","26,013 ","23,761 ","26,888 ","24,805 ","33,884 ","68,243 ","65,562 ","62,845 ","100,428 ","97,730 ","95,684 ","116,416 ","116,863 ","113,412 ","109,164 ","93,896 ","93,185 ","92,204 ","89,917 ","72,492 ","72,017 ","69,473 ","102,893 ","102,612 ","102,307 ","102,542 ","101,007 ","101,599 ","95,334 ","92,118 ","92,344 ","91,044 ","88,077 "
LT Investments - Other,349 ,349 ,349 ,349 ,349 ,349 ,349 ,299 ,299 ,299 ,299 ,299 ,299 ,299 ,299 ,299 ,299 ,299 ,299 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Note Receivable - Long Term,"240,548 ",759 ,692 ,619 ,536 ,446 ,420 ,"13,088 ","13,062 ","13,023 ","12,984 ","12,945 ","12,906 ","12,854 ","12,803 ","12,752 ","12,700 ","12,694 ","16,753 ","16,753 ","18,063 ","17,874 ","14,240 ","14,240 ","1,434 ","1,434 ",750 ,750 ,"2,516 ","1,765 ","1,765 ",0 ,"3,257 ","3,257 ","5,022 ","5,022 ","6,766 ","6,766 "
"Other Long Term Assets, Total","144,015 ","145,592 ","152,843 ","152,094 ","152,668 ","87,049 ","176,956 ","171,607 ","132,958 ","130,972 ","126,944 ","128,740 ","124,421 ","132,375 ","148,943 ","151,842 ","164,388 ","168,153 ","172,822 ","177,893 ","101,196 ","110,771 ","111,078 ","110,927 ","111,328 ","111,798 ","112,280 ","113,851 ","128,187 ","132,540 ","155,344 ","151,961 ","159,533 ","153,140 ","153,481 ","158,371 ","158,485 ","158,991 "
Deferred Charges,--,--,--,--,--,--,"106,037 ","109,084 ","104,151 ","102,483 ","100,083 ","97,468 ","92,587 ","97,853 ","95,038 ","94,648 ","92,250 ","88,621 ","87,668 ","85,903 ",0 ,0 ,0 ,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Defered Income Tax - Long Term Asset,"7,269 ","6,484 ","6,725 ","7,203 ","7,004 ","6,976 ","6,827 ","6,828 ","6,439 ","6,345 ","5,003 ","4,495 ","4,733 ","7,550 ","7,651 ","7,233 ","6,546 ","9,069 ","8,992 ","7,899 ","8,738 ","9,116 ","9,570 ","9,518 ","9,791 ","10,096 ","9,978 ","10,115 ","10,511 ","10,890 ","10,918 ","11,141 ","11,596 ","12,111 ","12,443 ","17,112 ","17,164 ","17,364 "
Restricted Cash - Long Term,"134,378 ","137,958 ","144,619 ","143,715 ","144,482 ","78,879 ","62,363 ","54,422 ","21,094 ","21,265 ","21,086 ","26,086 ","26,152 ","26,236 ","45,507 ","45,599 ","60,849 ","64,815 ","75,052 ","83,003 ","91,267 ","100,493 ","100,223 ","100,409 ","100,416 ","100,632 ","100,636 ","100,820 ","116,823 ","117,055 ","117,059 ","117,285 ","117,294 ","110,370 ","110,394 ","110,643 ","110,679 ","110,992 "
Other Long Term Assets,"2,367 ","1,150 ","1,500 ","1,176 ","1,182 ","1,194 ","1,729 ","1,274 ","1,274 ",879 ,772 ,692 ,949 ,737 ,747 ,"4,362 ","4,743 ","5,648 ","1,109 ","1,088 ","1,191 ","1,162 ","1,285 ","1,000 ","1,121 ","1,070 ","1,666 ","2,917 ",853 ,"4,595 ","27,366 ","23,535 ","30,642 ","30,659 ","30,644 ","30,616 ","30,642 ","30,636 "
Total Assets,"1,916,769 ","1,767,617 ","1,845,795 ","2,907,694 ","2,516,973 ","2,316,147 ","2,592,515 ","3,034,928 ","3,191,916 ","3,283,111 ","3,322,864 ","3,312,746 ","3,325,813 ","3,430,400 ","3,374,410 ","3,213,879 ","3,332,414 ","3,203,833 ","3,042,974 ","2,968,374 ","3,166,450 ","3,173,237 ","3,237,808 ","2,933,399 ","3,036,282 ","3,037,222 ","3,172,928 ","3,144,820 ","3,085,464 ","3,063,602 ","3,037,015 ","2,881,788 ","3,068,824 ","2,952,839 ","3,068,501 ","1,734,686 ","1,716,535 ","1,785,788 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liabilities (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounts Payable,"571,484 ","474,248 ","493,839 ","520,056 ","301,180 ","191,816 ","456,857 ","791,051 ","1,024,460 ","1,088,629 ","1,088,749 ","1,023,367 ","1,046,060 ","1,078,038 ","973,974 ","865,640 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Payable/Accrued,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,078,351 ","1,085,027 ","971,841 ","942,111 ","1,077,753 ","1,126,300 ","1,159,695 ","965,846 ","1,045,319 ","1,082,297 ","1,184,014 ","1,208,334 ","1,134,612 ","1,184,117 ","1,213,172 ","1,157,869 ","1,297,569 ","1,228,728 ","1,332,243 ","512,771 ","544,291 ","652,945 "
Accrued Expenses,"444,231 ","28,679 ","25,804 ","25,904 ","21,229 ","27,214 ","31,722 ","24,955 ","29,140 ","30,733 ","34,902 ","30,172 ","35,062 ","38,060 ","46,035 ","37,937 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Notes Payable/Short Term Debt,"158,685 ","137,380 ","106,095 ","100,856 ","1,078 ","21,650 ","12,405 ","80,000 ",0 ,0 ,"18,055 ","30,000 ",0 ,0 ,0 ,"6,984 ","42,849 ","8,293 ",0 ,0 ,"4,926 ",0 ,"10,000 ","20,000 ","20,000 ","10,000 ",0 ,0 ,0 ,0 ,0 ,0 ,"52,267 ",0 ,0 ,0 ,0 ,0 
Current Port. of LT Debt/Capital Leases,"128,032 ","130,352 ","130,578 ","123,616 ","117,437 ","114,969 ","98,391 ","16,008 ","16,026 ","16,112 ","5,805 ","4,975 ","4,735 ","9,716 ","23,526 ","37,843 ","47,734 ","35,234 ","24,291 ","339,953 ","364,693 ","345,198 ","353,849 ","335,970 ","350,309 ","358,082 ","378,688 ","373,084 ","371,805 ","394,046 ","422,911 ","385,920 ","369,615 ","385,633 ","396,168 ","371,167 ","395,517 ","399,534 "
"Other Current liabilities, Total","251,137 ","177,744 ","193,588 ","183,131 ","135,454 ","105,369 ","74,754 ","86,278 ","96,712 ","92,436 ","105,430 ","107,451 ","85,642 ","80,730 ","72,949 ","58,752 ","3,733 ","1,927 ","1,845 ","3,754 ","16,808 ","7,900 ","12,147 ","118,304 ","111,142 ","88,662 ","95,453 ","51,453 ","103,973 ","60,911 ","25,616 ","14,832 ","62,074 ","93,465 ","105,576 ","95,176 ","64,028 ","40,262 "
Dividends Payable,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"15,000 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Customer Advances,"125,692 ","84,717 ","116,725 ","81,445 ","46,405 ","31,237 ","60,766 ","49,584 ","69,585 ","81,540 ","94,615 ","89,566 ","66,562 ","61,553 ","39,028 ","23,380 ",--,--,--,--,--,--,--,"106,060 ","92,655 ","84,538 ","88,247 ","48,974 ","101,495 ","60,684 ","24,728 ","14,699 ","61,941 ","93,120 ","105,237 ","95,176 ","64,028 ","40,262 "
Income Taxes Payable,"65,515 ","25,048 ","10,427 ","17,370 ","23,556 ","10,564 ","10,749 ","27,173 ","24,451 ","8,731 ","7,354 ","7,445 ","7,445 ","3,026 ",304 ,--,"2,446 ",--,--,--,"1,808 ","7,900 ","12,147 ","12,245 ","18,487 ","4,125 ","7,206 ","2,478 ","2,478 ",227 ,889 ,133 ,133 ,345 ,339 ,0 ,--,--
Other Payables,"58,637 ","60,524 ","63,976 ","78,176 ","61,686 ","62,264 ","1,806 ","5,594 ","2,019 ","1,065 ","1,576 ","5,461 ","9,705 ","11,446 ","31,602 ","32,171 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Current Liabilities,"1,293 ","7,455 ","2,461 ","6,140 ","3,808 ","1,304 ","1,433 ","3,928 ",657 ,"1,100 ","1,885 ","4,979 ","1,930 ","4,704 ","2,014 ","3,201 ","1,287 ","1,927 ","1,845 ","3,754 ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Current Liabilities,"1,553,568 ","948,402 ","949,904 ","953,564 ","576,379 ","461,019 ","674,128 ","998,293 ","1,166,338 ","1,227,910 ","1,252,941 ","1,195,965 ","1,171,499 ","1,206,544 ","1,116,483 ","1,007,155 ","1,172,667 ","1,130,481 ","997,977 ","1,285,817 ","1,464,180 ","1,479,398 ","1,535,691 ","1,440,120 ","1,526,770 ","1,539,041 ","1,658,155 ","1,632,870 ","1,610,390 ","1,639,074 ","1,661,699 ","1,558,622 ","1,781,525 ","1,707,826 ","1,833,987 ","979,114 ","1,003,836 ","1,092,742 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Long Term Debt,"68,499 ","70,070 ","66,797 ","60,977 ","55,138 ","47,596 ","44,537 ","40,539 ","36,532 ","105,488 ","89,620 ","167,992 ","240,583 ","308,593 ","357,565 ","344,068 ","322,768 ","320,055 ","325,921 ","2,020 ","1,934 ","1,552 ","2,033 ","1,651 ","1,323 ","1,109 ",893 ,676 ,"1,949 ","1,713 ","1,670 ","1,470 ","1,277 ","1,099 ",932 ,823 ,"1,490 ","1,314 "
Long Term Debt,"59,852 ","55,384 ","53,616 ","49,326 ","45,036 ","39,066 ","36,696 ","34,326 ","31,956 ","101,516 ","86,478 ","165,702 ","237,308 ","306,006 ","355,176 ","341,056 ","320,144 ","317,292 ","323,542 ",--,0 ,0 ,0 ,0 ,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital Lease Obligations,"8,647 ","14,685 ","13,181 ","11,651 ","10,102 ","8,530 ","7,841 ","6,212 ","4,575 ","3,972 ","3,142 ","2,290 ","3,275 ","2,588 ","2,389 ","3,012 ","2,624 ","2,762 ","2,379 ","2,020 ","1,934 ","1,552 ","2,033 ","1,651 ","1,323 ","1,109 ",893 ,676 ,"1,949 ","1,713 ","1,670 ","1,470 ","1,277 ","1,099 ",932 ,823 ,"1,490 ","1,314 "
Total Debt,"355,215 ","337,801 ","303,470 ","285,450 ","173,653 ","184,215 ","155,333 ","136,547 ","52,558 ","121,600 ","113,480 ","202,967 ","245,319 ","318,310 ","381,091 ","388,895 ","413,351 ","363,581 ","350,213 ","341,973 ","371,552 ","346,749 ","365,883 ","357,621 ","371,632 ","369,191 ","379,581 ","373,760 ","373,754 ","395,760 ","424,581 ","387,390 ","423,159 ","386,733 ","397,100 ","371,990 ","397,006 ","400,848 "
Minority Interest,4 ,5 ,5 ,6 ,6 ,6 ,"11,136 ","11,065 ","10,970 ","10,580 ","10,246 ","9,800 ","9,228 ","9,574 ","9,153 ","8,530 ","7,817 ","6,794 ","6,055 ","5,385 ","5,216 ","4,245 ","3,796 ","3,163 ","2,703 ","2,279 ","2,053 ","1,626 ","1,203 ",(900),"(1,565)",(156),(711),"(1,221)","(1,861)","(18,612)","(20,250)","(20,983)"
"Other Liabilities, Total","23,886 ","28,339 ","29,450 ","33,539 ","34,258 ","35,510 ","36,710 ","38,140 ","37,113 ","38,404 ","39,684 ","40,532 ","42,254 ","44,459 ","46,128 ","44,183 ","46,211 ","57,791 ","57,739 ","52,934 ","55,483 ","57,147 ","59,489 ","59,036 ","61,140 ","62,692 ","62,311 ","63,070 ","65,144 ","67,174 ","67,661 ","69,039 ","71,246 ","74,244 ","76,361 ","78,853 ","79,945 ","81,525 "
Reserves,741 ,"4,871 ","5,245 ","5,205 ","5,091 ","5,075 ","5,007 ","5,169 ","4,970 ","4,903 ","4,814 ","4,716 ","4,509 ","4,785 ","4,677 ","4,683 ","4,591 ","4,439 ","4,417 ","5,318 ","5,756 ","5,447 ","5,580 ","5,296 ","5,524 ","5,649 ","5,977 ","5,890 ","5,866 ","6,218 ","6,674 ","7,059 ","6,963 ","7,265 ","7,463 ","7,442 ","7,927 ","8,009 "
Pension Benefits - Underfunded,"23,144 ","23,468 ","24,205 ","28,333 ","29,167 ","30,435 ","31,703 ","32,971 ","32,144 ","33,501 ","34,870 ","35,816 ","37,745 ","39,674 ","41,451 ","39,500 ","41,620 ","53,352 ","53,321 ","47,616 ","49,727 ","51,700 ","53,909 ","53,740 ","55,616 ","57,043 ","56,334 ","57,180 ","59,279 ","60,956 ","60,987 ","61,980 ","64,283 ","66,979 ","68,898 ","71,411 ","72,017 ","73,515 "
Total Liabilities,"1,645,956 ","1,046,815 ","1,046,156 ","1,048,085 ","665,780 ","544,130 ","766,511 ","1,088,037 ","1,250,953 ","1,382,382 ","1,392,491 ","1,414,289 ","1,463,564 ","1,569,171 ","1,529,330 ","1,403,936 ","1,549,464 ","1,515,119 ","1,387,692 ","1,346,157 ","1,526,812 ","1,542,341 ","1,601,009 ","1,503,970 ","1,591,936 ","1,605,121 ","1,723,412 ","1,698,243 ","1,678,687 ","1,707,062 ","1,729,465 ","1,628,975 ","1,853,337 ","1,781,949 ","1,909,418 ","1,040,177 ","1,065,020 ","1,154,596 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholders Equity (THB Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Common Stock, Total","165,000 ","562,500 ","562,500 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 "
Common Stock,"165,000 ","562,500 ","562,500 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 ","750,000 "
Additional Paid-In Capital,"4,814 ",--,--,"879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 ","879,038 "
Retained Earnings (Accumulated Deficit),"101,524 ","172,491 ","219,151 ","213,191 ","208,388 ","129,808 ","186,851 ","300,707 ","307,064 ","272,591 ","305,997 ","280,634 ","257,440 ","240,967 ","233,754 ","197,667 ","176,797 ","91,044 ","58,682 ","28,924 ","28,066 ","31,012 ","32,406 ","(166,715)","(158,082)","(173,186)","(164,422)","(163,688)","(203,564)","(260,509)","(318,911)","(363,375)","(399,652)","(447,279)","(460,141)","(922,342)","(954,247)","(972,826)"
Unrealized Gain (Loss),0 ,0 ,(116),(68),45 ,(67),(145),(307),(236),(84),(16),(14),36 ,(100),(177),(86),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Other Equity, Total",(525),"(14,190)","18,105 ","17,447 ","13,722 ","13,238 ","10,260 ","17,453 ","5,097 ",(816),"(4,646)","(11,202)","(24,266)","(8,676)","(17,535)","(16,676)","(22,885)","(31,368)","(32,438)","(35,745)","(17,467)","(29,154)","(24,646)","(32,894)","(26,611)","(23,751)","(15,101)","(18,772)","(18,696)","(11,989)","(2,577)","(12,849)","(13,899)","(10,870)","(9,815)","(12,187)","(23,276)","(25,020)"
